,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,Xist,5.1292937255309,6.16751644188484,0.448275547485153,13.7583155639091,4.53981295929624e-43,1.0172812879191e-38
2,Uty,6.35945571982066,-4.72477511084952,0.469380778542651,-10.0659748477966,7.81096275807291e-24,8.75140267414488e-20
3,Eif2s3y,3.32349155101776,-4.4809330141758,0.498692314423684,-8.98536609563396,2.57874345867462e-19,1.92614944739936e-15
4,Kdm5d,2.35827314114004,-3.37577859157038,0.466346679933785,-7.23877479314252,4.52756104027987e-13,2.53633969476478e-09
5,Ddx3y,1.48795833080632,-2.71442114340489,0.481261176015853,-5.64022464034264,1.69828454022266e-08,7.61103199546188e-05
