,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,Xist,6.82405188899265,6.5571268709988,0.47394500131251,13.8352063063013,1.56287423185219e-43,3.22420954031107e-39
2,Uty,6.47574965501962,-5.56137964872112,0.514675002647014,-10.8056144559548,3.2378191583098e-27,3.33981046179656e-23
3,Eif2s3y,3.01827262911217,-4.82144271111043,0.535835595903034,-8.99798883832071,2.29890183907702e-19,1.58087816467196e-15
4,Kdm5d,2.02910909188206,-4.30923565406073,0.542249989411794,-7.94695387405203,1.91153545484705e-15,9.85874410837364e-12
5,Ddx3y,1.95232436022402,-3.97614001864937,0.547771840722605,-7.25875213556827,3.90677610960465e-13,1.61193582282288e-09
