,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,Xist,8.2377826791991,6.49296895465941,0.38252603947994,16.9739266991781,1.28074396134397e-64,3.15396007920565e-60
2,Uty,4.59682851787176,-4.45488430998753,0.429579244306334,-10.3703434675506,3.38306581029702e-25,4.16556893221872e-21
3,Eif2s3y,4.40509314884326,-4.47808018160549,0.494039456954398,-9.0642156584243,1.25503923714108e-19,1.03021987512787e-15
4,Kdm5d,1.42534767129072,-3.40721872380801,0.509116433259726,-6.69241552859052,2.19516468284121e-11,1.35145313699119e-07
5,Ddx3y,1.14399442450415,-2.82464595505771,0.511306283930004,-5.52437168060385,3.30666799932213e-08,0.000162860012302614
