"Cluster","Slope","Intercept","p_value","r_squared","AdjustedPValue"
"SNc-VTA-RAmb Foxa1 Dopa",18.300358604805,12293.0856721298,0.0363193458055194,0.368537590801717,0.620718292544192
"TH-PVT-RE Ntrk1-Nox4 Glut",-42.6794068334767,14321.7497075008,0.0125302324254284,0.174489624873743,0.620718292544192
"Trh Glut",-116.058551968228,15452.6826997963,0.033177237871816,0.130247458873895,0.620718292544192
"ZI Pax6 Gaba",136.484736362331,10903.9530235316,0.0381980487719503,0.123792368417078,0.620718292544192
"ADP-MPO Trp73 Glut",25.2344139458012,12061.8558726586,0.123054908202539,0.0749879257563772,0.715415576205758
"AHN-PVHd-PVR Mixed Gaba",148.115769194565,11463.5381509622,0.184883184392056,0.0526436322229431,0.715415576205758
"ARC Mixed Glut",-23.2287969711392,13851.2312860681,0.121811373545313,0.0754690509664318,0.715415576205758
"Chat GABA",-19.5648898522066,13472.2823660616,0.204452271091285,0.0483311121368534,0.715415576205758
"DMH Gaba",117.499877049673,11276.0847980631,0.11983996277566,0.0717252490875945,0.715415576205758
"DMH Hmx2-Vgll1 Glut",41.5917218292382,11668.5101508162,0.0901352924282422,0.0845572128873951,0.715415576205758
"Hist Gaba",21.0995007887686,12273.7573122995,0.199983485154325,0.0703730762781087,0.715415576205758
"HY NSCs_1",32.5663948610051,9962.91943867072,0.229697533129552,0.0679290086988993,0.715415576205758
"LH-MH Glut",-17.0460951477075,13279.5463972549,0.204896334742837,0.0634721420994669,0.715415576205758
"PH-LHA-MM Foxb1 Glut",40.4284195676612,12133.0014994697,0.160037731866519,0.0607273201867463,0.715415576205758
"Pitx2 Glut",20.5228998247051,12063.0942516642,0.223162144499984,0.0460077406243015,0.715415576205758
"PO-MEA Slc17a7 Glut",-20.0640571210692,13631.6007884129,0.210949820595995,0.0734635539249091,0.715415576205758
"PVH-SO-PVa Agtr1a Glut",-45.1262343395984,13794.048903435,0.0650215544330826,0.116402689410491,0.715415576205758
"SCH Six6 Cdc14a Gaba",-85.0168263459401,13392.0238581403,0.157479069798147,0.0753485140637637,0.715415576205758
"TH Prkcd Grin2c Glut_1",-18.2440662699276,13507.3304420639,0.23113426308186,0.0444910430438069,0.715415576205758
"VMH Nr5a1 Glut_2",-72.320589016418,13993.8856378799,0.15248262625364,0.061037182311741,0.715415576205758
"ZI-PVH-SBPV Pax6-Prox1 Gaba",-92.6004636047634,13683.3021365825,0.107716717453429,0.0765096378506351,0.715415576205758
"PO-MEA-BST Mixed Gaba",60.7930405904013,11470.4082085322,0.271347262997435,0.0365380071654743,0.801707822492422
"STR D1 Gaba",-63.2909196062111,13764.9057152809,0.323603483184307,0.0295298029036149,0.876426100290832
"STR D1-D2 Gaba",58.9876426837002,11124.643329784,0.322425661361048,0.0296717482914353,0.876426100290832
"AD Serpinb7 Glut",4.29829714482979,12440.6355968237,0.746311422080497,0.00366484789045547,0.998552462403848
"AHN Onecut3 Gaba",22.6288350843639,12323.2868505413,0.723707658477105,0.00383731052179704,0.998552462403848
"AV Col27a1 Glut",10.7287429957409,12376.2181016231,0.581058719043766,0.00961959053096191,0.998552462403848
"GPe-SI Sox6 Cyp26b1 Gaba",-2.01083652647956,12716.6433221881,0.950069684551712,0.000120629910868733,0.998552462403848
"GPi Tbr1 Cngb3 Gaba-Glut",-11.5984617234674,12918.4292520041,0.637587343357273,0.00724833876511236,0.998552462403848
"HY NSCs_2",10.9918775635536,11870.3688452051,0.515641666397641,0.0158175680614404,0.998552462403848
