"Cluster","Slope_Activated_Percentage","Slope_Sac_Learner","Intercept","p_value_activated_percentage","p_value_sac_learner","r_squared","adjusted_p_values_activated","adjusted_p_values_sac_learner"
"PVH-SO-PVa Agtr1a Glut",-0.412104517526854,-17.3103522216721,49.9700365777946,0.00181742816095995,5.40572890780893e-05,0.621954619658403,0.118132830462397,6.38858870922873e-05
"ARC Mixed Glut",-0.180179074564039,-19.9482249423346,48.4387978938658,0.0295663968723414,8.59618364135782e-06,0.542238445886803,0.544315254955584,1.38045639348752e-05
"HY NSCs_2",0.22756002741032,-13.5457450859582,23.3194140685581,0.0276546095328306,0.00576166223059291,0.54851349186929,0.544315254955584,0.00594457214267522
"RT-ZI Gnb3 Gaba_2",0.710504563251907,-19.7504998553316,26.1285072297443,0.0334963233818821,8.31719671698072e-06,0.542217930259464,0.544315254955584,1.38045639348752e-05
"PH-LHA-PVH-SO-PVa Nxph4 Glut",-0.796068333615165,-23.0409581995667,58.6331198626793,0.0526512098761119,7.87078758869732e-07,0.531315557712474,0.570388106991213,1.26244596611249e-05
"TH-PVT-RE Ntrk1-Nox4 Glut",-0.192690312341984,-21.1548145204267,47.2305574746875,0.0513727633116004,2.3516325150923e-06,0.531907981511309,0.570388106991213,1.26244596611249e-05
"TH Prkcd Grin2c Glut_1",-0.161913623299721,-23.6516732272086,47.8153379908207,0.0638151647654138,1.06720459216265e-06,0.530652544409784,0.592569387107414,1.26244596611249e-05
"DMH Gaba",0.693445468061857,-21.6415029073076,31.7459559964227,0.104091106268969,2.15203623240923e-06,0.51498948849495,0.736993925487518,1.26244596611249e-05
"GPe-SI Sox6 Cyp26b1 Gaba",0.288590971491455,-22.0932981009083,34.3144149767162,0.102494353607695,1.62951096299017e-06,0.515356047479532,0.736993925487518,1.26244596611249e-05
"PO-CEA-BST Meis2 Gaba",0.574824836771497,-22.1522941088337,28.8023567196236,0.113383680844234,1.6619900532467e-06,0.51296677476432,0.736993925487518,1.26244596611249e-05
"ADP-MPO Trp73 Glut",0.140391463087581,-20.6585147033422,36.7043772786837,0.136702129362253,1.91307903938899e-05,0.509923817731783,0.779738198589766,2.48700275120569e-05
"SCH Six6 Cdc14a Gaba",-0.511705014981551,-19.7227063670891,44.6660025512915,0.143951667431957,0.000100341417079571,0.525418571030242,0.779738198589766,0.000116467716253073
"Mixed",-0.54019028606497,-21.3406487616967,51.6086541252036,0.187427459121398,3.41178280207622e-06,0.501313526693598,0.870198917349347,1.26244596611249e-05
"PV-PT Ntrk1-Sp9 Glut",-0.259426513742769,-21.2966531695743,46.4975076297065,0.182269160358522,3.50440778435505e-06,0.501946683173825,0.870198917349347,1.26244596611249e-05
"AD Serpinb7 Glut",0.0546924742911453,-21.3174714865416,37.9517511271103,0.452818495884306,1.98864123937938e-05,0.498865052225287,0.939358023336437,2.52765715839286e-05
"AHN Onecut3 Gaba",0.333016597906035,-21.5278567117734,34.7455644068006,0.356246038337897,3.70086991791661e-06,0.487524537684468,0.939358023336437,1.26244596611249e-05
"AHN-PVHd-PVR Mixed Gaba",0.389720325901756,-20.9408558951232,36.594283077134,0.546021595565528,9.13595882601969e-06,0.479795313430746,0.939358023336437,1.38045639348752e-05
"AV Col27a1 Glut",0.105788913876816,-19.9823584422743,36.42700370234,0.321338066329354,1.20374969856963e-05,0.490834324060036,0.939358023336437,1.66476022142609e-05
"DMH Hmx2-Vgll1 Glut",0.105001595611839,-21.3602810738737,37.3585907305049,0.457257854593306,4.54111375900468e-06,0.482797032496848,0.939358023336437,1.26244596611249e-05
"GPi Tbr1 Cngb3 Gaba-Glut",-0.135834047564947,-22.1164243797256,43.5347724612373,0.32728481920603,7.45547263391916e-06,0.485815914858063,0.939358023336437,1.37543704435689e-05
"Hist Gaba",-0.0770495868721777,-21.8932760636634,42.4639718610408,0.510053366039051,0.00168330375356717,0.385389218750771,0.939358023336437,0.00179368432757158
"LH-MH Glut",-0.0388336631655041,-21.2624824086104,41.0805949158452,0.572555807454289,9.28511220282359e-06,0.551994103457099,0.939358023336437,1.38045639348752e-05
"LHA Pmch Glut",-0.0579273065056519,-21.4792732054975,41.6851166335506,0.440441919199106,1.61573119489954e-05,0.451477092883766,0.939358023336437,2.14331689119327e-05
"Lhx6-Lhx8 Gaba",-0.169068001069129,-21.2149474519737,42.0397227788693,0.578066475899346,5.83426931540119e-06,0.478912396002925,0.939358023336437,1.26409168500359e-05
"Mixed Meis2 Gaba",-0.193893112858785,-21.4393483053131,47.1828585663924,0.463144960559603,4.26338745699134e-06,0.482569210169681,0.939358023336437,1.26244596611249e-05
"NDB-SI-MA-STRv Lhx8 Gaba",0.25848591065295,-21.2184914790409,32.9941600906824,0.28658422585794,4.44934014435795e-06,0.491990459412995,0.939358023336437,1.26244596611249e-05
"Pitx2 Glut",-0.0538772355009083,-21.1920485962789,41.2697103856942,0.563030944189015,7.87740435532725e-06,0.473177662171711,0.939358023336437,1.37543704435689e-05
"PO-COAa-PAA-MEA Barhl2 Glut",0.131217796281722,-21.7223503117556,36.2201745978493,0.393132361790706,3.46553109345481e-06,0.485599863156478,0.939358023336437,1.26244596611249e-05
"PVN Mixed Glut",-0.102099557185211,-19.4112795903164,42.8264704850522,0.226964249230342,0.000139278025288951,0.523346109903486,0.939358023336437,0.000158825818311962
"PVpo-VMPO-MPN Hmx2 Gaba",0.117664900401644,-21.8988643557055,38.5010767352261,0.510894085432292,3.95816303955867e-06,0.48087833168472,0.939358023336437,1.26244596611249e-05
"SI-MA-LPO-LHA Skor1 Glut",0.174747720491941,-21.6117404022646,36.0330398965843,0.498481491185481,3.93988742612678e-06,0.481292320261263,0.939358023336437,1.26244596611249e-05
"STR D1 Gaba",0.347707522869182,-21.8698657628929,34.0545888288933,0.342861760657262,3.12130866380172e-06,0.488290455123746,0.939358023336437,1.26244596611249e-05
"TH Prkcd Grin2c Glut_2",0.174777079844576,-21.317265484126,33.9021876174233,0.377056544210926,6.70967314995234e-06,0.497055508483962,0.939358023336437,1.32160228711182e-05
"TH Prkcd Grin2c Glut_3",0.15277303806714,-20.9160830453032,33.751556680517,0.498304534913351,8.73160845058282e-06,0.481298346665571,0.939358023336437,1.38045639348752e-05
"TH Prkcd Grin2c Glut_6",-0.223604725941622,-22.7572168939178,48.9890058037377,0.464612638514957,7.36961172638972e-06,0.482513113076472,0.939358023336437,1.37543704435689e-05
"TH Sema5b-Ntrk Glut",0.183442859795631,-21.0249634895021,33.0928304429251,0.568177041057349,8.04101656700953e-06,0.47917478120561,0.939358023336437,1.37543704435689e-05
"Trh Glut",-0.28912105779737,-21.4752123152636,46.7969227107941,0.359790366492325,3.85012139124562e-06,0.487328084175333,0.939358023336437,1.26244596611249e-05
"TRS-BAC Sln Glut",0.112541174539025,-23.3085290379099,40.3395382489746,0.291220230282517,4.18813186279513e-06,0.527036726968902,0.939358023336437,1.26244596611249e-05
"VMH Nr5a1 Glut_1",0.11320018856675,-23.5689356341929,37.3811816642549,0.388571002483877,2.50894531451406e-05,0.464608841186782,0.939358023336437,3.02002676747063e-05
"VMH Nr5a1 Glut_2",-0.167870409485735,-22.1233193914241,43.1457546343594,0.576954973755177,5.62538379679959e-06,0.478941449848976,0.939358023336437,1.26244596611249e-05
"Chat GABA",-0.0428571192860501,-21.5043761102481,41.6481852174205,0.625081757360733,4.40685161157815e-06,0.477779660654274,0.948886912967831,1.26244596611249e-05
"HY NSCs_1",-0.0230190994635392,-16.6016838834343,36.6395621051251,0.829364575664666,0.000187383730193679,0.506012506577198,0.948886912967831,0.000206439702755748
"PH-LHA-MM Foxb1 Glut",0.0369265161892652,-21.4627350309814,39.6677782857877,0.83210083137179,2.02212572671428e-05,0.485178700675928,0.948886912967831,2.52765715839286e-05
"PO-MEA Slc17a7 Glut",-0.04644128957288,-19.9969343027891,42.2075132863174,0.683547484700576,0.00898880405547645,0.362807384955828,0.948886912967831,0.00912925411884327
"PVH-SO-PVa Avp Glut",0.0897306383933198,-21.5158695034329,38.547920061459,0.628001255694163,4.38812309461956e-06,0.477715254718596,0.948886912967831,1.26244596611249e-05
"RE-Xi Nox4 Glut",0.0569189835359736,-21.2128001338185,38.2609331847307,0.831190012868438,1.01307535074636e-05,0.474664065706855,0.948886912967831,1.43151951735899e-05
"SCsg Gabrr2 Gaba",0.0332424168341116,-18.385983402741,39.4522713739813,0.727481224572531,0.00218121649129261,0.390773262353378,0.948886912967831,0.00228675922474225
"SI-MPO-LPO-ADP Lhx8 Gaba",-0.0467065449221385,-21.2242294176686,40.4227801458687,0.786465581149065,7.81733132908884e-06,0.475115518442223,0.948886912967831,1.37543704435689e-05
"SNc-VTA-RAmb Foxa1 Dopa",-0.0250389433344211,-22.7092591454907,45.5566608572118,0.777938561979391,0.0562515178550651,0.352243177641446,0.948886912967831,0.0562515178550651
"STN-PSTN Pitx2 Glut",0.0376564654193625,-22.6460558007001,40.3718077264534,0.800943454928776,0.00031594861435652,0.46712285396494,0.948886912967831,0.000342277665552897
"TH Prkcd Grin2c Glut_4",0.082904409984293,-20.9682102449381,36.4400303772206,0.688168367276452,1.30145408833303e-05,0.476529598664912,0.948886912967831,1.76238574461765e-05
"TH Prkcd Grin2c Glut_5",-0.0464151616453086,-22.5838596231081,42.6951015679356,0.647039693348819,9.86443943907027e-06,0.500561714581968,0.948886912967831,1.42486347453237e-05
"TH Prkcd Grin2c Glut_7",0.0669832615078126,-21.6054604583414,36.7896936602889,0.775933649002357,4.9537309400243e-06,0.475238574702976,0.948886912967831,1.26244596611249e-05
"TH Prkcd Grin2c Glut_8",-0.0426576958597317,-21.3256842810657,41.997299743048,0.733269403856551,5.49340000205449e-06,0.475805279550421,0.948886912967831,1.26244596611249e-05
"TU-ARH Otp Six6 Gaba",-0.0928335301774149,-20.7284940819818,40.7969432488439,0.650903425883403,2.41901302564007e-05,0.477232700164339,0.948886912967831,2.96671408804915e-05
