"Cluster","Slope_Activated_Percentage","Slope_Sex","Intercept","p_value_activated_percentage","p_value_sex","r_squared","adjusted_p_values_activated","adjusted_p_values_sex"
"ZI Mixed Gaba",-0.241481194765239,-15.3861598493014,46.9957570218925,0.52056053921594,0.000901279183582058,0.301805757839984,0.87040793793077,0.00176559055787529
"ZI-PVH-SBPV Pax6-Prox1 Gaba",-0.147464822608967,-15.5138953469749,43.5780020376483,0.70324652548906,0.000851701707854238,0.296032584211929,0.87040793793077,0.00176559055787529
"HY NSCs_1",0.0293970754333943,-12.5594612642192,33.5503608704202,0.817790551847134,0.0131633735191671,0.277690806704786,0.955126502457736,0.0140265455532108
"LH-MH Glut",-0.019873285864972,-13.5002336343248,40.718317091173,0.824570576829271,0.0101534697494773,0.237806543979387,0.955126502457736,0.0109995922286004
"PO-MEA-BST Mixed Gaba",-0.0683668210859266,-15.628552964449,43.395861420527,0.85226672526998,0.000783581948677513,0.293636712149581,0.955126502457736,0.00176559055787529
"PVpo-VMPO-MPN Hmx2 Gaba",0.0441033455495303,-15.7427531305306,41.5220957817389,0.830981122142257,0.000786753730957633,0.293873060044088,0.955126502457736,0.00176559055787529
"TRS-BAC Sln Glut",-0.0262309703845276,-17.1962879684954,44.1215818577017,0.838624521602397,0.00100363854888175,0.320241634119173,0.955126502457736,0.00176559055787529
"Pitx2 Glut",0.0162112766644029,-15.565930254727,41.4402342570228,0.883776390404873,0.00143386983313791,0.281098081560816,0.973651955530792,0.00194169873237426
"AHN Onecut3 Gaba",0.0140431406364597,-15.6032480351147,41.8051998329066,0.973822826504047,0.000942492140312648,0.292906069636349,0.998774776472732,0.00176559055787529
"Mixed",0.046875767572999,-15.7756459167272,41.1016516737689,0.927452519110082,0.0013945185346495,0.293062973979935,0.998774776472732,0.00194169873237426
"Mixed Meis2 Gaba",0.000479841780493772,-15.6296554624625,42.020633794792,0.998774776472732,0.000921885673995723,0.292882696409585,0.998774776472732,0.00176559055787529
"SNc-VTA-RAmb Foxa1 Dopa",0.000976581415320379,-12.2353889054054,45.5959282204862,0.992376393965811,0.209110830158014,0.174854078439956,0.998774776472732,0.209110830158014
"STR D1 Gaba",0.0230761285187948,-15.6142545475897,41.6329900487034,0.956801481797149,0.000810579590304065,0.292946474306603,0.998774776472732,0.00176559055787529
"VMH Nr5a1 Glut_2",-0.00914571364552993,-15.6582830382152,42.2196415649909,0.978898975544459,0.00108557236480659,0.292897863907268,0.998774776472732,0.00184733070078064
