"Cluster","Activated_Percentage_WT_mean","Activated_Percentage_Het_mean","Activated_Percentage_Difference","p_value","AdjustedPValue"
"PO-MEA Slc17a7 Glut",53.3625276749846,38.57475401237,14.7877736626146,0.000206521410480661,0.0134238916812429
"PF Fzd5 Glut",30.8061426721228,23.0860049336167,7.72013773850608,0.00528340495688575,0.114473774065858
"TH Prkcd Grin2c Glut_3",38.2750444472018,40.4484642723713,-2.17341982516952,0.00394342486237846,0.114473774065858
"PH-LHA-MM Foxb1 Glut",12.236986875993,15.1062687232789,-2.86928184728586,0.0178256638651223,0.165524021604707
"PVH-SO-PVa Agtr1a Glut",33.7341008664538,23.8394468939582,9.89465397249564,0.0151582918534302,0.165524021604707
"TH Prkcd Grin2c Glut_7",46.3578002809629,48.4497346049335,-2.09193432397064,0.01757858654808,0.165524021604707
"Trh Glut",25.6103502169633,21.5251684219863,4.08518179497705,0.0177754240101095,0.165524021604707
"HY NSCs_2",53.8418251360041,56.0770296939455,-2.23520455794146,0.0493657040992208,0.401096345806169
"Lhx6-Lhx8 Gaba",11.6819484217448,14.7007212523103,-3.0187728305655,0.0633299594402523,0.424968991792401
"TH Prkcd Grin2c Glut_2",34.0691692461489,37.5754930115259,-3.50632376537698,0.0653798448911386,0.424968991792401
"STR-PAL Chst9 Gaba",14.5131057162529,17.4041867191882,-2.89108100293537,0.087310891248501,0.472933994262714
"VMH Nr5a1 Glut_2",19.7438522981941,15.9365870598969,3.80726523829721,0.0856715638437359,0.472933994262714
"ZI-PVH-SBPV Pax6-Prox1 Gaba",11.9722212543384,9.50334991297057,2.46887134136784,0.10076915341307,0.503845767065351
"SNc-VTA-RAmb Foxa1 Dopa",28.5714285714286,59.1666666666667,-30.5952380952381,0.158978405534075,0.73811402569392
"ARC Mixed Glut",60.0237382392164,41.8685854285232,18.1551528106932,0.265901419407763,0.767059236545609
"Chat GABA",44.5117847408869,34.760288730877,9.75149601000994,0.267155411924046,0.767059236545609
"PO-MEA Glut",21.0424744807661,27.132900556665,-6.0904260758989,0.237243884329449,0.767059236545609
"PO-MEA-BST Mixed Gaba",19.9455643798237,19.7552656742724,0.190298705551292,0.224454066178263,0.767059236545609
"PVN Mixed Glut",46.088916673282,53.7874347874348,-7.69851811415278,0.283221871955302,0.767059236545609
"SI-MA-LPO-LHA Skor1 Glut",23.2560807851745,21.4805183449197,1.77556244025482,0.272078409744041,0.767059236545609
"SI-MPO-LPO-ADP Lhx8 Gaba",11.3438200777114,13.8617738600957,-2.51795378238428,0.266296222247519,0.767059236545609
"TH Prkcd Grin2c Glut_4",41.1096635268309,38.782429469999,2.3272340568319,0.229300197210819,0.767059236545609
"TH Prkcd Grin2c Glut_5",53.018341307815,45.2284129821724,7.78992832564261,0.250685402571183,0.767059236545609
