"Cluster","Activated_Percentage_WT_mean","Activated_Percentage_Het_mean","Activated_Percentage_Difference","p_value","AdjustedPValue"
"ZI Mixed Gaba",21.1634849338087,20.9939752080677,0.169509725741008,0.203428150139582,0.767059236545609
"AHN Onecut3 Gaba",16.2224180902828,14.7735495458308,1.44886854445201,0.299898121980619,0.774012602909441
"HY NSCs_1",73.0107079107079,74.3399801548854,-1.32927224417749,0.309605041163776,0.774012602909441
"NDB-SI-MA-STRv Lhx8 Gaba",27.8452130670104,24.7740092987644,3.07120376824594,0.350932938251002,0.786573827114316
"SCH Six6 Cdc14a Gaba",11.9304998245769,9.06703985651354,2.8634599680634,0.339821249513605,0.786573827114316
"TH Sema5b-Ntrk Glut",36.483791868738,36.4135390805372,0.0702527882008184,0.341163112974385,0.786573827114316
"AD Serpinb7 Glut",41.7052469135802,37.0125019704852,4.69274494309509,0.396952677617864,0.787708566707309
"GPe-SI Sox6 Cyp26b1 Gaba",19.6641432175757,20.575712088951,-0.911568871375295,0.375828019646811,0.787708566707309
"PVH-SO-PVa Avp Glut",14.0142841331589,17.1326715488362,-3.11838741567733,0.435194863056578,0.787708566707309
"PVpo-VMPO-MPN Hmx2 Gaba",14.4319403588921,11.5179147902074,2.91402556868474,0.427468136955638,0.787708566707309
"RT-ZI Gnb3 Gaba_2",18.265247943535,19.1656384904545,-0.900390546919528,0.397991713499627,0.787708566707309
"STN-PSTN Pitx2 Glut",19.4470770669899,20.1754524069264,-0.72837533993653,0.433592238207642,0.787708566707309
"TH Prkcd Grin2c Glut_8",48.3448246836994,51.6857313083336,-3.34090662463424,0.448387953356468,0.787708566707309
"ZI Pax6 Gaba",12.0196332598349,14.0378316526636,-2.01819839282872,0.438655596150981,0.787708566707309
"PV-PT Ntrk1-Sp9 Glut",24.9441993242571,26.3623248857388,-1.41812556148167,0.462565647083487,0.79123071211649
"LH-MH Glut",29.623697290364,20.680966207282,8.94273108308196,0.549444362192563,0.848856081894022
"Mixed Meis2 Gaba",36.8130893908194,38.4219446849958,-1.60885529417637,0.531267626628354,0.848856081894022
"PO-COAa-PAA-MEA Barhl2 Glut",27.1345542675937,30.772702548678,-3.63814828108437,0.552611324037287,0.848856081894022
"SCsg Gabrr2 Gaba",18.1060606060606,14.8611111111111,3.24494949494949,0.531413228919444,0.848856081894022
"TH Prkcd Grin2c Glut_6",39.2499103473152,38.2783541906009,0.97155615671425,0.561550946483737,0.848856081894022
"AV Col27a1 Glut",21.3283510724627,26.8551893147809,-5.5268382423182,0.65172975624924,0.875125540334809
"DMH Hmx2-Vgll1 Glut",24.4427594698524,23.5241844268691,0.91857504298331,0.677961051452848,0.875125540334809
"GPi Tbr1 Cngb3 Gaba-Glut",22.7729978354978,24.4858564054993,-1.71285857000143,0.628361237596342,0.875125540334809
"RT-ZI Gnb3 Gaba_1",10.9608585858586,12.0189037613573,-1.05804517549874,0.665141877567063,0.875125540334809
"STR D1 Gaba",16.2275619564333,18.4336675231882,-2.2061055667549,0.659372453831322,0.875125540334809
"STR D1-D2 Gaba",25.1767769853948,27.2791804649325,-2.10240347953769,0.64144477276353,0.875125540334809
"TRS-BAC Sln Glut",13.2994157258863,5.84561033715812,7.4538053887282,0.686636962416542,0.875125540334809
"TU-ARH Otp Six6 Gaba",12.367040669169,11.3893529100689,0.977687759100073,0.642982815556916,0.875125540334809
"Lhx6 Gaba",24.4672858531218,18.6991546366546,5.76813121646713,0.736403033659503,0.920503792074379
"PH-LHA-PVH-SO-PVa Nxph4 Glut",22.5267466584477,23.387376827408,-0.860630168960284,0.756019131747512,0.927193274784685
"ADP-MPO Trp73 Glut",21.1999696210223,25.7777777777778,-4.57780815675552,0.87692762061913,0.934431071151532
"AHN-PVHd-PVR Mixed Gaba",8.30903091298379,7.85647358933963,0.452557323644164,0.872711380544008,0.934431071151532
"LHA Pmch Glut",25.3279834200887,26.2310606060606,-0.903077185971924,0.869579208204296,0.934431071151532
"Mixed",21.5014773607394,21.9909369329466,-0.489459572207164,0.854670282841923,0.934431071151532
"Pitx2 Glut",28.2192097318084,30.9062140687742,-2.68700433696579,0.780179118181664,0.934431071151532
"PO-CEA-BST Meis2 Gaba",19.5695837312645,19.8546046040006,-0.285020872736126,0.832869376481581,0.934431071151532
"RE-Xi Nox4 Glut",28.0203938362059,27.2836696667548,0.736724169451108,0.811905648822107,0.934431071151532
"TH-PVT-RE Ntrk1-Nox4 Glut",37.8430735930736,39.2336979352066,-1.39062434213297,0.83615775495745,0.934431071151532
"Hist Gaba",20.3014492151386,28.4952307859548,-8.19378157081617,0.908723797400944,0.937572171921609
"VMH Nr5a1 Glut_1",27.2509792454391,28.5600480437437,-1.30906879830462,0.904176851751963,0.937572171921609
"DMH Gaba",11.485444774479,12.3215802156474,-0.836135441168393,0.961862168351083,0.976891264731568
"TH Prkcd Grin2c Glut_1",44.3037518037518,43.0822067380971,1.22154506565472,1,1
