"","X.Intercept...Intercept.","X.Intercept..p.value","Props.props_trans","Props.Std..Error","Props.t.value","Props.p.value","r_squared","adj_r_squared","f_statistic.value","f_pvalue.value","cluster","bh_pvalues_props"
"1",13176.0909646368,0.000391098409177841,51.213802121533,510.296914855322,0.100360791199478,0.920725606805894,0.000335630261513076,-0.0329865153964366,0.0100722884101854,0.920725606805894,"AD Serpinb7 Glut",0.989876229964488
"2",12252.095110182,0.00144453597055426,-97.4661790043057,561.905716175561,-0.173456464667559,0.863385243466969,0.000939340096036486,-0.0302813055259623,0.0300871451349681,0.863385243466969,"ADP-MPO Trp73 Glut",0.989876229964488
"3",11126.0691260346,0.000743350450664924,-436.227895216785,739.286801768194,-0.590065850186199,0.559048060440472,0.0101367155637887,-0.0189769104490409,0.348177707555962,0.559048060440472,"AHN Onecut3 Gaba",0.989876229964488
"4",13070.9153387296,4.41863554795805e-06,56.9545172799601,717.856080359754,0.0793397434920622,0.937227537361334,0.000185106755538998,-0.029221213634004,0.00629479489738618,0.937227537361335,"AHN-PVHd-PVR Mixed Gaba",0.989876229964488
"5",12703.127569466,2.5281143106229e-10,-31.3344734624635,260.09162414575,-0.120474750255334,0.904860350091205,0.000453362039919674,-0.0307824703963329,0.0145141654490853,0.904860350091205,"ARC Mixed Glut",0.989876229964488
"6",12257.5777825391,1.52492153555241e-06,-112.909042978841,399.740140346135,-0.282456104811173,0.779357883142719,0.00241178894313216,-0.0278181568464697,0.0797814511451001,0.77935788314272,"AV Col27a1 Glut",0.989876229964488
"7",11337.6990195314,0.000141408001846894,-267.522029579691,453.209908075694,-0.590282835420734,0.55890427486948,0.0101440964545726,-0.018969312473234,0.348433825792341,0.55890427486948,"Chat GABA",0.989876229964488
"8",15462.6460041526,1.40199885439409e-05,738.765517338128,867.225577608308,0.851872380627362,0.400245582013243,0.0208976877036182,-0.00789943912862823,0.72568655287573,0.400245582013243,"DMH Gaba",0.989876229964488
"9",12600.6727385054,3.39155401009382e-05,-52.8186088791748,488.737212823351,-0.108071592449551,0.914574158663165,0.000343395835692106,-0.0290582689926697,0.0116794690945818,0.914574158663165,"DMH Hmx2-Vgll1 Glut",0.989876229964488
"10",11121.6656620928,0.00159374589343045,-326.00949863301,595.800626465413,-0.547178844988904,0.587829781316524,0.00872915116525682,-0.0204258738004708,0.299404688403392,0.587829781316523,"GPe-SI Sox6 Cyp26b1 Gaba",0.989876229964488
"11",13462.4297798965,0.0199441752788657,102.697934546655,937.8350319942,0.109505329874785,0.913485541964107,0.000374591418405666,-0.0308637025997691,0.0119914172709856,0.913485541964107,"GPi Tbr1 Cngb3 Gaba-Glut",0.989876229964488
"12",14329.692719125,1.76722527342132e-07,262.672826113078,327.560304793703,0.801906770353352,0.430814704819423,0.0271984514183514,-0.0150972680851984,0.643054468338543,0.430814704819423,"Hist Gaba",0.989876229964488
"13",15796.3970787993,0.000170374582972595,543.498786882169,595.553411740765,0.912594531687018,0.371348612860491,0.036475059105307,-0.00732152911717909,0.832828779265048,0.371348612860491,"HY NSCs_1",0.989876229964488
"14",14303.5616420778,3.03029862672469e-09,305.341012700998,315.800752422842,0.9668786738423,0.341882403538425,0.0323089364120851,-0.00225145871605492,0.934854369931044,0.341882403538425,"HY NSCs_2",0.989876229964488
"15",13782.0212905344,2.68946367405482e-07,112.911412526091,318.692404731943,0.354295900528481,0.725974511594254,0.00480471042476278,-0.0334720314819772,0.125525585131287,0.725974511594254,"LH-MH Glut",0.989876229964488
"16",6777.24003265549,0.086605218406204,-966.858186804401,591.385243996881,-1.63490414517258,0.111574012077796,0.0749283264729988,0.0468958515176351,2.6729115639025,0.111574012077796,"LHA Pmch Glut",0.989876229964488
"17",8330.21833430095,0.00897404566705614,-803.161865084433,526.205745901913,-1.52632667229397,0.136178369280752,0.064125903458214,0.0366001947363969,2.32967311055599,0.136178369280752,"Lhx6 Gaba",0.989876229964488
"18",11295.5397198682,6.33259622180574e-05,-385.521702285738,594.512879708702,-0.648466526872613,0.52103920113833,0.0122168105785999,-0.0168356361690882,0.42050883647423,0.52103920113833,"Lhx6-Lhx8 Gaba",0.989876229964488
"19",13514.5434315081,0.0237727614644236,211.732095989398,1910.50775019601,0.110825039033563,0.91240672172978,0.000361110413245457,-0.0290400333981295,0.0122821892767908,0.91240672172978,"Mixed",0.989876229964488
"20",11279.4972078243,0.00720216983902433,-393.340324943041,963.130874754189,-0.408397586717828,0.685542587301033,0.00488159981448884,-0.0243865884262613,0.166788588836946,0.685542587301033,"Mixed Meis2 Gaba",0.989876229964488
"21",11634.1277141231,1.36650634985375e-06,-286.093279677323,447.693182378583,-0.639038723255325,0.527079806413474,0.0118683472656928,-0.0171943484029633,0.408370489819797,0.527079806413474,"NDB-SI-MA-STRv Lhx8 Gaba",0.989876229964488
"22",12808.9053570492,2.43709268210483e-11,-61.9794771184975,240.201560480066,-0.258031117677277,0.798144825356287,0.00221442071436242,-0.0310450985951589,0.0665800576897843,0.798144825356288,"PF Fzd5 Glut",0.989876229964488
"23",13794.101703548,5.68675165030015e-11,165.341916955415,260.215602582112,0.635403547345864,0.529547058850501,0.0120866015651513,-0.0178501680843897,0.403737667979707,0.529547058850501,"PH-LHA-MM Foxb1 Glut",0.989876229964488
"24",14379.9200215102,3.7779169869828e-09,394.551548760294,472.184536582367,0.835587610759188,0.40922072226267,0.0201222692051873,-0.00869766405348349,0.698206655254248,0.40922072226267,"PH-LHA-PVH-SO-PVa Nxph4 Glut",0.989876229964488
