"","BaselineProp.clusters","BaselineProp.Freq","PropMean.Learner","PropMean.Non_Learner","PropRatio","Tstatistic","P.Value","FDR"
"STR-PAL Chst9 Gaba","STR-PAL Chst9 Gaba",0.0219130596264257,0.0209981895964087,0.0250776230569774,0.837327746282013,-1.02931318249926,0.315261183349129,0.426916185785279
"ADP-MPO Trp73 Glut","ADP-MPO Trp73 Glut",0.00227487271545521,0.00233622823165181,0.00256999612220594,0.90903959405453,-0.997615034927277,0.330070636111419,0.436164468294395
"VMH Nr5a1 Glut_1","VMH Nr5a1 Glut_1",0.00232129868924001,0.00239644122017962,0.00191390975423055,1.25211819150954,0.980989055527691,0.338008822156073,0.436164468294395
"RT-ZI Gnb3 Gaba_1","RT-ZI Gnb3 Gaba_1",0.00349742335845494,0.003412244845942,0.00394495733059736,0.864963689081348,-0.972204224169686,0.342221352046371,0.436164468294395
"SNc-VTA-RAmb Foxa1 Dopa","SNc-VTA-RAmb Foxa1 Dopa",0.000216654544329067,0.000262903230147063,0,Inf,0.932405486514305,0.361921751855271,0.452402189819089
"RT-ZI Gnb3 Gaba_2","RT-ZI Gnb3 Gaba_2",0.0385799842151689,0.0382519167717313,0.0419497773360412,0.911850293395172,-0.844617753463088,0.408021862799195,0.499222146999661
"LH-MH Glut","LH-MH Glut",0.00402358439468268,0.00483330611215508,0.00108704720949755,4.44627065864885,0.832594684553677,0.414738399045872,0.499222146999661
"TH Prkcd Grin2c Glut_1","TH Prkcd Grin2c Glut_1",0.00194989089896161,0.00180249274987676,0.00217472936154491,0.828835432008095,-0.793690517577573,0.436418585129476,0.507234716087963
"TH Prkcd Grin2c Glut_6","TH Prkcd Grin2c Glut_6",0.0182608830220214,0.0185974897507081,0.0147736235170688,1.25883062670586,0.792665893739661,0.437002216937322,0.507234716087963
"GPi Tbr1 Cngb3 Gaba-Glut","GPi Tbr1 Cngb3 Gaba-Glut",0.00258437920735387,0.0024354731982855,0.00314027874624332,0.775559558589831,-0.774372208599711,0.447503436929052,0.510310936848919
"Lhx6 Gaba","Lhx6 Gaba",0.00451879478172055,0.00444032764334104,0.00461737045267741,0.961657222189372,-0.607944257379199,0.549879515766434,0.616244284910659
"PV-PT Ntrk1-Sp9 Glut","PV-PT Ntrk1-Sp9 Glut",0.0115755427970102,0.0115589049781319,0.0121814163489556,0.948896634595609,-0.445729322539864,0.66043966521205,0.727603020996326
"PO-MEA Glut","PO-MEA Glut",0.014159922004364,0.0136695530787734,0.0143736562556984,0.951014330355519,-0.416112979672167,0.681628296989236,0.738430655071672
"TH Prkcd Grin2c Glut_5","TH Prkcd Grin2c Glut_5",0.00194989089896161,0.00184944276370012,0.00200077707343803,0.924362233180797,-0.291245734552046,0.773774229038721,0.824513522746179
"TH-PVT-RE Ntrk1-Nox4 Glut","TH-PVT-RE Ntrk1-Nox4 Glut",0.00337362076169548,0.00351600075094276,0.00331145548091748,1.06176899288062,0.245863505254101,0.808219706636391,0.847327111796216
"TH Prkcd Grin2c Glut_8","TH Prkcd Grin2c Glut_8",0.00396168309630295,0.00408761291428756,0.00391297973207518,1.04462920693938,-0.0958124713385207,0.924594994674065,0.929618839878125
"TH Sema5b-Ntrk Glut","TH Sema5b-Ntrk Glut",0.0409167582290039,0.0406904634972269,0.0379920749004868,1.07102503887477,0.093047976146314,0.92676399778929,0.929618839878125
"Mixed","Mixed",0.0478651789721289,0.0476832582133757,0.0467391946469213,1.0201985415792,0.0894104794716873,0.929618839878125,0.929618839878125
