"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct.1-pct.2","dups"
"Ntng1",3.7554586101605e-49,-1.08894286112667,0.372,0.648,1.40686990453833e-44,"PH-ant-LHA Otp Bsx Glut_subset","Ntng1",-0.276,5
"Asic2",1.98864866134674e-48,0.646007176184741,0.958,0.905,7.44987561513715e-44,"PH-ant-LHA Otp Bsx Glut_subset","Asic2",0.0529999999999999,3
"Etl4",3.36578880864703e-47,-1.47817771564853,0.323,0.586,1.26089180349535e-42,"PH-ant-LHA Otp Bsx Glut_subset","Etl4",-0.263,3
"Pcdh11x",3.56330698024424e-47,1.09446208076597,0.675,0.469,1.3348860609391e-42,"PH-ant-LHA Otp Bsx Glut_subset","Pcdh11x",0.206,3
"Unc5c",1.38194654602539e-46,-0.779648976846174,0.413,0.722,5.17704815072031e-42,"PH-ant-LHA Otp Bsx Glut_subset","Unc5c",-0.309,2
"Sorcs3",1.55230258125633e-46,1.00060178684263,0.71,0.532,5.81523592990245e-42,"PH-ant-LHA Otp Bsx Glut_subset","Sorcs3",0.178,3
"Ctnna2",4.32735481377745e-46,-0.530080098498513,0.895,0.979,1.62111366033731e-41,"PH-ant-LHA Otp Bsx Glut_subset","Ctnna2",-0.084,3
"Rmst",1.19689653038301e-45,-0.657955410657168,0.603,0.869,4.48381378212084e-41,"PH-ant-LHA Otp Bsx Glut_subset","Rmst",-0.266,3
"Rgs6.1",1.30025983230137e-45,-1.04516327610059,0.198,0.496,4.8710333837674e-41,"PH-ant-LHA Otp Bsx Glut_subset","Rgs6",-0.298,5
"Kcnip1.1",2.55295699489326e-45,0.870434879477533,0.731,0.556,9.56388749426912e-41,"PH-ant-LHA Otp Bsx Glut_subset","Kcnip1",0.175,3
"Rbfox1",3.58896514435934e-45,-0.692778274125619,0.821,0.935,1.3444981223799e-40,"PH-ant-LHA Otp Bsx Glut_subset","Rbfox1",-0.114,2
"Kcnd2",5.39517050175989e-45,-0.650990455505314,0.771,0.937,2.02113877336929e-40,"PH-ant-LHA Otp Bsx Glut_subset","Kcnd2",-0.166,4
"Cep112.1",2.93025148965944e-44,-0.922214620479734,0.298,0.584,1.09773081305622e-39,"PH-ant-LHA Otp Bsx Glut_subset","Cep112",-0.286,5
"Dock4",3.22766798412262e-44,-0.952854080412917,0.318,0.612,1.20914898021202e-39,"PH-ant-LHA Otp Bsx Glut_subset","Dock4",-0.294,3
"Ebf1",4.2406190475929e-44,-1.43010530234426,0.078,0.338,1.58862070760925e-39,"PH-ant-LHA Otp Bsx Glut_subset","Ebf1",-0.26,5
"Cntn3.1",2.02904857534504e-43,-0.923104476217008,0.193,0.478,7.6012217729576e-39,"PH-ant-LHA Otp Bsx Glut_subset","Cntn3",-0.285,3
"Sgcz.1",3.82922710707506e-42,-0.648767182850993,0.677,0.9,1.43450505885246e-37,"PH-ant-LHA Otp Bsx Glut_subset","Sgcz",-0.223,4
"Lrrc4c.1",6.0797572817177e-41,-0.663718118695493,0.84,0.956,2.27759867287708e-36,"PH-ant-LHA Otp Bsx Glut_subset","Lrrc4c",-0.116,2
"Sdk1",7.07078882912398e-41,-0.925933403825513,0.244,0.53,2.64885891116643e-36,"PH-ant-LHA Otp Bsx Glut_subset","Sdk1",-0.286,4
"Ptprd.1",5.89712446006858e-39,-0.632928976919221,0.879,0.945,2.20918076523089e-34,"PH-ant-LHA Otp Bsx Glut_subset","Ptprd",-0.0659999999999999,4
"Tenm2.1",1.7466525803018e-38,-0.683501637969858,0.842,0.923,6.54330989632661e-34,"PH-ant-LHA Otp Bsx Glut_subset","Tenm2",-0.0810000000000001,4
"Kctd8.1",1.80714555309204e-37,-1.15244052032057,0.126,0.366,6.7699286709934e-33,"PH-ant-LHA Otp Bsx Glut_subset","Kctd8",-0.24,5
"Slc24a2",2.7221803518581e-37,-0.731528015960772,0.371,0.639,1.01978320341308e-32,"PH-ant-LHA Otp Bsx Glut_subset","Slc24a2",-0.268,2
"Zfhx3.1",6.34484782170744e-37,-1.23419350715422,0.226,0.465,2.37690689096804e-32,"PH-ant-LHA Otp Bsx Glut_subset","Zfhx3",-0.239,5
"Grin2a.1",4.41033738458263e-36,-0.878777394687358,0.296,0.552,1.65220059101234e-31,"PH-ant-LHA Otp Bsx Glut_subset","Grin2a",-0.256,4
"Zfp804a",6.9536832410942e-36,-0.829804000868742,0.339,0.599,2.60498881577871e-31,"PH-ant-LHA Otp Bsx Glut_subset","Zfp804a",-0.26,4
"Kalrn",1.8443428223512e-34,-0.593541175442098,0.548,0.776,6.90927708109206e-30,"PH-ant-LHA Otp Bsx Glut_subset","Kalrn",-0.228,1
"Pde1a",2.13858539459407e-34,-1.0198176909915,0.187,0.424,8.01156860522829e-30,"PH-ant-LHA Otp Bsx Glut_subset","Pde1a",-0.237,3
"Tafa1",3.30344178029807e-33,1.25603682478516,0.593,0.423,1.23753535973526e-28,"PH-ant-LHA Otp Bsx Glut_subset","Tafa1",0.17,4
"Gm49678",1.00813811226514e-32,0.891809749513464,0.296,0.127,3.77668699616766e-28,"PH-ant-LHA Otp Bsx Glut_subset","Gm49678",0.169,2
"Galntl6",1.52437030001897e-32,-0.869398558064236,0.644,0.853,5.71059601793107e-28,"PH-ant-LHA Otp Bsx Glut_subset","Galntl6",-0.209,5
