"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct.1-pct.2","dups"
"Elmo1.1",1.00674175436081e-15,-0.566613432844173,0.281,0.445,3.77145596018648e-11,"PH-ant-LHA Otp Bsx Glut_subset","Elmo1",-0.164,4
"Serpini1",1.11879198164898e-15,0.639702077965689,0.321,0.207,4.19121852165342e-11,"PH-ant-LHA Otp Bsx Glut_subset","Serpini1",0.114,2
"Foxp2",1.1522907841058e-15,-0.919518985035387,0.18,0.316,4.31671173541715e-11,"PH-ant-LHA Otp Bsx Glut_subset","Foxp2",-0.136,5
"Maml3",2.00718542909994e-15,-0.517847330046847,0.181,0.333,7.51931805449419e-11,"PH-ant-LHA Otp Bsx Glut_subset","Maml3",-0.152,2
"Slit2",2.27429848061151e-15,-0.539441984177996,0.306,0.473,8.51997696806684e-11,"PH-ant-LHA Otp Bsx Glut_subset","Slit2",-0.167,2
"Cntn5",2.46264321511651e-15,0.581550166226573,0.827,0.809,9.22555401246946e-11,"PH-ant-LHA Otp Bsx Glut_subset","Cntn5",0.0179999999999999,2
"Pex5l",6.66264483860494e-15,-0.541867501089333,0.285,0.447,2.49596000943818e-10,"PH-ant-LHA Otp Bsx Glut_subset","Pex5l",-0.162,4
"Cntnap5b",6.88078841199379e-15,0.555844971977585,0.7,0.647,2.57768095490112e-10,"PH-ant-LHA Otp Bsx Glut_subset","Cntnap5b",0.0529999999999999,3
"Trpc5",1.480907468435e-14,0.576469049520564,0.443,0.319,5.54777555825119e-10,"PH-ant-LHA Otp Bsx Glut_subset","Trpc5",0.124,3
"Esrrg.1",1.36205566309425e-13,-0.563093372060375,0.342,0.484,5.10253292508369e-09,"PH-ant-LHA Otp Bsx Glut_subset","Esrrg",-0.142,5
"Mast4",8.32968955284169e-13,0.529152433504674,0.643,0.57,3.12046830028555e-08,"PH-ant-LHA Otp Bsx Glut_subset","Mast4",0.0730000000000001,6
"Egfem1",1.19723933233342e-12,-0.53348338172917,0.522,0.64,4.48509798678747e-08,"PH-ant-LHA Otp Bsx Glut_subset","Egfem1",-0.118,3
"Gm43879",1.34531983443083e-12,0.562745467762438,0.355,0.254,5.03983716374478e-08,"PH-ant-LHA Otp Bsx Glut_subset","Gm43879",0.101,1
"Cdh7",1.83884731359756e-12,0.545876626609274,0.346,0.242,6.88868980619919e-08,"PH-ant-LHA Otp Bsx Glut_subset","Cdh7",0.104,2
"Chrm2",2.88370786074177e-12,0.584386092764469,0.442,0.337,1.08029463879108e-07,"PH-ant-LHA Otp Bsx Glut_subset","Chrm2",0.105,4
"Ptprt",4.60080551850069e-12,-0.534990320789984,0.451,0.578,1.72355376334073e-07,"PH-ant-LHA Otp Bsx Glut_subset","Ptprt",-0.127,3
"Sema6a",5.46416112521401e-12,0.509426409024538,0.302,0.2,2.04698404072767e-07,"PH-ant-LHA Otp Bsx Glut_subset","Sema6a",0.102,1
"Reln",1.3242815869218e-10,-0.742898044549218,0.177,0.285,4.96102368092646e-06,"PH-ant-LHA Otp Bsx Glut_subset","Reln",-0.108,6
"Il1rapl2",8.35000663966946e-10,0.734038010741322,0.474,0.386,3.12807948735297e-05,"PH-ant-LHA Otp Bsx Glut_subset","Il1rapl2",0.088,6
"Sash1",1.15169747870201e-09,0.596236159273159,0.258,0.177,4.31448909471346e-05,"PH-ant-LHA Otp Bsx Glut_subset","Sash1",0.081,1
"Sphkap",2.0245805051959e-08,0.692784037545793,0.264,0.193,0.000758448348856489,"PH-ant-LHA Otp Bsx Glut_subset","Sphkap",0.071,1
"Ephb1",2.32110320966358e-08,0.617550717479558,0.518,0.457,0.000869531684404169,"PH-ant-LHA Otp Bsx Glut_subset","Ephb1",0.061,4
"Cpne4.1",2.68637904281002e-08,0.732878706284414,0.332,0.261,0.00100637131701749,"PH-ant-LHA Otp Bsx Glut_subset","Cpne4",0.071,7
"Rorb",5.99285274668774e-08,0.546238155141763,0.252,0.175,0.00224504249596416,"PH-ant-LHA Otp Bsx Glut_subset","Rorb",0.077,2
"Sez6",8.90310651892657e-08,0.58470461267111,0.267,0.198,0.00333528176412027,"PH-ant-LHA Otp Bsx Glut_subset","Sez6",0.069,1
"Tmem163",1.23172215978303e-06,0.506364512408927,0.514,0.48,0.0461427755497917,"PH-ant-LHA Otp Bsx Glut_subset","Tmem163",0.034,1
"Gm32647",4.09724563427186e-06,0.633575621086245,0.419,0.362,0.153491015951092,"PH-ant-LHA Otp Bsx Glut_subset","Gm32647",0.057,3
"Sox5.1",0.000123621631115416,0.52955911729113,0.338,0.288,1,"PH-ant-LHA Otp Bsx Glut_subset","Sox5",0.05,3
"Lmx1a",6.96224236908388e-152,1.13005919564804,0.261,0.008,2.6081952363062e-147,"PH-SUM Foxa1 Glut_subset","Lmx1a",0.253,1
"Tcf4.1",9.04762346081352e-149,1.59953438450483,0.867,0.407,3.38942070088996e-144,"PH-SUM Foxa1 Glut_subset","Tcf4",0.46,6
"Nfib",5.55715731810496e-139,1.70309111940562,0.578,0.133,2.08182227450848e-134,"PH-SUM Foxa1 Glut_subset","Nfib",0.445,1
"Nfia",3.01187913138315e-126,1.81529060895742,0.613,0.186,1.12831016019875e-121,"PH-SUM Foxa1 Glut_subset","Nfia",0.427,3
"Zeb2",2.40698918815647e-111,1.52146259932126,0.453,0.098,9.01706289667178e-107,"PH-SUM Foxa1 Glut_subset","Zeb2",0.355,1
"Zfp536.1",2.51277012928491e-90,1.21911258169283,0.756,0.355,9.41333945832714e-86,"PH-SUM Foxa1 Glut_subset","Zfp536",0.401,3
"Nrg1",1.21101980922154e-81,-1.72736038593205,0.595,0.851,4.53672240930573e-77,"PH-SUM Foxa1 Glut_subset","Nrg1",-0.256,3
"Nxph1.1",7.55301590542775e-76,1.73735316827231,0.688,0.384,2.82951081849134e-71,"PH-SUM Foxa1 Glut_subset","Nxph1",0.304,5
"Grik2",1.62980716433026e-68,0.780555174074648,0.966,0.922,6.10558359901402e-64,"PH-SUM Foxa1 Glut_subset","Grik2",0.0439999999999999,2
"Nell1.1",3.70695095561398e-68,1.20247461250188,0.773,0.468,1.38869796699211e-63,"PH-SUM Foxa1 Glut_subset","Nell1",0.305,5
"Zfhx3.2",8.30554517699466e-54,-1.89456648192791,0.147,0.467,3.11142333420574e-49,"PH-SUM Foxa1 Glut_subset","Zfhx3",-0.32,5
"Luzp2",1.06305154848717e-51,-1.29964695049396,0.278,0.616,3.98240371094262e-47,"PH-SUM Foxa1 Glut_subset","Luzp2",-0.338,4
"Cdh12",1.62597081814104e-51,-1.09838404090296,0.468,0.771,6.09121187891996e-47,"PH-SUM Foxa1 Glut_subset","Cdh12",-0.303,3
"Egfem1.1",1.32634965962183e-47,0.937333062978797,0.838,0.574,4.9687710948753e-43,"PH-SUM Foxa1 Glut_subset","Egfem1",0.264,3
"Adamts2",2.58418911419607e-44,0.969188399888922,0.339,0.121,9.68088925960134e-40,"PH-SUM Foxa1 Glut_subset","Adamts2",0.218,1
"Mir99ahg.1",1.91611110013693e-42,0.688987589832695,0.853,0.695,7.17813540333295e-38,"PH-SUM Foxa1 Glut_subset","Mir99ahg",0.158,2
"Kcnh7.1",5.74690335814412e-41,0.751104541084046,0.876,0.683,2.15290493602795e-36,"PH-SUM Foxa1 Glut_subset","Kcnh7",0.193,4
"Kcnq5",2.18642054975025e-40,0.877321078818006,0.738,0.504,8.19076866347438e-36,"PH-SUM Foxa1 Glut_subset","Kcnq5",0.234,4
"Robo1.1",1.58805883847448e-38,-0.761955911760297,0.755,0.882,5.94918602069311e-34,"PH-SUM Foxa1 Glut_subset","Robo1",-0.127,3
"Galntl6.1",1.88178321059369e-36,1.00846504064808,0.886,0.795,7.04953626352609e-32,"PH-SUM Foxa1 Glut_subset","Galntl6",0.091,5
"Adarb2.1",3.5048079564935e-36,-2.22332907366299,0.198,0.441,1.3129711566616e-31,"PH-SUM Foxa1 Glut_subset","Adarb2",-0.243,5
"Cep112.2",4.41032437598322e-36,-1.06927339447826,0.315,0.565,1.65219571773083e-31,"PH-SUM Foxa1 Glut_subset","Cep112",-0.25,5
"Celf2.1",6.734710605346e-36,0.62033042039173,0.915,0.794,2.52295728697472e-31,"PH-SUM Foxa1 Glut_subset","Celf2",0.121,4
"Tox.2",1.97364373712046e-35,-1.30191457153362,0.162,0.419,7.39366416800067e-31,"PH-SUM Foxa1 Glut_subset","Tox",-0.257,6
"Hs3st5.1",5.13587469761038e-35,-1.1017933195658,0.249,0.5,1.9240013792188e-30,"PH-SUM Foxa1 Glut_subset","Hs3st5",-0.251,3
"Gm4876",5.46721642593169e-35,0.814633626722921,0.385,0.167,2.04812861748253e-30,"PH-SUM Foxa1 Glut_subset","Gm4876",0.218,1
"Mast4.1",1.13528210250736e-34,-1.02084298154277,0.376,0.624,4.25299381241306e-30,"PH-SUM Foxa1 Glut_subset","Mast4",-0.248,6
"Ryr3.1",1.22098269640322e-34,-1.12887430138699,0.271,0.517,4.57404537726574e-30,"PH-SUM Foxa1 Glut_subset","Ryr3",-0.246,4
"Sv2b",4.24152342481776e-34,0.715152652410772,0.344,0.14,1.58895950540523e-29,"PH-SUM Foxa1 Glut_subset","Sv2b",0.204,1
"Cdh11",7.93652243244929e-33,0.75584269235713,0.589,0.361,2.97318003364415e-28,"PH-SUM Foxa1 Glut_subset","Cdh11",0.228,3
"Asic2.1",1.80875763417786e-32,-0.606671447890114,0.794,0.939,6.77596784915711e-28,"PH-SUM Foxa1 Glut_subset","Asic2",-0.145,3
