"","X.Intercept...Intercept.","X.Intercept..p.value","Props.props_trans","Props.Std..Error","Props.t.value","Props.p.value","Sex.sexM","Sex.Std..Error","Sex.t.value","Sex.p.value","r_squared","adj_r_squared","f_statistic.value","f_pvalue.value","cluster","bh_pvalues_props","bh_pvalues_sex"
"5",7.74168028513015,0.7593045973328,-5.79856634093096,4.07543432269007,-1.42280941902249,0.167660476266686,-20.3937106852562,4.42395078709319,-4.60984121811539,0.000111997615235872,0.474845033178868,0.431082119277107,10.8503979932598,0.000439997012616092,"AHN-RCH-LHA Otp Fezf1 Glut_subset",0.391207777955601,0.000783983306651106
"22",32.7751986749917,0.399183516116319,-2.1664240955101,5.55047251195037,-0.390313453646642,0.705381987128448,-8.76957809751961,8.68063853710796,-1.01024573941553,0.338765204773466,0.122235928768337,-0.0728227537275883,0.626662331582654,0.556160449197006,"ND-INC Foxd2 Glut_subset",0.822945651649856,0.338765204773466
"25",69.7165040184518,3.75353373685152e-08,5.13807425628973,1.72723308829573,2.9747428364515,0.00574291001980287,-13.0576134462804,4.08103634262544,-3.19958274076043,0.0032420861426618,0.449545039703343,0.412848042350232,12.2501859042492,0.00012907045597238,"PH-ant-LHA Otp Bsx Glut_subset",0.0402003701386201,0.00756486766621086
"26",37.0586726148269,0.458212049113936,-1.11074353817902,6.99410282330712,-0.158811439614182,0.876458868378974,-9.44355385055115,7.9773592367032,-1.18379448265312,0.259414354926254,0.107056802744465,-0.0417670634647913,0.719352382593905,0.506924169240194,"PH-LHA Foxb1 Glut_subset",0.876458868378974,0.302650080747297
"28",58.1776034856153,0.000313768022933141,2.88071455901616,2.68084522222466,1.07455459760771,0.296768132938062,-11.251375100042,5.8302667984055,-1.92982165123543,0.0695425689230545,0.319076453706966,0.243418281896629,4.21734289994265,0.0314691614702695,"PH-SUM Foxa1 Glut_subset",0.459368186474628,0.0973595964922763
"35",63.0056101312274,4.10781943917786e-07,4.63192499140098,2.11470190371046,2.19034417251614,0.0356706243928861,-12.6221291552674,4.18156133276911,-3.01852063160072,0.00486939366162493,0.382636251427634,0.345220266665672,10.226544987709,0.000349887598903625,"PRC-PAG Tcf7l2-SPA-SPFm-SPF Glut_subset",0.124847185375101,0.00852143890784362
"39",67.0444797492616,0.010183263720001,4.30937651862228,4.33939414519199,0.993082530518007,0.328120133196163,-16.8519241011606,4.25424138687245,-3.96120543445455,0.000390520623495982,0.334595338920808,0.293007547603359,8.04551836780085,0.00147697593621279,"PVH-SO-PVa Otp Glut_subset",0.459368186474628,0.00136682218223594
