Coded_ID,sample,Dissector,TimetoSac,Sac_Learner,Ever_Learner
10.2,Het_F_6,Simona,17,0,0
12.3,Het_M_10,Simona,25,0,0
6.4,Het_M_4,Simona,19,0,0
7.1,Het_M_5,Simona,11,0,0
9.5,WT_M_10,Simona,26,0,0
8.2,WT_M_2,Simona,16,0,0
8.3,WT_M_3,Simona,13,0,0
8.4,WT_M_4,Simona,19,0,0
9.1,WT_M_6,Simona,19,0,0
9.3,WT_M_8,Simona,19,0,0
6.1,Het_M_1,Simona,25,0,1
1.2,Het_F_1,Din,12,1,1
1.3,Het_F_2,Din,14,1,1
2.3,Het_F_4,Din,14,1,1
3.1,Het_F_5,Din,11,1,1
6.3,Het_M_3,Din,23,1,1
12.1,Het_M_8,Din,10,1,1
12.2,Het_M_9,Din,10,1,1
10.3,WT_F_10,Din,18,1,1
3.2,WT_F_2,Din,25,1,1
4.1,WT_F_4,Din,13,1,1
4.2,WT_F_5,Din,30,1,1
4.3,WT_F_6,Din,21,1,1
4.5,WT_F_8,Din,12,1,1
10.1,WT_F_9,Din,14,1,1
8.1,WT_M_1,Din,21,1,1
8.5,WT_M_5,Din,15,1,1
9.2,WT_M_7,Din,19,1,1
9.4,WT_M_9,Din,10,1,1
2.2,Het_F_3,Simona,21,1,1
6.2,Het_M_2,Simona,21,1,1
7.2,Het_M_6,Simona,30,1,1
7.3,Het_M_7,Simona,23,1,1
2.1,WT_F_1,Simona,12,1,1
3.3,WT_F_3,Simona,15,1,1
4.4,WT_F_7,Simona,29,1,1
