,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,Grm3,76.9014068841778,-0.414306124585163,0.0718397914443495,-5.76708417793925,8.06547725778426e-09,1.51147043810877e-05
2,Nlgn1,1511.94432153973,-0.138730834273886,0.0273287789389138,-5.07636417214183,3.84725593665671e-07,0.000240325254176489
3,Cadm2,1426.69192641963,-0.191522885347924,0.0372663965324766,-5.13929177941896,2.75775892097985e-07,0.000240325254176489
4,Gm20754,94.6880798649589,0.48738480168492,0.101895451531122,4.78318506234849,1.72539135887511e-06,0.00080834585163299
5,Neto1,164.029060685132,-0.28606838279592,0.0613006081901921,-4.6666483619275,3.06152608056028e-06,0.00114745997499399
6,Slc35f1,112.406398982378,-0.340801859114208,0.0820132613776623,-4.15544819690625,3.24650498645991e-05,0.0101399172410431
7,Tmtc1,66.4378966983062,-0.2691065592021,0.0671110584219998,-4.00986909653453,6.07524188401177e-05,0.0142312541132976
8,Ntrk2,111.785365152784,0.341820250424543,0.0850721612235541,4.01800360433188,5.8693299653577e-05,0.0142312541132976
9,Alcam,252.85032534806,-0.195671733454279,0.0493250576177463,-3.9669843869352,7.27877587538775e-05,0.0151560288783074
10,Ralyl,183.036306453327,-0.33740492290037,0.0878810420406603,-3.83933684746548,0.000123367077320439,0.020274101405662
11,Cdh12,36.1727230242993,0.716348351948938,0.187192856475422,3.8267932090827,0.000129823488189938,0.020274101405662
12,Plcl2,66.4544590663611,0.265369312789298,0.0693089467748638,3.8287887082067,0.000128775503909279,0.020274101405662
13,Lrfn5,296.532954200351,-0.161354380591885,0.0425333501132116,-3.79359679316127,0.000148480712622506,0.0214040658041982
14,Galntl6,305.703878186086,-0.328794686314652,0.0905894694672515,-3.62950228374516,0.000283968219050855,0.0380111744643788
15,Tmem132d,32.8432796663354,0.604715639184231,0.168760875621038,3.58326914907786,0.000339320653443412,0.0423924603035303
16,Gm26871,147.637468201772,-0.27437426612524,0.0799869099040236,-3.43023960363592,0.000603048479614493,0.0594796237261873
17,Kcnd2,1371.60180259862,-0.131984414773501,0.0381370702023487,-3.46079061850359,0.000538591541018353,0.0594796237261873
18,Gm10754,169.834151963037,-0.324221221768025,0.0943765846187799,-3.4353989718707,0.000591682031214384,0.0594796237261873
19,Dmd,143.958201340144,0.252733921946016,0.0735631920375141,3.43560298222421,0.000591236707614578,0.0594796237261873
20,Pmepa1,17.1093315729972,-0.493351250439018,0.14664910748017,-3.364161288917,0.000767766603301725,0.0719397307293716
21,9530059O14Rik,118.632791300803,0.258686543847489,0.0777439558780842,3.32741678662652,0.000876551639626691,0.0782217986981152
22,Baiap2,84.014257609486,0.255546821919437,0.078931473325508,3.23757825811231,0.00120548871767994,0.0941285773721754
23,Cdh18,165.034460538233,0.330882262914271,0.101579526100578,3.25737159461297,0.00112449120951726,0.0941285773721754
24,Cpne5,41.5056725953453,0.280193016540053,0.0863284092517736,3.24566407476454,0.00117177019128881,0.0941285773721754
