,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,Xist,7.47644245224457,6.56508044039101,0.666816665156729,9.84540546665544,7.1749330242532e-23,1.47982993625222e-18
2,Uty,6.66840173460817,-4.78138517462678,0.576508472178278,-8.29369455154892,1.09784145723791e-16,1.1321490027766e-12
3,Eif2s3y,3.95572264292325,-4.87315827918122,0.661425275817315,-7.36766261791178,1.7364555889781e-13,1.19381321742244e-09
4,Kdm5d,2.92108069708623,-3.58002705651503,0.594760157920851,-6.01927854251369,1.75196167466056e-09,9.0335523849685e-06
5,Ddx3y,1.86190877069546,-3.4714474936732,0.678242163633078,-5.11830092525952,3.0830042075933e-07,0.00127173923563223
