,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,Uty,23.5070898785347,-7.09653514897299,0.602295001291139,-11.7824905299897,4.80519500711643e-32,1.12134030686069e-27
2,Xist,35.0621277187832,7.27133474065156,0.647615994899378,11.2278492160795,2.97635424345998e-29,3.47281013126911e-25
3,Eif2s3y,9.54150275893887,-7.18736197207627,0.671331954138432,-10.7061222511005,9.52692261918636e-27,7.41067554137776e-23
4,Kdm5d,8.52450805823193,-6.76847877118051,0.670788513085805,-10.0903319587924,6.09630047099201e-24,3.55658169477674e-20
5,Ddx3y,5.60174797337326,-5.52912731133419,0.681899360702202,-8.10842131548627,5.12816556877114e-16,2.39341743425687e-12
6,Tsix,1.56088138738679,3.37316718562813,0.725772684901145,4.64769101373329,3.35671213736062e-06,0.0130553724062412
7,Kcnmb2,11.9912884645573,1.09484009984285,0.253238558060886,4.32335465904689,1.53674390919952e-05,0.0512306512358287
