,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,Xist,2.41792420857131,4.22450520337867,0.719358021518846,5.87260456824973,4.29000930997403e-09,6.49679009902468e-05
2,Uty,1.49590118943662,-4.40082330415324,0.77359937976749,-5.68876271006827,1.27963134293079e-08,9.68936852867195e-05
3,Pde7b,15.924239045997,1.18065356412829,0.231252679002591,5.1054697797255,3.29973721644617e-07,0.00166570734686203
4,Kdm5d,0.958568340245036,-3.81481589355648,0.862562476019551,-4.42265458979926,9.74955426909308e-06,0.0369118124627864
5,Pcsk2,51.3760400178346,0.920595026681016,0.212904843547275,4.32397408787272,1.53243303758752e-05,0.0464143318424507
