,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,Xist,50.0108298055241,9.09930830061139,0.657227307711695,13.8449942566948,1.36391651173596e-43,3.11750397087488e-39
2,Uty,17.8670008967573,-6.77111090456271,0.656174590248753,-10.3190690483699,5.77806678264181e-25,6.60346362254219e-21
3,Eif2s3y,11.457294320189,-6.69118210219246,0.659600379723463,-10.1442969226272,3.51298861061835e-24,2.67654602243012e-20
4,Kdm5d,6.50313294436087,-5.34531242643001,0.67328696961972,-7.93912947617137,2.03605151253656e-15,1.1634507355512e-11
5,Ddx3y,4.45389130398119,-5.32284841891608,0.679319725688044,-7.83555698095601,4.6676891034081e-15,2.13378739673198e-11
6,Tsix,2.99845752987472,2.43550683970377,0.521786895261739,4.66762745829803,3.04697730704124e-06,0.0116074600511736
