,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,Mb21d2,101.307805541293,-0.422772316749914,0.0859408729164123,-4.91933933648906,8.68368117499908e-07,0.0251887539843198
2,Hs3st1,16.4237070980909,-0.879743177228482,0.188703417523753,-4.66204157175767,3.13087925454858e-06,0.0454087072683453
3,Iqcj,69.3253555140818,-0.522903311144971,0.116909524465129,-4.47271780068646,7.72316710852347e-06,0.0746753027723135
4,Ttyh1,29.7686409080761,0.462057707521367,0.107420755886529,4.30138201605517,1.69736143129062e-05,0.0984707260748941
5,Tsix,1.52794867256268,-3.34253776646315,0.774533058469984,-4.31555209930744,1.59204496538395e-05,0.0984707260748941
