"","X","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","cellType"
"1",1,"Tbc1d5",43.2164579469463,-0.460375397407598,0.0983727871201852,-4.67990600739148,2.87006464674075e-06,0.0746991725607216,"DMH-Gaba"
"2",1,"Megf11",3.90857779505379,2.72624451063344,0.395539890158272,6.89246414449515,5.48341160478344e-12,1.03839365559784e-07,"LH-MH-Glut"
"3",2,"Kctd16",10.1816622308531,1.70593804666956,0.3540890640913,4.81782189757122,1.4513382932873e-06,0.0137419966299908,"LH-MH-Glut"
"4",1,"Kcnh1",58.8856000505217,0.477814539181333,0.0954737529206332,5.00466907987306,5.59580769956796e-07,0.0161019366555068,"Mixed"
"5",2,"Rora",557.008253251525,-0.226576063248997,0.0510239199590903,-4.44058518888123,8.97145807481335e-06,0.0860512353675847,"Mixed"
"6",3,"Greb1",5.89297685481917,1.31887107805858,0.295152262644074,4.46844305459048,7.87909812214024e-06,0.0860512353675847,"Mixed"
"7",1,"Ptprt",160.414225695492,0.590760497700187,0.120669367056791,4.8956956691598,9.79585657745694e-07,0.000829709052110603,"PH-LHA-PVH-SO-PVa-Nxph4-Glut"
"8",2,"Cdh18",370.940136328222,-0.661112561251756,0.12824073898901,-5.15524603541477,2.53298127082039e-07,0.000829709052110603,"PH-LHA-PVH-SO-PVa-Nxph4-Glut"
"9",3,"Mdga1",15.2055409345216,0.811558160436891,0.165047265180423,4.91712576727478,8.7824132192904e-07,0.000829709052110603,"PH-LHA-PVH-SO-PVa-Nxph4-Glut"
"10",4,"Zbtb7c",14.727879423498,0.855354372394104,0.174173286813703,4.91093891630465,9.06413233089389e-07,0.000829709052110603,"PH-LHA-PVH-SO-PVa-Nxph4-Glut"
"11",5,"Kcnq3",108.213636690869,0.329409012992814,0.0690943362814443,4.7675255414716,1.86502357534459e-06,0.00126373997465349,"PH-LHA-PVH-SO-PVa-Nxph4-Glut"
"12",6,"Ptprk",79.8953081201982,0.584062847649962,0.126686330990209,4.61030675594434,4.02075238053299e-06,0.00227038484420763,"PH-LHA-PVH-SO-PVa-Nxph4-Glut"
"13",7,"Clcn5",17.1476643178085,0.802304652894793,0.180706164163732,4.43983002244378,9.00299568324867e-06,0.00435744991069235,"PH-LHA-PVH-SO-PVa-Nxph4-Glut"
"14",8,"D430041D05Rik",58.4342300210364,0.429841909643398,0.100137299593724,4.29252547639441,1.76652273906326e-05,0.00664997671105147,"PH-LHA-PVH-SO-PVa-Nxph4-Glut"
"15",9,"Ncald",65.3258104508034,0.683900236750835,0.158785860735076,4.3070600466869,1.65438710968792e-05,0.00664997671105147,"PH-LHA-PVH-SO-PVa-Nxph4-Glut"
"16",10,"Kcnk9",12.7556469027771,0.759513230839722,0.181617220316855,4.18194502434655,2.89025864809743e-05,0.0097921962997541,"PH-LHA-PVH-SO-PVa-Nxph4-Glut"
"17",11,"Dlgap2",107.732608897694,0.314841602667177,0.0767651463166624,4.10136133094088,4.10726615570787e-05,0.0115961814462819,"PH-LHA-PVH-SO-PVa-Nxph4-Glut"
