"Cluster","Slope_Activated_Percentage","Slope_Sex","Intercept","p_value_activated_percentage","p_value_sex","adjusted_p_values_activated","adjusted_p_values_sex"
"TH Sema5b-Ntrk Glut",-69.9808217593087,-1438.18931591987,15054.4015516208,0.316184580534128,0.0955083003493819,0.959555353027799,0.229698495210862
"TRS-BAC Sln Glut",7.52883458004816,-1543.99067212249,12581.9941888343,0.710386600297288,0.11451637240214,0.959555353027799,0.229698495210862
"VMH Nr5a1 Glut_1",7.17220675302914,-1282.54106143066,12260.1318577461,0.749652619552968,0.164045634539702,0.959555353027799,0.233309346900909
"ZI Mixed Gaba",-46.177538481534,-1357.57828941903,13437.343297484,0.525877139055992,0.118237264112884,0.959555353027799,0.229698495210862
"ZI Pax6 Gaba",90.3601764141083,-1090.31831230507,11212.7762651862,0.366974954334617,0.222101242159922,0.959555353027799,0.273355374966058
"RT-ZI Gnb3 Gaba_2",-18.2899205512118,-1388.75989988189,12808.7396969764,0.784766618360745,0.119404912568522,0.962015235521175,0.229698495210862
"STN-PSTN Pitx2 Glut",-6.99970419543912,-1273.27914460747,12674.0569989506,0.81069392748194,0.190250544370059,0.962015235521175,0.253776704099185
"STR D1-D2 Gaba",19.6269981427591,-1392.86454502901,11982.5775306815,0.781019138154298,0.119259369396446,0.962015235521175,0.229698495210862
"TH Prkcd Grin2c Glut_7",-12.6358844343174,-1299.93249716876,13017.06751419,0.811700354970991,0.147027575144276,0.962015235521175,0.229698495210862
"AHN Onecut3 Gaba",-6.63539529404039,-1363.42402503738,12570.8945683,0.930966545749099,0.129869265028952,0.991483051761219,0.229698495210862
"DMH Gaba",2.76419645675209,-1337.00826806027,12417.0459215803,0.978445803028343,0.157692374681776,0.991483051761219,0.233309346900909
"Hist Gaba",-5.70592031320856,-1443.38149968998,12534.8741080017,0.872245778670534,0.25509412001164,0.991483051761219,0.29153613715616
"HY NSCs_2",4.3272428033253,-1045.60855920876,11984.6607404246,0.890542915430162,0.468189427553875,0.991483051761219,0.483292312313678
"Lhx6 Gaba",-0.228177991774605,-1348.20221320703,12459.9738160537,0.991483051761219,0.130622283148556,0.991483051761219,0.229698495210862
"PVH-SO-PVa Avp Glut",-5.53365132452198,-1323.98644569634,12524.0898529689,0.900167256440313,0.139125322267222,0.991483051761219,0.229698495210862
"PVN Mixed Glut",2.32691904219434,-1182.03315467568,12174.4748282841,0.929303366666797,0.39305576867849,0.991483051761219,0.419259486590389
"SI-MA-LPO-LHA Skor1 Glut",-2.21646030251129,-1349.21469238127,12506.6587958941,0.975430087297225,0.126346871144578,0.991483051761219,0.229698495210862
"TH Prkcd Grin2c Glut_6",1.84531991794499,-1347.13171925813,12381.2651614194,0.976057512541063,0.1251556371296,0.991483051761219,0.229698495210862
"TU-ARH Otp Six6 Gaba",-5.14702495914064,-1312.94400078737,12500.4152806886,0.896537731423229,0.150739637482128,0.991483051761219,0.229698495210862
