"Cluster","Activated_Percentage_M_mean","Activated_Percentage_F_mean","Activated_Percentage_Difference","p_value","AdjustedPValue"
"TH Prkcd Grin2c Glut_7",48.2847513834655,44.5954035998923,3.68934778357316,0.000282688676446629,0.0183747639690309
"HY NSCs_2",38.8150850363965,72.9457630810263,-34.1306780446298,0.00361784762774178,0.117580047901608
"Mixed",23.6970370308441,19.4596822717588,4.23735475908536,0.0104877199179285,0.136340358933071
"TH Prkcd Grin2c Glut_3",36.4394888745261,40.1106000198774,-3.67111114535127,0.0101783470359223,0.136340358933071
"TH-PVT-RE Ntrk1-Nox4 Glut",47.8957431457431,27.790404040404,20.1053391053391,0.00847541671663757,0.136340358933071
"DMH Gaba",9.75937329420836,13.2115162547496,-3.45214296054123,0.0268374639938366,0.290739193266563
"SI-MPO-LPO-ADP Lhx8 Gaba",15.2378454559081,7.44979469951474,7.78805075639337,0.0348886688517771,0.323966210766502
"ARC Mixed Glut",58.0620227499196,62.2034221162128,-4.14139936629319,0.0865506019569737,0.598172425275638
"PH-LHA-PVH-SO-PVa Nxph4 Glut",21.4573448681001,23.5961484487952,-2.13880358069511,0.099314826675692,0.598172425275638
"PVN Mixed Glut",54.8494718025162,31.3725490196078,23.4769227829083,0.0821474237499602,0.598172425275638
"STR-PAL Chst9 Gaba",16.8324676498329,12.7595300065914,4.07293764324153,0.101229179662031,0.598172425275638
"RT-ZI Gnb3 Gaba_2",17.1113547277689,19.4191411593011,-2.30778643153219,0.122773501051187,0.613867505255936
"VMH Nr5a1 Glut_2",17.2101805946934,22.456846713606,-5.24666611891261,0.120459094693378,0.613867505255936
"RT-ZI Gnb3 Gaba_1",6.83333333333333,15.0883838383838,-8.25505050505051,0.15005421838878,0.65023494635138
"STN-PSTN Pitx2 Glut",14.8504273504274,23.0222490687607,-8.17182171833335,0.145997511419992,0.65023494635138
"STR D1 Gaba",17.4430333660179,15.1436694942172,2.29936387180062,0.198721125137493,0.807304570871067
"Chat GABA",42.5151661204293,46.5084033613445,-3.99323724091526,0.345124916146066,0.911005432135595
"Mixed Meis2 Gaba",38.913807158364,34.9811888275759,3.93261833078806,0.312373042170756,0.911005432135595
"PF Fzd5 Glut",23.7131191999346,35.9877093191047,-12.2745901191701,0.348896044725594,0.911005432135595
"PO-MEA-BST Mixed Gaba",20.0844352498051,19.9683623494772,0.116072900327993,0.350386704667537,0.911005432135595
"PVH-SO-PVa Agtr1a Glut",35.0905760905761,31.7962791177077,3.29429697286841,0.292692632543737,0.911005432135595
"SCH Six6 Cdc14a Gaba",13.249760430488,9.73173214805852,3.51802828242946,0.267339567679361,0.911005432135595
"TH Prkcd Grin2c Glut_2",33.8160066936944,34.3223317986034,-0.506325104908996,0.262803479663224,0.911005432135595
"TRS-BAC Sln Glut",9.16622103386809,18.4659090909091,-9.299688057041,0.26699085736353,0.911005432135595
"VMH Nr5a1 Glut_1",30.3703703703704,26.9698430224746,3.40052734789577,0.335069292873783,0.911005432135595
"AD Serpinb7 Glut",40.3769841269841,43.0335097001764,-2.65652557319224,0.466286340561409,0.925455913585258
"ADP-MPO Trp73 Glut",17.45670995671,25.3591470258137,-7.90243706910374,0.534304599092316,0.925455913585258
"AV Col27a1 Glut",18.979072418993,23.9386606874292,-4.95958826843619,0.468423323973956,0.925455913585258
"DMH Hmx2-Vgll1 Glut",26.1145784573776,23.12808333947,2.98649511790767,0.603774544162174,0.925455913585258
"GPe-SI Sox6 Cyp26b1 Gaba",18.301411136537,21.6935419652811,-3.3921308287441,0.397303044081975,0.925455913585258
"GPi Tbr1 Cngb3 Gaba-Glut",20.1412337662338,25.4047619047619,-5.26352813852814,0.601586468147272,0.925455913585258
"Hist Gaba",13.9799331103679,24.8168178614034,-10.8368847510355,0.549438414117428,0.925455913585258
"Lhx6-Lhx8 Gaba",13.4419504736122,9.92194636987745,3.52000410373477,0.601435788988169,0.925455913585258
"NDB-SI-MA-STRv Lhx8 Gaba",24.2684601304441,31.4219660035766,-7.15350587313256,0.551458446327261,0.925455913585258
"PO-COAa-PAA-MEA Barhl2 Glut",28.5759943881531,26.1179799788768,2.45801440927634,0.550518351216963,0.925455913585258
"PO-MEA Glut",24.7366942569341,17.6185249748683,7.11816928206588,0.436518533127799,0.925455913585258
"PV-PT Ntrk1-Sp9 Glut",25.7999069790241,24.0884916694902,1.71141530953396,0.612224681294863,0.925455913585258
"RE-Xi Nox4 Glut",28.9341151523539,27.106672520058,1.82744263229587,0.429596299527195,0.925455913585258
"SCsg Gabrr2 Gaba",25,14.1666666666667,10.8333333333333,0.587041023573531,0.925455913585258
"TH Prkcd Grin2c Glut_1",40.3134920634921,48.7373737373737,-8.42388167388167,0.474804371947765,0.925455913585258
"TH Prkcd Grin2c Glut_4",39.1220844070425,43.0972426466193,-3.97515823957679,0.563337333983352,0.925455913585258
"TH Sema5b-Ntrk Glut",35.8555057517191,37.164988038667,-1.30948228694789,0.41644126421614,0.925455913585258
"Trh Glut",24.5427192303415,26.844998652156,-2.30227942181453,0.594572365586684,0.925455913585258
"AHN Onecut3 Gaba",15.1394242861173,17.682355775449,-2.5429314893317,0.698324966568408,0.94372937389899
"AHN-PVHd-PVR Mixed Gaba",7.76509698985421,8.93360999740369,-1.16851300754948,0.76293379309264,0.94372937389899
"HY NSCs_1",67.8854312354312,83.2612612612613,-15.37583002583,0.733439226135445,0.94372937389899
"Lhx6 Gaba",20.8483044733045,28.0862672329391,-7.23796275963458,0.773080771072713,0.94372937389899
"PH-LHA-MM Foxb1 Glut",6.95128205128205,17.6104109989496,-10.6591289476676,0.798540239452992,0.94372937389899
"PO-CEA-BST Meis2 Gaba",19.8052834060209,19.4462436070698,0.359039798951088,0.7280537148694,0.94372937389899
"PVpo-VMPO-MPN Hmx2 Gaba",13.4589987830163,15.5298819347679,-2.07088315175157,0.72465994539357,0.94372937389899
"STR D1-D2 Gaba",26.3566282110419,23.9969257597478,2.35970245129412,0.790177592749524,0.94372937389899
"TH Prkcd Grin2c Glut_6",39.4950684323218,39.1801908587998,0.314877573521962,0.710080187229312,0.94372937389899
"TH Prkcd Grin2c Glut_8",49.4614853745288,47.2281639928699,2.23332138165897,0.798361353741771,0.94372937389899
"ZI Mixed Gaba",21.0654478660442,21.3042570443082,-0.238809178263971,0.666786000680488,0.94372937389899
"ZI Pax6 Gaba",10.8959119469483,13.7315898668391,-2.83567791989083,0.722679750734895,0.94372937389899
"LHA Pmch Glut",29.8412698412698,22.3771367521367,7.46413308913309,0.818413346293015,0.949944062661536
"TH Prkcd Grin2c Glut_5",57.6309523809524,47.8932178932179,9.73773448773449,0.855948832228975,0.95925300163592
"ZI-PVH-SBPV Pax6-Prox1 Gaba",12.4480717861047,11.4963707225721,0.951701063532632,0.84193643555521,0.95925300163592
"LH-MH Glut",22.4675324675325,35.8853415103415,-13.417809042809,0.877623679811268,0.965899274212592
"PVH-SO-PVa Avp Glut",16.8223336118073,12.7446961929721,4.07763741883524,0.891599330042393,0.965899274212592
"Pitx2 Glut",26.1024531024531,30.6629889067579,-4.56053580430481,0.918219016878825,0.978430099952847
"SI-MA-LPO-LHA Skor1 Glut",22.7523248919501,23.954251666027,-1.20192677407692,0.950922938436526,0.996935338683455
"PO-MEA Slc17a7 Glut",73.2950819672131,44.5036146562164,28.7914673109967,1,1
"SNc-VTA-RAmb Foxa1 Dopa",NA,28.5714285714286,NA,1,1
"TU-ARH Otp Six6 Gaba",15.63170995671,9.10237138162799,6.52933857508196,1,1
