"Cluster","Geno_Coef","Geno_P.Value","Geno_adj.P.Val","B_Geno","Geno_Ratio","Sex_Coef","Sex_P.Value","Sex_adj.P.Val","B_Sex","Sex_Ratio","Interaction_Coef","Interaction_P.Value","Interaction_adj.P.Val","B_Interaction","Interaction_Ratio","AveExpr","PropMean_WT","PropMean_Het","PropMean_Male","PropMean_Female","PropMean_WT_Male","PropMean_WT_Female","PropMean_Het_Male","PropMean_Het_Female","Direct_Ratio_Het_WT","Direct_Ratio_Male_Female"
"NDB-SI-MA-STRv Lhx8 Gaba",-0.00807816447379471,0.00567179930169601,0.368666954610241,-2.41839451041956,0.994416290251561,0.0189257019984352,0.00367010819020092,0.0740417177656211,-1.85196845835524,1.01320471932936,-0.0187390535363414,0.011440169133938,0.213399686020864,-4.47756702497524,0.987095069875441,-4.64367712250484,0.0138807840318509,0.00986947538462885,0.0140906196209992,0.00960718089819356,0.0151250754878353,0.0126364925758666,0.013056163754163,0.00455832810207187,0.711017141537704,1.46667578869558
"PH-LHA-PVH-SO-PVa Nxph4 Glut",0.00595345719693651,0.106880151365768,0.729342292548919,-4.27126578899836,1.00413514829964,-0.0262062854650822,0.00507643093240024,0.0740417177656211,-2.10907127916884,0.981999172905546,0.0325544235612893,0.0175212076311343,0.213399686020864,-4.492884094761,1.02282152246616,-6.22147198778753,0.00384081658844706,0.0053078859903661,0.00459418227263017,0.00436617888513722,0.0055480007406081,0.00213363243628603,0.00364036380465224,0.00808708963322254,1.38196809666254,1.05222034953013
"HY NSCs_2",-0.0020931844428804,0.113060456657356,0.729342292548919,-4.30482012682175,0.998550167129664,-0.0145786947117255,0.0054672131283624,0.0740417177656211,-2.16707019463144,0.989945704659582,-0.0170401277467251,0.0193756421564422,0.213399686020864,-4.49648531118114,0.988258163276493,-3.29692894099555,0.0391440058253346,0.0408921820597085,0.0419786902445799,0.0373488265356518,0.0460207362600664,0.0322672753906028,0.0379366442290934,0.0458180784440669,1.04466012605287,1.12396276237778
"TU-ARH Otp Six6 Gaba",0.00323159160743269,0.11823959150348,0.729342292548919,-4.33124359015734,1.00224247921531,0.0139623291635931,0.00655205386804212,0.0740417177656211,-2.31070846939707,1.0097249318865,-0.00786109413289236,0.0202025829216698,0.213399686020864,-4.49799774161065,0.99456592306863,-4.69554833044084,0.00997180049585683,0.0105131442532652,0.0110881413130662,0.00911771823175342,0.0120377296127475,0.00790587137896616,0.010138553013385,0.0111374629863989,1.05428746369658,1.21610923163326
"VMH Nr5a1 Glut_2",0.0135508030534642,0.125282906849011,0.729342292548919,-4.36521529355609,1.00943695077958,-0.0274083189082243,0.00779962021978428,0.0740417177656211,-2.44807388771287,0.981181325609083,0.0243554648977309,0.023993314564591,0.213399686020864,-4.50425550832728,1.01702522675243,-3.13228159714614,0.0501143294787568,0.0484048691837854,0.0450697932976365,0.0547105394101858,0.0398698534718276,0.060358805485686,0.0502697331234454,0.0452967626176854,0.965888792432192,0.823786308516007
"ARC Mixed Glut",-0.0164010646602852,0.12781545059397,0.729342292548919,-4.37669603422473,0.988696023804214,-0.0164532870363063,0.00855753977475245,0.0740417177656211,-2.52038174364695,0.988660235838227,0.0198468984340014,0.0308105512114907,0.213399686020864,-4.51331366326332,1.01385188217377,-5.26485877861346,0.00769580680472833,0.00743552419375029,0.00777390617880581,0.00733789997615344,0.00865495759921732,0.00673665601023934,0.00689285475839431,0.00833997325267694,0.966178645386716,1.05941839001203
"AHN Onecut3 Gaba",0.0229435111310055,0.13091836135053,0.729342292548919,-4.39069744409646,1.01603035944423,0.0033597873134117,0.0091489442492467,0.0740417177656211,-2.57353192510886,1.00233154092768,-0.00425998012034454,0.0309575223256802,0.213399686020864,-4.51348668043661,0.997051561996482,-6.04127454138191,0.0141405463787864,0.0147167803820065,0.0108751515263171,0.0187985239475931,0.0033321695623727,0.0249489231952,0.0184181334902615,0.00854785853491483,1.04075047652222,0.578510927593841
"PO-CEA-BST Meis2 Gaba",-0.00328345770503245,0.14091796361751,0.729342292548919,-4.43365796615136,0.997726668490255,0.00225251352781074,0.0103936550549451,0.0740417177656211,-2.67359955376817,1.00156254290095,0.0273052223230309,0.0323806781122184,0.213399686020864,-4.51512098912841,1.01910678011041,-4.087433763975,0.0176131214026166,0.0166740323305596,0.0174516650652019,0.0168758527523279,0.0171190934135181,0.018107149391715,0.0177842367168858,0.0148236916866826,0.946682416444512,1.03412048690663
"TRS-BAC Sln Glut",-0.0150620428680006,0.144045312859709,0.729342292548919,-4.4463370704646,0.989614097305135,-0.00374822588122101,0.0127177566263483,0.0740417177656211,-2.83084181988928,0.997405299866988,0.0156911267655186,0.0325661775076566,0.213399686020864,-4.51534596246952,1.01093562181144,-5.77687499338098,0.00434711654658298,0.00392450433382145,0.00466938566740711,0.00352166793279129,0.00596636406763767,0.00272786902552829,0.00337240726717655,0.00484466611156295,0.902783325859133,1.325901747842
"STN-PSTN Pitx2 Glut",0.00539917003044652,0.167646186079876,0.729342292548919,-4.5330825058053,1.00374943107981,-0.0129988696750323,0.0134145156511688,0.0740417177656211,-2.87308184579284,0.991030339717776,0.031487028588174,0.0368159954400022,0.213399686020864,-4.51980441439852,1.02206505575186,-4.99639315582438,0.0110256228397644,0.00676272681908176,0.0110229102092668,0.00676611760720376,0.0140557075850889,0.00799553809443988,0.00799011283344469,0.00471708346181022,0.61336460691288,1.62913369958733
