"","BaselineProp.clusters","BaselineProp.Freq","PropMean.WT","PropMean.Het","PropRatio","Tstatistic","P.Value","FDR"
"TH Prkcd Grin2c Glut_8","TH Prkcd Grin2c Glut_8",0.00455052527668317,0.00403522295962385,0.00545496695639643,0.73973371275736,-1.72985480604923,0.092061570759703,0.911474318048491
"TH-PVT-RE Ntrk1-Nox4 Glut","TH-PVT-RE Ntrk1-Nox4 Glut",0.00313801654882385,0.00345463716993518,0.0026428524088259,1.30716235170692,1.69915503211096,0.0977551254915918,0.911474318048491
"PO-COAa-PAA-MEA Barhl2 Glut","PO-COAa-PAA-MEA Barhl2 Glut",0.00913315302445406,0.0110256228397644,0.00676272681908176,1.63035165174119,1.57642288948068,0.123512639541489,0.911474318048491
"STR D1 Gaba","STR D1 Gaba",0.0296145295784143,0.0323841981653627,0.0295878939822887,1.09450838862502,1.52841961089357,0.134984620692406,0.911474318048491
"PO-CEA-BST Meis2 Gaba","PO-CEA-BST Meis2 Gaba",0.0286915835346426,0.0311975120637149,0.0250377145351117,1.24602075880229,1.48891794631431,0.145054928688494,0.911474318048491
"PO-MEA Glut","PO-MEA Glut",0.0127125785507339,0.0138807840318509,0.00986947538462885,1.4064358530616,1.47883338085138,0.14771963374278,0.911474318048491
"PO-MEA-BST Mixed Gaba","PO-MEA-BST Mixed Gaba",0.0304411682089229,0.0335823359310675,0.0266212158266458,1.26148768522639,1.47213746422021,0.149510352958825,0.911474318048491
"STR D1-D2 Gaba","STR D1-D2 Gaba",0.0428166708132358,0.0449490768956532,0.0432644543675947,1.03893779668975,1.4614057422231,0.152416307389859,0.911474318048491
"STR-PAL Chst9 Gaba","STR-PAL Chst9 Gaba",0.0209388367669601,0.0222220196345793,0.0206651061195939,1.07534021388398,1.20369578692431,0.23641593291704,0.911474318048491
"DMH Gaba","DMH Gaba",0.0329130584826767,0.0292642380124742,0.0357152541919667,0.819376445010896,-1.19397666228331,0.240149613891641,0.911474318048491
"Hist Gaba","Hist Gaba",0.00301763228224493,0.00245141724104279,0.0035016862432165,0.700067644778769,-1.16486315995264,0.251641903255019,0.911474318048491
"PVN Mixed Glut","PVN Mixed Glut",0.00231940353608719,0.00278492373711873,0.00151419347971099,1.83921260686598,1.10569284470136,0.276104607832693,0.911474318048491
"SNc-VTA-RAmb Foxa1 Dopa","SNc-VTA-RAmb Foxa1 Dopa",0.00024076853315784,0.000184032261102944,0.00028929143762408,0.636148316778337,-1.0228517391244,0.313074967669367,0.911474318048491
"PV-PT Ntrk1-Sp9 Glut","PV-PT Ntrk1-Sp9 Glut",0.0111877111740676,0.011745658389379,0.0107807506430984,1.08950283502738,0.98300864889047,0.33204122987952,0.911474318048491
"Lhx6 Gaba","Lhx6 Gaba",0.00406096259259557,0.00449344048614195,0.00347138223212673,1.29442400337143,0.956991320690613,0.344835262526709,0.911474318048491
"Mixed","Mixed",0.0506657249941814,0.0474000391434394,0.0518776667515676,0.913688724098354,-0.947123406469386,0.349772386630227,0.911474318048491
"Lhx6-Lhx8 Gaba","Lhx6-Lhx8 Gaba",0.0185231258176098,0.0197190933424215,0.0179121350760152,1.10087899955744,0.942262229619773,0.352221627691779,0.911474318048491
"TH Prkcd Grin2c Glut_1","TH Prkcd Grin2c Glut_1",0.00226322421168369,0.00191416373337721,0.00264779437423704,0.722927638188964,-0.932055378150509,0.357400913511147,0.911474318048491
"PH-LHA-MM Foxb1 Glut","PH-LHA-MM Foxb1 Glut",0.011035224436401,0.00953842353678279,0.0129357375912255,0.737369900209851,-0.893658864362466,0.377367516754654,0.911474318048491
"GPe-SI Sox6 Cyp26b1 Gaba","GPe-SI Sox6 Cyp26b1 Gaba",0.0051604722273497,0.00563133987566826,0.0047232754248726,1.19225312290997,0.865683705960339,0.392289122009515,0.911474318048491
"NDB-SI-MA-STRv Lhx8 Gaba","NDB-SI-MA-STRv Lhx8 Gaba",0.0158505950995578,0.0181252792954714,0.0152191564005939,1.19095164136457,0.859263886499798,0.395774370496894,0.911474318048491
"SI-MA-LPO-LHA Skor1 Glut","SI-MA-LPO-LHA Skor1 Glut",0.0228328825611351,0.0257029677248545,0.0210658534159929,1.22012468316813,0.811239136110321,0.422459902849549,0.911474318048491
"RE-Xi Nox4 Glut","RE-Xi Nox4 Glut",0.0176242566271539,0.0176131214026166,0.0166740323305596,1.05632045407132,0.771605749172041,0.445289330028527,0.911474318048491
"SI-MPO-LPO-ADP Lhx8 Gaba","SI-MPO-LPO-ADP Lhx8 Gaba",0.00719897914141941,0.0084599768441412,0.00753332170137705,1.12300750976754,0.770103390282815,0.446169934801634,0.911474318048491
"TU-ARH Otp Six6 Gaba","TU-ARH Otp Six6 Gaba",0.0104252774857345,0.0090091378842788,0.0110026622610264,0.81881436242853,-0.728492740806089,0.47093638107117,0.911474318048491
"STN-PSTN Pitx2 Glut","STN-PSTN Pitx2 Glut",0.00586672659127936,0.00451791851621801,0.00694661336582766,0.650377137504574,-0.719927904034214,0.476160914396835,0.911474318048491
"PF Fzd5 Glut","PF Fzd5 Glut",0.0149115978202422,0.0127817632362864,0.0162405068822295,0.787029821727565,-0.712543085620382,0.480665424835367,0.911474318048491
"ADP-MPO Trp73 Glut","ADP-MPO Trp73 Glut",0.00209468623847321,0.00240635859881805,0.00188770860964919,1.27475108526694,0.706371835449573,0.484418684702076,0.911474318048491
"AD Serpinb7 Glut","AD Serpinb7 Glut",0.00173353343873645,0.002063868720724,0.00161204343621355,1.28028108570804,0.699906743274793,0.488400755803384,0.911474318048491
"Pitx2 Glut","Pitx2 Glut",0.0126082455196989,0.010796482634165,0.0138279913866114,0.780770130115823,-0.691690975939156,0.493514187452115,0.911474318048491
"HY NSCs_1","HY NSCs_1",0.00291329925120986,0.00304363982836795,0.00245378404381757,1.24038618477309,0.691576384312271,0.493585322712871,0.911474318048491
"TH Prkcd Grin2c Glut_6","TH Prkcd Grin2c Glut_6",0.0195263280391008,0.0174503298806163,0.0208096607493358,0.838568686477662,-0.677727786821825,0.502195997205312,0.911474318048491
"Trh Glut","Trh Glut",0.0282822770282743,0.0299774196726726,0.0267534971874418,1.12050471243603,0.673918669934588,0.50458684555479,0.911474318048491
"TH Prkcd Grin2c Glut_7","TH Prkcd Grin2c Glut_7",0.0375518655548511,0.0375308474109887,0.0384715323195017,0.975548545852016,-0.62649188678975,0.534871087777655,0.911474318048491
"Mixed Meis2 Gaba","Mixed Meis2 Gaba",0.0171507451786101,0.0176562125613101,0.018411538237183,0.958975417146433,-0.619610959413791,0.539342967225217,0.911474318048491
"RT-ZI Gnb3 Gaba_1","RT-ZI Gnb3 Gaba_1",0.00345904125970097,0.00357205859133861,0.00345723618229034,1.03321219696717,0.613352002200258,0.543427505091785,0.911474318048491
"AV Col27a1 Glut","AV Col27a1 Glut",0.0075119782345246,0.00769580680472833,0.00743552419375029,1.03500528062256,-0.571706543961192,0.571007654083534,0.911474318048491
"ARC Mixed Glut","ARC Mixed Glut",0.0125761430486112,0.013859684363867,0.0127338928294918,1.08840906307676,0.540019240209643,0.592468222293182,0.911474318048491
"AHN-PVHd-PVR Mixed Gaba","AHN-PVHd-PVR Mixed Gaba",0.0381698381232895,0.0391440058253346,0.0408921820597084,0.957249133053813,-0.535992883932558,0.595198208002294,0.911474318048491
"AHN Onecut3 Gaba","AHN Onecut3 Gaba",0.0193337132125745,0.0202211657245022,0.0183574733186317,1.10152227234774,0.530283989927109,0.599109981931723,0.911474318048491
"PVpo-VMPO-MPN Hmx2 Gaba","PVpo-VMPO-MPN Hmx2 Gaba",0.0109469426409098,0.0124018277358928,0.0110507030966778,1.12226594338791,0.526478698211706,0.601724785197417,0.911474318048491
"TH Prkcd Grin2c Glut_3","TH Prkcd Grin2c Glut_3",0.0507459811719007,0.0501143294787568,0.0484048691837854,1.03531587470014,0.459039089268109,0.648914098138031,0.911474318048491
"HY NSCs_2","HY NSCs_2",0.00990361233055915,0.00863274726395388,0.0104757560399622,0.824069139355886,0.443357870436511,0.660127541821024,0.911474318048491
"PVH-SO-PVa Agtr1a Glut","PVH-SO-PVa Agtr1a Glut",0.00303368351778878,0.00352747259034415,0.00266515370763374,1.32355315201539,0.418101706755676,0.678310292619538,0.911474318048491
"SCsg Gabrr2 Gaba","SCsg Gabrr2 Gaba",0.000537716390719176,0.000520087409887897,0.000523187682065942,0.99407426381714,-0.413049883358807,0.681974113266422,0.911474318048491
"ZI Mixed Gaba","ZI Mixed Gaba",0.039453936966798,0.0369608415059697,0.0402059867186026,0.91928701475864,-0.398809880599153,0.692344954803128,0.911474318048491
"PH-LHA-PVH-SO-PVa Nxph4 Glut","PH-LHA-PVH-SO-PVa Nxph4 Glut",0.0296787345205897,0.0276743950599352,0.0304520166910912,0.908786939816416,-0.384286106356153,0.702984684416514,0.911474318048491
"LHA Pmch Glut","LHA Pmch Glut",0.00166130287878909,0.00169873430498847,0.00153682017337962,1.10535658915304,0.378041193998524,0.707578385669046,0.911474318048491
"DMH Hmx2-Vgll1 Glut","DMH Hmx2-Vgll1 Glut",0.00632418680427926,0.00540397798779778,0.00644468478961713,0.838517036008339,-0.377908035313155,0.707676457530629,0.911474318048491
"TH Prkcd Grin2c Glut_4","TH Prkcd Grin2c Glut_4",0.0103369956902433,0.00997180049585683,0.0105131442532652,0.948507911204566,-0.371194468724593,0.712627537699837,0.911474318048491
"SCH Six6 Cdc14a Gaba","SCH Six6 Cdc14a Gaba",0.00563398367589345,0.00625666676494897,0.00555605400797743,1.1260989824731,0.347426053872659,0.730269542599779,0.911474318048491
"LH-MH Glut","LH-MH Glut",0.00389242461938508,0.00370942844135782,0.00499039728692804,0.743313253049888,-0.345086433479053,0.732012962534033,0.911474318048491
"VMH Nr5a1 Glut_1","VMH Nr5a1 Glut_1",0.00285711992680637,0.0022516817803949,0.00315433899265838,0.713836333265263,-0.308854162765357,0.75917983107524,0.911474318048491
"PO-MEA Slc17a7 Glut","PO-MEA Slc17a7 Glut",0.0146628036693124,0.0141405463787864,0.0147167803820065,0.960845104142161,-0.302986736762064,0.763622574457273,0.911474318048491
"Chat GABA","Chat GABA",0.00390045023715701,0.00434711654658298,0.00392450433382145,1.10768550033681,0.292901676505566,0.771247499887185,0.911474318048491
"RT-ZI Gnb3 Gaba_2","RT-ZI Gnb3 Gaba_2",0.0384748115986228,0.0393612749410242,0.0381334770138436,1.03219737677566,0.230581196038598,0.81892106919488,0.94728474624934
"ZI Pax6 Gaba","ZI Pax6 Gaba",0.0192534570348553,0.017842251300497,0.0203129503154998,0.878368283453266,-0.215338662716332,0.830695854403268,0.94728474624934
"VMH Nr5a1 Glut_2","VMH Nr5a1 Glut_2",0.026861742682643,0.0257911331870683,0.0263433332055217,0.979038339068735,0.159331902559626,0.874281254177792,0.955424514586545
"TH Prkcd Grin2c Glut_5","TH Prkcd Grin2c Glut_5",0.00196627635412236,0.00189484305662149,0.00207241999052802,0.914314214918723,0.148109346804248,0.88306746056684,0.955424514586545
"TH Sema5b-Ntrk Glut","TH Sema5b-Ntrk Glut",0.04146034140978,0.0398809469182049,0.0416080477659366,0.958491182824837,-0.146951863737405,0.883974533557571,0.955424514586545
"GPi Tbr1 Cngb3 Gaba-Glut","GPi Tbr1 Cngb3 Gaba-Glut",0.00288922239789408,0.00264691486267284,0.00306969701612534,0.862272350909033,0.130824084413478,0.896629159842757,0.955424514586545
