,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,Xist,2.12037134300938,4.76385887214812,0.514500181850258,9.25919764501582,2.05974147275215e-20,3.66839956297159e-16
2,Uty,2.94546985198496,-4.86572095351973,0.561061418750333,-8.67234992624742,4.23292473364752e-18,3.76941947531311e-14
3,Eif2s3y,1.38567190752335,-3.99427042799521,0.608964993448083,-6.5591133660719,5.4128641893788e-11,3.21343704042788e-07
4,Kdm5d,0.830563383471692,-3.25374391108237,0.632690591319588,-5.14270949453527,2.70804201014722e-07,0.00120575570501805
5,Ddx3y,0.716099730631783,-2.9709247346729,0.640817950938797,-4.63614468090431,3.54967554492298e-06,0.0126439442910157
