,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,Xist,29.4524697939565,7.95225064809736,0.453346323105771,17.5412267460742,6.94126668674737e-69,1.82048601393323e-64
2,Uty,21.3167602428993,-6.28157889514045,0.403435269493943,-15.5702274196797,1.1599407819964e-54,1.52108834447098e-50
3,Eif2s3y,15.2467457990214,-7.09016040662812,0.50728452782288,-13.9766935866486,2.16306149743772e-44,1.89102046310997e-40
4,Ddx3y,6.52039910650668,-5.76454687150089,0.516587650670863,-11.1588940696023,6.47925458131164e-29,4.24828524760151e-25
5,Kdm5d,6.33648649209901,-5.27824751499009,0.495052965934565,-10.6619854403372,1.53289547995538e-26,8.04064995055796e-23
6,Tsix,1.0989104340729,3.31452235161513,0.527086449924433,6.28838467027624,3.20786246320162e-10,1.40221014703981e-06
7,Gm29650,1.01443707063446,-3.35575465363789,0.607416465205692,-5.52463564269946,3.30170073445623e-08,0.000123705293089405
8,Kdm6a,41.9747021597545,0.445382247598353,0.0936077664023426,4.75796255712397,1.95556760403476e-06,0.00641108394387745
