,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,Xist,9.72678890977793,6.25413832822933,0.429499587402227,14.561453635047,4.93961515904828e-48,1.08627076962631e-43
2,Uty,5.91557665442226,-6.14271457016771,0.522152359535971,-11.7642187342151,5.96762063107796e-32,6.56169726490177e-28
3,Eif2s3y,3.66952038869892,-5.56150044503844,0.528708251091418,-10.5190347106514,7.05930871211588e-26,5.17470859627134e-22
4,Kdm5d,2.4456918201846,-4.99444565645332,0.536391505075462,-9.311194545765,1.26402619806514e-20,6.9493000304126e-17
5,Ddx3y,1.38735893008905,-3.91203074573086,0.558098104743107,-7.00957539988703,2.39042443153607e-12,1.05135647347819e-08
