,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,Uty,6.18304361634041,-6.07750736985598,0.417071342387177,-14.5718651755605,4.24150386996479e-48,1.04069538953456e-43
2,Xist,6.32977023014542,5.97422976853621,0.435618320537737,13.7143675710459,8.32894506406773e-43,1.02179498045983e-38
3,Eif2s3y,5.61935854751232,-5.73731009687476,0.468935705056407,-12.2347478236588,2.02733498608312e-34,1.65808970728451e-30
4,Kdm5d,2.36338587308931,-4.72670736112109,0.451015930270534,-10.4801339462352,1.06592665916461e-25,6.53839412731575e-22
5,Ddx3y,2.54839618843052,-4.29410488975585,0.490456739763,-8.75531834230856,2.03528194026766e-18,9.98753553728146e-15
