"15 HY Gnrh1 Glut",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16 HY MM Glut",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,13,0,0,0,0,2,0,0,0,496,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"17 MH-LH Glut",12,9,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,4,0,0,1,4,0,1,0,1,3,0,0,0,0,4,4,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,394,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"18 TH Glut",24,1,0,0,0,0,2142,2,0,0,6,4,4,2279,2183,2138,2,2,1994,2,0,1685,7,2172,1,0,0,1,14,1,0,1672,1,5,3,1505,0,2,0,1,2,1,1,0,928,4157,0,1,1,0,1,8,7,0,0,1,1,1,1,1,2,1,1,0,0,385,334,2,1,2,0,1,0,210,0,0,2,103,3721,0,0,0,1
"19 MB Glut",510,172,1,387,0,128,611,13,19,2,523,13,57,2,32,11,137,46,20,81,1,90,21,877,6,33,87,105,147,12,2,0,18,199,709,5,0,47,50,11,12,24,9,0,2,1,147,21,69,7,15,17,28,0,3,1,4,7,4,1,54,4,2,1,0,1,19,36,6,1,14,2,8,4,0,0,2,1,10,0,0,0,81
"20 MB GABA",377,297,14,80,0,76,56,52,72,3,66,15,85,2,17,15,104,14,7,194,1,42,8,292,13,62,25,19,98,31,9,0,53,108,939,3,1,32,18,7,26,5,7,0,3,1,5,4,42,8,7,4,18,0,7,3,14,6,15,5,5,4,1,3,0,0,3,71,9,1,8,2,3,2,1,0,1,0,2,0,50,0,51
"21 MB Dopa",2,1,0,0,0,0,1,0,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29,0
"22 MB-HB Sero",1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"23 P Glut",26,22,0,32,0,11,3,0,1,0,25,0,10,0,0,0,3,3,0,4,0,0,0,14,0,6,3,6,9,4,1,0,1,6,19,0,0,11,5,0,0,5,3,0,0,0,8,0,1,0,2,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,7,5,0,0,0,1,0,0,0,0,0,0,0,0,0,7
"24 MY Glut",244,28,0,175,0,132,7,40,11,4,78,9,20,0,6,2,224,22,1,31,0,27,3,355,7,7,67,25,76,13,3,0,13,50,300,0,0,13,8,2,52,13,2,0,0,0,48,1,30,6,2,4,9,0,2,2,2,3,2,2,6,23,1,1,0,0,4,21,8,4,0,2,1,2,0,0,1,0,1,0,0,0,22
"25 Pineal Glut",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26 P GABA",148,67,2,17,0,19,4,8,13,2,14,2,38,0,3,1,22,5,2,17,0,7,0,44,1,29,5,12,17,13,4,0,12,20,77,0,0,9,5,3,4,2,2,0,0,0,3,7,17,4,2,1,2,0,1,1,2,4,2,2,4,0,1,0,0,0,1,26,9,0,1,4,1,0,0,0,0,0,0,0,0,0,15
"27 MY GABA",30,10,0,3,0,1,1,1,3,0,2,1,3,0,0,0,7,1,0,1,1,2,1,9,0,4,1,5,5,2,0,0,1,1,16,0,0,1,0,0,0,1,3,0,0,0,0,2,3,1,0,0,1,0,0,1,4,0,0,0,1,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"28 CB GABA",1,3,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29 CB Glut",2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"30 Astro-Epen",3,1,0,0,1,0,0,1,1,0,0,0,7,0,1,0,15,0,0,1,4,0,1,0,0,0,0,0,6,1,0,0,1,132,0,0,1347,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,57,364,0,1,1,1,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,124,32,102,0,0,1,0,0,0
"31 OPC-Oligo",412,0,0,0,3136,0,0,5,0,0,0,1,1,0,10,0,33,0,0,0,1888,3,1,11,2,1,0,0,71,0,0,0,0,29,1,0,2,2,0,1,10,0,45,983,0,0,0,6,145,0,0,600,74,252,0,0,1,1,0,1,1,0,440,0,386,0,5,1,0,0,10,22,0,0,1,85,3,3,0,19,0,0,0
"32 OEC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33 Vascular",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34 Immune",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
