"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pde7b.8",2.118453066272e-42,-0.787685233149233,0.35,0.452,7.93614887686818e-38,"18","Pde7b"
"Pde10a.7",2.74027974200443e-42,-0.609906692397183,0.688,0.722,1.0265635969497e-37,"18","Pde10a"
"Stox2.7",1.36526249220488e-41,-0.633151817468794,0.537,0.599,5.11454634829792e-37,"18","Stox2"
"Dock10.7",7.46716708938286e-41,-0.936649171960144,0.388,0.473,2.79735013502461e-36,"18","Dock10"
"Zdhhc14.6",3.03413500842674e-39,-0.563252621389097,0.344,0.448,1.13664765685682e-34,"18","Zdhhc14"
"Gpm6b.9",1.55035072293363e-38,-0.799094272917669,0.238,0.341,5.80792387825398e-34,"18","Gpm6b"
"Dach1.2",2.39351232030506e-37,0.565888133529185,0.315,0.214,8.96657585432682e-33,"18","Dach1"
"Nin.7",1.11185187513559e-36,-0.553114814188311,0.245,0.349,4.16521949463295e-32,"18","Nin"
"Inpp4b.4",5.17382720984129e-36,-0.692843920506384,0.65,0.647,1.93821914935074e-31,"18","Inpp4b"
"Ypel2.7",7.32326691403479e-34,-0.593345268168733,0.153,0.256,2.74344225133571e-29,"18","Ypel2"
"Celf2.8",2.33278792253036e-33,-0.63716618654858,0.932,0.871,8.73909011538323e-29,"18","Celf2"
"Kctd16.6",4.00524478409606e-33,-0.505991570909217,0.544,0.611,1.50044480101807e-28,"18","Kctd16"
"Tox.6",5.37600286967898e-33,-0.606805431912121,0.287,0.389,2.01395819503914e-28,"18","Tox"
"Ano4.7",7.551065385272e-33,-0.605839413251423,0.372,0.463,2.8287801146306e-28,"18","Ano4"
"Peak1.6",5.95175040683407e-32,-0.575207570167276,0.177,0.272,2.22964473740818e-27,"18","Peak1"
"Grin2a.9",1.2519264043262e-30,-0.560184536673799,0.574,0.611,4.68996669588679e-26,"18","Grin2a"
"Sept7.10",1.52361366866422e-30,-0.759780066081177,0.323,0.417,5.70776152554991e-26,"18","Sept7"
"Col25a1.7",1.40365949025131e-28,-0.714566395229601,0.273,0.366,5.25838918237947e-24,"18","Col25a1"
"Cit.8",7.00732119277938e-28,-0.636022569798362,0.377,0.438,2.62508266523901e-23,"18","Cit"
"Trps1.8",2.53546294522099e-26,-0.557494921058672,0.394,0.463,9.49835128538688e-22,"18","Trps1"
"Vmp1.2",3.039520319478e-25,-0.526551976275636,0.176,0.263,1.13866510208285e-20,"18","Vmp1"
"Slit3.9",3.90546695564445e-25,-0.557639151430729,0.319,0.398,1.46306603092352e-20,"18","Slit3"
"Plcb1.6",1.42712259702293e-24,-0.659917483964249,0.688,0.679,5.34628667296729e-20,"18","Plcb1"
"Plcb4.3",2.93857690388162e-24,-0.523302280307668,0.497,0.534,1.10084967973213e-19,"18","Plcb4"
"Slc35f3.4",1.24170406680097e-21,-0.50380115358059,0.258,0.334,4.6516717750498e-17,"18","Slc35f3"
"Slc1a2.8",2.25986828328042e-21,-0.784294377953895,0.181,0.258,8.46591856282511e-17,"18","Slc1a2"
"Prickle2.7",2.42769297962588e-21,-0.532469794551947,0.698,0.682,9.09462344027446e-17,"18","Prickle2"
"Phactr1.8",4.47383862026231e-20,-1.22125197529901,0.721,0.669,1.67598942392267e-15,"18","Phactr1"
"Grm1.6",2.49414135865411e-18,-0.654254352567188,0.557,0.569,9.34355235779002e-14,"18","Grm1"
"Pitpnc1.7",3.83333397589159e-18,-0.595720368877832,0.384,0.434,1.43604357404851e-13,"18","Pitpnc1"
"Nrg1.4",1.06505982331101e-11,-0.582311160074974,0.783,0.74,3.9899271100877e-07,"18","Nrg1"
"Pde4b.8",1.40815736360827e-10,-0.681977542973891,0.777,0.738,5.27523911554931e-06,"18","Pde4b"
"Tmeff2.7",1.59796346270836e-09,-0.620740102896843,0.72,0.7,5.98629072399806e-05,"18","Tmeff2"
"Grm3.10",1.79623353719578e-09,-0.626166206396406,0.283,0.321,6.72905007704282e-05,"18","Grm3"
"Map7.9",4.42788424369733e-09,-0.567595747932352,0.362,0.397,0.00016587739953739,"18","Map7"
"Ctnna3.7",1.67803983768997e-07,-0.601977013554375,0.261,0.295,0.00628627283995415,"18","Ctnna3"
"Kcnc2.6",0.000121469750215365,-0.550466606693111,0.665,0.597,1,"18","Kcnc2"
"St6galnac3.8",0.000173036873829038,-0.632200584295558,0.34,0.352,1,"18","St6galnac3"
"Foxp2.10",0,2.86362407463051,0.959,0.321,0,"19","Foxp2"
"Pbx3.4",0,2.83995956667304,0.911,0.28,0,"19","Pbx3"
"Meis2.5",0,2.70358481298845,0.948,0.232,0,"19","Meis2"
"Erbb4.6",0,2.65326577960413,0.995,0.57,0,"19","Erbb4"
"6530403H02Rik",0,2.49118321388092,0.495,0.063,0,"19","6530403H02Rik"
"Htr1f.1",0,2.48033646057481,0.585,0.129,0,"19","Htr1f"
"Chst9",0,2.36973209296224,0.475,0.08,0,"19","Chst9"
"Tshz1",0,2.32282052371183,0.575,0.081,0,"19","Tshz1"
"Sox2ot.9",0,2.19010172442125,0.867,0.331,0,"19","Sox2ot"
"Kcnh5.3",0,1.78403258259305,0.554,0.245,0,"19","Kcnh5"
"Otof",0,1.6547775006611,0.405,0.081,0,"19","Otof"
"Grm8.3",0,1.62709487653633,0.775,0.448,0,"19","Grm8"
"Msra.7",0,1.62099109050408,0.621,0.274,0,"19","Msra"
"Phactr1.9",0,1.55772189484536,0.938,0.665,0,"19","Phactr1"
"Sphkap",0,1.54884840353798,0.5,0.219,0,"19","Sphkap"
"Atp2b4",0,1.52461423286906,0.525,0.198,0,"19","Atp2b4"
"Adamts3.1",0,1.51295362612647,0.446,0.148,0,"19","Adamts3"
"Gm49906",0,1.5069284180907,0.285,0.022,0,"19","Gm49906"
