"16 HY MM Glut",0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,12,1,0,0,0,0,0,0,0,0,1,0,496,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17 MH-LH Glut",12,0,0,2,1,0,3,0,0,0,0,0,8,0,0,0,0,4,5,0,0,0,1,7,0,0,2,1,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,396,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"18 TH Glut",12,5105,0,1,1,1,1,1,1,2446,2328,0,3,0,1,1,2045,8,81,2,1932,0,7,1,1723,0,2,2,1448,713,1,1,0,1284,1916,5,39,1,931,0,4,0,1,0,1,3,1,462,0,0,0,2,0,0,387,0,1,0,1,1,1,223,0,266,0,1,217,2,215,204,0,0,0,0,3667,1
"19 MB Glut",532,22,107,366,65,3,143,2,103,0,39,31,213,27,7,9,75,230,162,10,1,24,20,149,3,75,145,20,54,568,56,17,13,2,868,13,18,33,2,5,74,15,19,6,2,51,1,41,1,5,0,5,43,4,1,4,14,2,1,4,18,29,5,7,4,4,16,1146,0,4,3,0,0,0,3,1
"20 MB GABA",398,19,74,78,47,11,67,3,81,0,16,47,1101,58,14,19,25,130,105,28,0,50,11,286,0,20,58,4,20,39,30,38,12,1,298,6,30,9,2,15,55,6,4,13,3,64,2,13,5,2,0,4,4,8,1,6,37,4,0,8,9,20,4,3,9,2,1,61,1,2,4,0,63,0,1,20
"21 MB Dopa",3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,29,0,0
"22 MB-HB Sero",1,0,0,1,1,0,1,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23 P Glut",28,1,9,32,5,0,11,0,5,0,0,2,15,5,0,0,0,7,9,0,0,4,0,20,0,5,22,2,0,2,11,1,1,0,14,0,0,5,0,0,3,3,0,0,0,8,0,0,0,1,0,1,3,0,0,0,1,0,0,5,0,0,0,0,0,0,0,23,0,0,1,0,0,0,0,0
"24 MY Glut",258,3,78,205,17,1,122,5,137,0,3,11,231,17,7,8,2,80,88,41,0,4,3,24,0,12,66,17,11,4,14,7,1,0,408,1,62,17,0,3,38,2,1,9,7,21,1,7,1,1,0,23,8,2,0,0,6,3,2,8,1,14,7,0,3,4,1,135,0,2,1,0,0,0,0,1
"25 Pineal Glut",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26 P GABA",150,4,26,22,15,2,20,1,19,0,3,13,83,22,2,1,1,26,15,6,0,24,0,56,0,10,6,0,2,6,9,5,6,0,46,3,4,5,0,6,18,6,7,5,2,34,1,1,1,1,0,0,3,1,0,2,6,1,0,9,2,4,0,1,1,4,0,21,0,0,0,0,0,0,0,1
"27 MY GABA",30,1,3,1,1,3,2,0,9,0,0,1,15,6,2,0,0,3,5,0,0,2,1,10,0,0,0,1,1,0,0,1,0,0,9,0,0,2,0,1,3,0,2,1,0,4,0,1,0,0,1,1,0,0,0,3,0,0,0,1,1,1,0,0,0,1,1,5,0,0,0,0,0,0,0,0
"28 CB GABA",1,0,0,0,1,1,0,0,2,0,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"29 CB Glut",1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"30 Astro-Epen",4,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,157,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31 OPC-Oligo",399,0,0,1,0,0,0,0,57,0,11,0,1,0,0,2,0,36,76,6,0,2,0,3,0,0,0,1,0,0,1,0,1,0,36,1,9,0,0,0,143,0,5,1,3,1,0,5,1,0,0,0,1,0,0,1,0,0,0,0,7,1,0,0,0,23,3,0,0,0,0,20,0,0,0,0
"33 Vascular",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34 Immune",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
