,AD-Serpinb7-Glut,ADP-MPO-Trp73-Glut,AHN-Onecut3-Gaba,AHN-PVHd-PVR-Mixed-Gaba,ARC-Mixed-Glut,AV-Col27a1-Glut,Chat-GABA,DMH-Gaba,DMH-Hmx2-Vgll1-Glut,GPe-SI-Sox6-Cyp26b1-Gaba,GPi-Tbr1-Cngb3-Gaba-Glut,Hist-Gaba,HY-NSCs-1,HY-NSCs-2,LH-MH-Glut,LHA-Pmch-Glut,Lhx6-Gaba,Lhx6-Lhx8-Gaba,Mixed,Mixed-Meis2-Gaba,NDB-SI-MA-STRv-Lhx8-Gaba,PF-Fzd5-Glut,PH-LHA-MM-Foxb1-Glut,PH-LHA-PVH-SO-PVa-Nxph4-Glut,Pitx2-Glut,PO-CEA-BST-Meis2-Gaba,PO-COAa-PAA-MEA-Barhl2-Glut,PO-MEA-BST-Mixed-Gaba,PO-MEA-Glut,PO-MEA-Slc17a7-Glut,PV-PT-Ntrk1-Sp9-Glut,PVH-SO-PVa-Agtr1a-Glut,PVH-SO-PVa-Avp-Glut,PVN-Mixed-Glut,PVpo-VMPO-MPN-Hmx2-Gaba,RE-Xi-Nox4-Glut,RT-ZI-Gnb3-Gaba-1,RT-ZI-Gnb3-Gaba-2,SCH-Six6-Cdc14a-Gaba,SCsg-Gabrr2-Gaba,SI-MA-LPO-LHA-Skor1-Glut,SI-MPO-LPO-ADP-Lhx8-Gaba,SNc-VTA-RAmb-Foxa1-Dopa,STN-PSTN-Pitx2-Glut,STR-D1-D2-Gaba,STR-D1-Gaba,STR-PAL-Chst9-Gaba,TH-Prkcd-Grin2c-Glut-1,TH-Prkcd-Grin2c-Glut-2,TH-Prkcd-Grin2c-Glut-3,TH-Prkcd-Grin2c-Glut-4,TH-Prkcd-Grin2c-Glut-5,TH-Prkcd-Grin2c-Glut-6,TH-Prkcd-Grin2c-Glut-7,TH-Prkcd-Grin2c-Glut-8,TH-PVT-RE-Ntrk1-Nox4-Glut,TH-Sema5b-Ntrk-Glut,Trh-Glut,TRS-BAC-Sln-Glut,TU-ARH-Otp-Six6-Gaba,VMH-Nr5a1-Glut-1,VMH-Nr5a1-Glut-2,ZI-Mixed-Gaba,ZI-Pax6-Gaba,ZI-PVH-SBPV-Pax6-Prox1-Gaba
Het-M-4,0,0,12,51,121,1,3,100,15,7,0,16,14,79,2,4,22,62,94,48,11,67,106,106,78,29,7,58,41,212,23,0,1,0,2,21,3,54,0,2,12,4,3,17,34,21,55,8,96,126,4,5,54,78,6,2,85,17,0,21,9,65,115,49,27
Het-M-5,6,7,39,151,142,30,30,45,2,22,8,0,3,13,2,1,18,113,122,75,115,2,1,19,1,165,38,110,26,0,44,10,13,13,74,60,8,95,30,1,94,71,0,0,298,214,174,2,14,51,28,0,28,196,11,8,80,79,42,4,0,16,42,17,17
Het-M-6,2,4,87,94,4,23,9,196,41,11,22,18,0,4,3,10,10,36,216,64,28,156,56,183,123,62,25,88,42,65,58,22,24,9,7,85,19,160,7,3,69,4,1,35,41,47,25,11,196,283,60,7,108,158,22,13,239,125,0,74,18,154,273,118,83
Het-M-7,1,1,37,122,1,4,3,151,34,3,15,20,0,0,54,11,6,14,168,45,10,130,53,228,90,29,15,62,32,87,43,0,12,0,12,59,12,87,0,4,15,1,1,40,20,39,17,12,202,274,13,3,84,68,18,4,203,60,1,67,18,142,299,117,60
Het-M-8,5,7,65,94,10,21,4,58,8,11,8,0,9,24,2,1,5,23,110,46,31,29,6,44,4,32,8,60,17,0,16,13,14,0,23,38,8,123,33,1,44,14,0,13,65,43,52,9,50,87,23,8,53,52,19,2,89,70,11,13,8,47,79,56,44
Het-M-9,1,2,34,100,1,7,2,128,18,3,13,27,0,0,2,6,6,19,139,52,6,59,87,118,62,29,20,45,30,68,14,5,11,1,6,51,9,72,2,1,48,3,1,38,12,21,17,2,109,113,27,3,36,109,21,2,106,44,1,37,4,77,118,56,30
WT-F-1,9,10,72,110,4,29,5,165,41,13,10,31,0,1,0,16,16,48,203,60,43,129,45,149,87,76,21,86,55,46,41,16,29,12,11,87,18,162,19,2,94,7,1,44,116,81,57,8,162,262,44,11,101,90,11,12,203,103,4,71,19,142,204,86,78
WT-F-10,1,1,38,32,32,7,2,86,28,4,9,13,15,51,7,9,24,77,239,36,21,119,101,260,100,84,36,107,67,207,44,0,7,1,9,46,9,87,0,10,28,3,3,43,137,81,96,9,147,246,18,11,95,116,12,6,184,48,1,7,5,35,287,95,54
WT-F-2,6,12,93,171,0,21,7,147,28,16,14,6,0,0,11,13,1,17,207,51,29,132,12,146,43,36,9,58,11,8,54,14,26,0,11,97,11,191,29,3,76,5,0,44,59,67,15,9,191,354,45,8,96,87,17,16,230,109,5,58,11,163,234,115,74
WT-F-3,2,1,29,38,3,0,7,151,31,8,5,19,0,3,108,8,26,76,199,48,19,112,52,259,100,105,36,112,96,228,38,0,1,0,7,76,9,80,0,6,25,10,0,40,89,91,103,11,237,300,11,7,91,121,11,8,189,53,2,58,10,123,316,99,57
WT-F-4,5,11,72,165,2,36,4,90,14,12,6,0,0,0,1,6,1,18,125,93,54,3,1,28,0,56,6,65,6,0,28,12,13,0,53,33,9,157,27,0,71,42,0,2,42,37,28,3,60,107,29,4,48,93,28,10,98,115,22,20,7,81,68,40,37
WT-F-5,10,2,31,60,3,37,3,152,30,6,12,22,1,6,44,8,9,18,127,43,15,66,111,126,80,16,1,19,8,68,24,4,8,0,6,41,16,143,0,1,31,6,0,21,95,90,22,6,104,209,19,11,50,111,14,6,133,46,0,40,10,124,136,92,37
WT-F-6,0,9,62,140,43,1,28,84,8,21,8,0,0,1,0,2,12,68,113,48,74,1,2,35,2,168,51,118,42,1,37,11,37,17,67,55,8,61,25,0,103,47,0,0,184,122,59,0,3,20,23,0,11,44,2,11,24,103,11,15,2,42,44,17,25
WT-F-7,5,10,96,165,12,49,7,184,41,23,12,28,6,23,8,9,13,47,307,46,33,154,114,214,119,98,40,101,72,70,54,12,27,16,8,98,16,199,20,2,91,14,3,44,147,80,69,10,148,298,35,11,134,413,21,12,209,130,4,80,18,179,222,98,69
WT-F-8,14,11,77,109,130,45,17,64,12,21,10,0,37,116,1,3,19,81,123,51,47,10,10,52,4,131,61,101,74,10,37,9,26,16,36,56,16,134,32,0,105,19,0,2,145,84,124,8,47,158,40,7,65,171,20,18,127,111,11,21,7,75,56,41,56
