,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,Xist,9.03964663397539,7.0355810278771,0.61545775375501,11.4314605429079,2.91169645898239e-30,5.84930701644973e-26
2,Uty,6.95424406632891,-4.36397390742513,0.787952110582587,-5.53837453928329,3.05291827682014e-08,0.000306650376315199
3,Eif2s3y,4.58333801773526,-4.16931931768192,0.825910183041606,-5.04815100151378,4.46106497445989e-07,0.00298727780906416
4,Nxph1,38.4355986359652,0.940643806129541,0.217848360113737,4.31788334618833,1.57532647320345e-05,0.0677340277534622
5,Kdm5d,3.29857166850931,-3.70444895488766,0.860921218350035,-4.30288959771171,1.68584866726722e-05,0.0677340277534622
6,Mid1,4.41230721672795,1.59203658351617,0.376286012335495,4.23092151003667,2.32735879328717e-05,0.0779238513305767
