,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,Xist,25.2144331049429,8.10244912816503,0.624027755439067,12.9841165838275,1.50565419663353e-38,3.56523857220852e-34
2,Uty,23.525745750322,-6.34038640586062,0.692636526877099,-9.15398792848483,5.48697040536813e-20,6.49629861143559e-16
3,Eif2s3y,14.0156459822316,-6.84118727111685,0.846632809101783,-8.08046557795802,6.45199680957198e-16,5.09256108179516e-12
4,Kdm5d,9.90232375020562,-5.38422864408679,0.757986461339905,-7.1033308887457,1.2178534836714e-12,7.20938815996379e-09
5,Ddx3y,5.21665747002546,-5.62719864805402,0.875562328747038,-6.42695381390694,1.30186354502508e-10,6.16536537652976e-07
6,Hs3st5,66.0478416609618,0.481972149469128,0.101243248195329,4.76053621412123,1.9307928372486e-06,0.00653132051331567
7,Socs2,6.41980415565883,1.84269117940425,0.385939014102989,4.77456570097503,1.80095481958912e-06,0.00653132051331567
