"","X","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","cellType"
"1",1,"Xist",1.16517923801714,3.80795693840434,0.869196697776662,4.38100713928712,1.18132000084407e-05,0.0814756404582156,"AD-Serpinb7-Glut"
"2",2,"Uty",2.29248345520739,-4.43659550474034,0.999603115060877,-4.43835702179674,9.06481691269861e-06,0.0814756404582156,"AD-Serpinb7-Glut"
"3",1,"Xist",1.59254427807048,4.47282460400236,0.792245667413468,5.64575457838134,1.64458312067361e-08,0.000214354963948599,"ADP-MPO-Trp73-Glut"
"4",1,"Xist",14.2717018238477,6.86364459289241,0.612622707860714,11.203705812441,3.91026785775299e-29,8.60298031384236e-25,"AHN-Onecut3-Gaba"
"5",2,"Uty",14.3403222594455,-7.16383844537116,0.849023705090054,-8.43773666438597,3.23541547290432e-17,3.5591187909684e-13,"AHN-Onecut3-Gaba"
"6",3,"Eif2s3y",8.82885437745936,-6.32771380512812,0.863730129500354,-7.32603111667361,2.37068770264671e-13,1.73858333819768e-09,"AHN-Onecut3-Gaba"
"7",4,"Kdm5d",8.1361188397954,-5.67942274338844,0.866240581897214,-6.55640345428004,5.51209771578459e-11,3.03179154612442e-07,"AHN-Onecut3-Gaba"
"8",5,"Ddx3y",5.26494256757305,-5.15939344964394,0.867739173392226,-5.94578832885288,2.75129492591447e-09,1.21062479330089e-05,"AHN-Onecut3-Gaba"
"9",1,"Xist",24.1794745884574,7.86482959719711,0.641232522321391,12.2651757723155,1.39309659783373e-34,3.23532753880906e-30,"AHN-PVHd-PVR-Mixed-Gaba"
"10",2,"Uty",27.0925100826551,-8.04728730911711,0.845480133814522,-9.51800874706594,1.76529084597023e-21,2.04985573034064e-17,"AHN-PVHd-PVR-Mixed-Gaba"
"11",3,"Eif2s3y",15.5711809492102,-7.20743553042946,0.866313555301364,-8.31966149706871,8.82148837817391e-17,6.82900820315703e-13,"AHN-PVHd-PVR-Mixed-Gaba"
"12",4,"Kdm5d",9.73185101129015,-6.58010321037049,0.852156772487608,-7.72170499937696,1.14783807535004e-14,6.66434786548235e-11,"AHN-PVHd-PVR-Mixed-Gaba"
"13",5,"Ddx3y",6.6699572611894,-5.56182516812237,0.858921069913934,-6.47536236208489,9.45846725448121e-11,4.39326887036143e-07,"AHN-PVHd-PVR-Mixed-Gaba"
"14",6,"Tsix",1.21296182063165,4.06134410442423,0.842150423156068,4.82258750070304,1.41707832116804e-06,0.00548503782180109,"AHN-PVHd-PVR-Mixed-Gaba"
"15",1,"Xist",7.76263844207787,6.07982706642442,0.670477913126415,9.06790059358465,1.21332179536496e-19,2.68022784596119e-15,"ARC-Mixed-Glut"
"16",2,"Uty",3.75436662433615,-4.70280821230731,0.919643909245694,-5.11372735145348,3.1586317716344e-07,0.0034887087917702,"ARC-Mixed-Glut"
"17",3,"Eif2s3y",4.38270196168659,-4.40812855757516,0.90695386233427,-4.86036692784984,1.17168381404051e-06,0.00862749848405159,"ARC-Mixed-Glut"
"18",1,"Xist",6.70587953443173,6.37482460208471,0.650543878702226,9.79922309745177,1.13454886568747e-22,2.04695306347333e-18,"AV-Col27a1-Glut"
"19",2,"Uty",5.69180736925581,-6.35424087046168,0.866397063608595,-7.33409788347607,2.23219913310708e-13,2.0136668379759e-09,"AV-Col27a1-Glut"
"20",3,"Eif2s3y",3.27099576342143,-5.41792342130862,0.885066988196347,-6.12148401597223,9.27078201387443e-10,5.57544830314408e-06,"AV-Col27a1-Glut"
"21",4,"Kdm5d",1.53048938016066,-4.547448348541,0.965486013704553,-4.71000955372986,2.47705180002232e-06,0.0105958398182864,"AV-Col27a1-Glut"
