,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,Xist,24.1794745884574,7.86482959719711,0.641232522321391,12.2651757723155,1.39309659783373e-34,3.23532753880906e-30
2,Uty,27.0925100826551,-8.04728730911711,0.845480133814522,-9.51800874706594,1.76529084597023e-21,2.04985573034064e-17
3,Eif2s3y,15.5711809492102,-7.20743553042946,0.866313555301364,-8.31966149706871,8.82148837817391e-17,6.82900820315703e-13
4,Kdm5d,9.73185101129015,-6.58010321037049,0.852156772487608,-7.72170499937696,1.14783807535004e-14,6.66434786548235e-11
5,Ddx3y,6.6699572611894,-5.56182516812237,0.858921069913934,-6.47536236208489,9.45846725448121e-11,4.39326887036143e-07
6,Tsix,1.21296182063165,4.06134410442423,0.842150423156068,4.82258750070304,1.41707832116804e-06,0.00548503782180109
