,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,Xist,14.6718211952624,7.60176927238586,0.642043624627752,11.8399575679819,2.42575659391838e-32,5.45601173104122e-28
2,Uty,17.5750405899702,-7.66892116887611,0.849467174214229,-9.02791938484261,1.74966651227956e-19,1.96767495970959e-15
3,Eif2s3y,9.43085235437263,-6.75366475604956,0.856247053777367,-7.88751882561873,3.08253662833023e-15,2.31108046148012e-11
4,Kdm5d,6.43061334634182,-6.12988902711947,0.873557209772839,-7.01715807338307,2.26426397604561e-12,1.27319563373045e-08
5,Ddx3y,3.86522281055658,-5.08878634718644,0.892497529750041,-5.7017371786022,1.18592579704173e-08,5.33476860541254e-05
