,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,Xist,6.65886909063696,6.49717538285846,0.685901339246181,9.47246347411856,2.73320330644826e-21,4.96404384517134e-17
2,Uty,7.38648903651947,-6.22187025725697,0.862994141680453,-7.20963208990216,5.61032519524517e-13,5.09473630980213e-09
3,Eif2s3y,3.35111692965761,-5.32052721864288,0.896908481320175,-5.93207370590532,2.9913227547085e-09,1.81094679570053e-05
4,Kdm5d,2.10542134125586,-4.67458555586374,0.951163472781536,-4.91459742686881,8.89650759571564e-07,0.00403945927383468
5,Ddx3y,2.02253147813302,-4.31245797583554,0.952152310067945,-4.52916821209813,5.92163424601566e-06,0.0215097442352273
