,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,Xist,3.13323745607847,5.71749127584617,0.664833559417156,8.59988367744036,7.97969364670513e-18,1.52906889658164e-13
2,Uty,6.07398950797165,-4.88150331646144,0.872169326777325,-5.5969674311967,2.18133665417791e-08,0.000208993864836786
3,Meis1,17.9280779696,-1.14385791976193,0.257504241150541,-4.44209351524123,8.90878236147238e-06,0.0562306383795378
4,Eif2s3y,2.80098146258139,-3.99456836055901,0.911502621135329,-4.38239920317897,1.17379476838613e-05,0.0562306383795378
