,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,Xist,45.9324865828088,7.9775210311702,0.465447702881895,17.1394573048188,7.535065691667e-66,1.94284133793942e-61
2,Uty,26.3584513950946,-6.74081565383256,0.599783702542774,-11.2387442760698,2.6309805460414e-29,3.39186011995657e-25
3,Eif2s3y,14.8730132982043,-7.55146415286536,0.810268036276303,-9.31971127427059,1.16657316339377e-20,1.00263074816483e-16
4,Kdm5d,10.1745357028908,-6.22244033511014,0.733600878944754,-8.48205136294383,2.21257847668961e-17,1.42622808607412e-13
5,Ddx3y,5.94332118997088,-5.04819808386429,0.70987277156096,-7.11141247573654,1.14861293505754e-12,5.92316718350471e-09
6,Tsix,2.21605638934227,3.07449792226554,0.62756727529736,4.89907304489188,9.62898451106479e-07,0.00413789561055491
