,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,Xist,8.32757878583536,6.79456713857405,0.682560448888157,9.95452805629439,2.40963441342768e-23,4.69734132553593e-19
2,Uty,8.38507245291397,-6.58620418636266,0.856793043652935,-7.68704208694599,1.50575613941746e-14,1.4676605090902e-10
3,Eif2s3y,5.31963620155307,-5.9362549866927,0.87825754925583,-6.75912776579335,1.38824934741134e-11,9.02084425947892e-08
4,Ddx3y,1.87007500111305,-4.37745759863146,0.937258563950194,-4.67049090507332,3.00480787683774e-06,0.0146439311877687
