,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,Xist,4.09626405106087,5.43664426109012,0.639521407884195,8.50111379238549,1.877801824103e-17,3.69344840782819e-13
2,Uty,6.4792271996382,-5.69287849233967,0.783562108455428,-7.26538257900395,3.7198393902087e-13,3.65827604830075e-09
3,Eif2s3y,3.84157880414816,-5.31187990061991,0.865585407663439,-6.13674844052512,8.42275999073841e-10,5.52224220859446e-06
4,Kdm5d,2.84171151624452,-4.66072627850231,0.875060890004489,-5.32617367744364,1.00303229315455e-07,0.000493216054351421
