,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,Xist,24.8005091036364,7.92102623581798,0.583620603379632,13.5722183040641,5.85236481468284e-42,1.37056531595057e-37
2,Uty,22.6070053040177,-6.56900502026146,0.790200408541635,-8.31308735006222,9.32438319279686e-17,1.09183864996055e-12
3,Eif2s3y,16.4348313012327,-6.49350832680888,0.82538110052478,-7.86728497015535,3.62420458138143e-15,2.82917490304572e-11
4,Kdm5d,9.56338640420613,-5.73618396034137,0.834112656442257,-6.87698947622726,6.11306243681323e-12,3.57904523019322e-08
5,Ddx3y,6.75128671192444,-5.22632914500135,0.838721816094528,-6.23130225625646,4.62573624382499e-10,2.16660234188275e-06
6,Kcnmb2,18.2839217994796,1.31046619172664,0.229783629733826,5.7030441778844,1.17686464928139e-08,4.59349887025346e-05
7,Esr1,17.6669311332765,1.40944390531655,0.290993119447888,4.84356437014985,1.2753037917591e-06,0.00426661992845804
8,Greb1,16.3127037749254,-1.76697277349226,0.415201090899055,-4.25570359091819,2.08392637111429e-05,0.0610043396064069
