"","BaselineProp.clusters","BaselineProp.Freq","PropMean.Din","PropMean.Simona","PropRatio","Tstatistic","P.Value","FDR"
"SCsg Gabrr2 Gaba","SCsg Gabrr2 Gaba",0.000483478376846387,0.000225538509278877,0.00075469259423366,0.298848181368331,-2.21354607547577,0.0409729856517607,0.978622271927436
"PO-MEA Glut","PO-MEA Glut",0.0111533460038011,0.00826958866001328,0.0111138317259965,0.74408078724728,-1.57134871499115,0.134716628321488,0.978622271927436
"ADP-MPO Trp73 Glut","ADP-MPO Trp73 Glut",0.00190057017105132,0.00235989589727656,0.00152045183038345,1.55210171747527,1.45270413225814,0.16470168932827,0.978622271927436
"Mixed Meis2 Gaba","Mixed Meis2 Gaba",0.017705311593478,0.0210458000102511,0.0163626679692412,1.2862083402177,1.20203706484488,0.245995255866285,0.978622271927436
"TH Sema5b-Ntrk Glut","TH Sema5b-Ntrk Glut",0.0420459471174686,0.0370683505304858,0.0451389233935094,0.821205907091173,-1.15750401838349,0.263235590837832,0.978622271927436
"TH Prkcd Grin2c Glut_2","TH Prkcd Grin2c Glut_2",0.0302924210596512,0.0257867157479856,0.0347157810994489,0.742795205273228,-1.13535246634899,0.272372409331658,0.978622271927436
"TRS-BAC Sln Glut","TRS-BAC Sln Glut",0.00475142542762829,0.00583441198081967,0.00489836577556888,1.19109357041473,1.10430219083512,0.285229348804879,0.978622271927436
"AD Serpinb7 Glut","AD Serpinb7 Glut",0.00150045013504051,0.00177426414429649,0.00148587177437127,1.19408967509814,1.07963159960516,0.295540832877799,0.978622271927436
"PVN Mixed Glut","PVN Mixed Glut",0.0019839285118869,0.00132960258088311,0.00165776417879935,0.802045669635647,-1.07934650280999,0.295883498412341,0.978622271927436
"TH Prkcd Grin2c Glut_8","TH Prkcd Grin2c Glut_8",0.00518488879997332,0.00625541696004324,0.0048323947313378,1.2944755773938,1.07082622417986,0.299369166912728,0.978622271927436
"TH Prkcd Grin2c Glut_3","TH Prkcd Grin2c Glut_3",0.048381181020973,0.0436452207153276,0.0521068179925859,0.837610554563851,-1.05485893337329,0.306403110592633,0.978622271927436
"TH Prkcd Grin2c Glut_4","TH Prkcd Grin2c Glut_4",0.0110866593311327,0.0114274182979267,0.00980204221852842,1.16582014677777,1.05400677479941,0.306781838568976,0.978622271927436
"PVH-SO-PVa Agtr1a Glut","PVH-SO-PVa Agtr1a Glut",0.00271748191124004,0.00302445056009266,0.0023857006001657,1.2677410400461,0.985988095911418,0.338107033800109,0.978622271927436
"PV-PT Ntrk1-Sp9 Glut","PV-PT Ntrk1-Sp9 Glut",0.0107698976359575,0.00974442300341317,0.0115867832517425,0.840994673991826,-0.977936110314583,0.341959052354603,0.978622271927436
"SI-MA-LPO-LHA Skor1 Glut","SI-MA-LPO-LHA Skor1 Glut",0.0213230635857424,0.0228992322490043,0.0196398921014284,1.16595509439376,0.929951539508349,0.365547945142404,0.978622271927436
"STR D1-D2 Gaba","STR D1-D2 Gaba",0.0429795605348271,0.0520413975312231,0.0364379430181059,1.42821996031345,0.904560328958107,0.378635820282654,0.978622271927436
"AV Col27a1 Glut","AV Col27a1 Glut",0.00755226567970391,0.00792508128412015,0.00705475756790707,1.12336692052641,0.881270530986841,0.390587519120613,0.978622271927436
"PO-MEA Slc17a7 Glut","PO-MEA Slc17a7 Glut",0.0130872595111867,0.00962277855976362,0.0186787817993065,0.515171635021769,-0.84732569499255,0.408877283951384,0.978622271927436
"TH Prkcd Grin2c Glut_1","TH Prkcd Grin2c Glut_1",0.00260078023407022,0.00251934223296358,0.0027477015952275,0.916890770576921,-0.81813638653817,0.424715351649834,0.978622271927436
"STR D1 Gaba","STR D1 Gaba",0.0283084925477643,0.0355788000910891,0.0249283003421107,1.4272453237009,0.815084250554859,0.426412207276063,0.978622271927436
"TU-ARH Otp Six6 Gaba","TU-ARH Otp Six6 Gaba",0.0114701076989764,0.011804717791658,0.0103788412927574,1.1373830140264,0.801774217480045,0.433862311178527,0.978622271927436
"PO-COAa-PAA-MEA Barhl2 Glut","PO-COAa-PAA-MEA Barhl2 Glut",0.00753559401153679,0.00676566675965234,0.00676044019863798,1.00077310956991,-0.786622979224207,0.442442261522605,0.978622271927436
"RT-ZI Gnb3 Gaba_1","RT-ZI Gnb3 Gaba_1",0.00341769197425894,0.00320649864774095,0.00365225426471764,0.877950551996644,-0.746157880020004,0.465870697717748,0.978622271927436
"SI-MPO-LPO-ADP Lhx8 Gaba","SI-MPO-LPO-ADP Lhx8 Gaba",0.00691874228935347,0.00901182028906586,0.00638337835539686,1.41176345617157,0.725453314288677,0.478288103924461,0.978622271927436
"LH-MH Glut","LH-MH Glut",0.00375112533760128,0.00611500809429023,0.00411569999231301,1.48577595687523,-0.711699674209381,0.486543536368489,0.978622271927436
"PO-MEA-BST Mixed Gaba","PO-MEA-BST Mixed Gaba",0.0285752392384382,0.0262993112480364,0.0268715860544531,0.978703348389743,-0.684843464655191,0.502769015380084,0.978622271927436
"PF Fzd5 Glut","PF Fzd5 Glut",0.0148211130005668,0.013077718559505,0.0187004533554597,0.699326284284273,-0.654898192058521,0.521515021979819,0.978622271927436
"TH Prkcd Grin2c Glut_6","TH Prkcd Grin2c Glut_6",0.0208896002133974,0.0204077729130788,0.0211222401775356,0.966174645376078,-0.603230344149319,0.554401168871122,0.978622271927436
"VMH Nr5a1 Glut_1","VMH Nr5a1 Glut_1",0.00343436364242606,0.00340129514103056,0.00296226198836891,1.14820875209063,0.576178190713229,0.572232988091179,0.978622271927436
"Trh Glut","Trh Glut",0.0277249841619152,0.0283538654471658,0.0255087663187677,1.11153417193308,0.532527970035503,0.601323380790019,0.978622271927436
