"","BaselineProp.clusters","BaselineProp.Freq","PropMean.F","PropMean.M","PropRatio","Tstatistic","P.Value","FDR"
"PO-MEA Glut","PO-MEA Glut",0.0111533460038011,0.00455832810207187,0.013056163754163,0.349132271002531,-3.71329712338973,0.0017483838448353,0.113644949914295
"PO-COAa-PAA-MEA Barhl2 Glut","PO-COAa-PAA-MEA Barhl2 Glut",0.00753559401153679,0.00471708346181022,0.00799011283344469,0.590365062438873,-2.05810229251015,0.0553830875121348,0.9271574788403
"Lhx6 Gaba","Lhx6 Gaba",0.003567736987763,0.00228683385410572,0.00418211125893934,0.546813251134238,-1.91925611935834,0.0720415499334127,0.9271574788403
"PO-MEA-BST Mixed Gaba","PO-MEA-BST Mixed Gaba",0.0285752392384382,0.0216264734271997,0.0296180612663134,0.730178563436119,-1.79699565632468,0.0902738645677641,0.9271574788403
"PVN Mixed Glut","PVN Mixed Glut",0.0019839285118869,0.000857349931610267,0.00190829960857143,0.449274279447182,-1.39811503124151,0.180487989355563,0.9271574788403
"ADP-MPO Trp73 Glut","ADP-MPO Trp73 Glut",0.00190057017105132,0.00253073326535706,0.00150189381622446,1.6850280878837,1.34873442065829,0.195262166743321,0.9271574788403
"TH Prkcd Grin2c Glut_2","TH Prkcd Grin2c Glut_2",0.0302924210596512,0.0247130624974707,0.0344670665146116,0.717005100709516,-1.34737461062578,0.195971042981563,0.9271574788403
"ARC Mixed Glut","ARC Mixed Glut",0.0126037811343403,0.00535293355723432,0.0171624683928463,0.311897649843046,-1.17106863111208,0.258113841717402,0.9271574788403
"TH-PVT-RE Ntrk1-Nox4 Glut","TH-PVT-RE Ntrk1-Nox4 Glut",0.00288419859291121,0.00308832763692248,0.00237556727196795,1.30003796287531,1.14744595411444,0.267220876962101,0.9271574788403
"TRS-BAC Sln Glut","TRS-BAC Sln Glut",0.00475142542762829,0.00808708963322254,0.00364036380465224,2.22150588984748,1.09502867118605,0.28914424876899,0.9271574788403
"TH Sema5b-Ntrk Glut","TH Sema5b-Ntrk Glut",0.0420459471174686,0.0375662548991679,0.0440331234859978,0.853136273903297,-1.06494796983461,0.301915080571061,0.9271574788403
"RE-Xi Nox4 Glut","RE-Xi Nox4 Glut",0.0173552065619686,0.0148236916866826,0.0177842367168858,0.833529823217421,-1.03237928193762,0.316478248693332,0.9271574788403
"TH Prkcd Grin2c Glut_3","TH Prkcd Grin2c Glut_3",0.048381181020973,0.0452967626176854,0.0502697331234454,0.901074260856964,-1.02154937354184,0.321430638042088,0.9271574788403
"SI-MPO-LPO-ADP Lhx8 Gaba","SI-MPO-LPO-ADP Lhx8 Gaba",0.00691874228935347,0.0109495478880375,0.00548358598938077,1.99678602820159,0.980462509269335,0.340937674669654,0.9271574788403
"HY NSCs_1","HY NSCs_1",0.00296755693374679,0.00102547448372333,0.00331076977987412,0.309738988786566,-0.962436107102846,0.349647100957805,0.9271574788403
"AV Col27a1 Glut","AV Col27a1 Glut",0.00755226567970391,0.00833997325267694,0.00689285475839431,1.20994472464697,0.947464686019635,0.356786249975375,0.9271574788403
"PF Fzd5 Glut","PF Fzd5 Glut",0.0148211130005668,0.0141194997586701,0.0175131111563652,0.806224527018908,-0.940561899254887,0.360421151879247,0.9271574788403
"GPi Tbr1 Cngb3 Gaba-Glut","GPi Tbr1 Cngb3 Gaba-Glut",0.00321763195625354,0.00229224512077277,0.00353616815333689,0.6482285404357,-0.919859624284006,0.370621382598264,0.9271574788403
"TH Prkcd Grin2c Glut_8","TH Prkcd Grin2c Glut_8",0.00518488879997332,0.00613831990020479,0.00504495519011142,1.21672436501249,0.865215696292782,0.399065477668331,0.9271574788403
"SI-MA-LPO-LHA Skor1 Glut","SI-MA-LPO-LHA Skor1 Glut",0.0213230635857424,0.0241636416901404,0.0192071804515043,1.25805251588855,0.853523605768156,0.405333519423066,0.9271574788403
"PO-MEA Slc17a7 Glut","PO-MEA Slc17a7 Glut",0.0130872595111867,0.00854785853491483,0.0184181334902615,0.464100151051379,-0.823743155277711,0.421767821355216,0.9271574788403
"TH Prkcd Grin2c Glut_1","TH Prkcd Grin2c Glut_1",0.00260078023407022,0.00248364101626439,0.00274628638902063,0.904363443737599,-0.79006861384321,0.440459944282379,0.9271574788403
"STN-PSTN Pitx2 Glut","STN-PSTN Pitx2 Glut",0.00658530892601114,0.00685769774184159,0.00699996274021931,0.979676320623778,-0.782320990668638,0.445047074125832,0.9271574788403
"SCsg Gabrr2 Gaba","SCsg Gabrr2 Gaba",0.000483478376846387,0.000346595784600901,0.000629142820544967,0.550901597034324,-0.755576009204674,0.460330733380334,0.9271574788403
"SNc-VTA-RAmb Foxa1 Dopa","SNc-VTA-RAmb Foxa1 Dopa",0.000266746690673869,0.000381337395004431,0.00023406386319587,1.62920234587994,0.730791744543165,0.474941158549591,0.9271574788403
"ZI Pax6 Gaba","ZI Pax6 Gaba",0.0200060018005402,0.0187498532482169,0.0212508085558695,0.882312463496275,-0.727325154778094,0.477006672265112,0.9271574788403
"Mixed Meis2 Gaba","Mixed Meis2 Gaba",0.017705311593478,0.0203836980808099,0.0172282423310069,1.1831559882417,0.696426331854444,0.495652657409785,0.9271574788403
"Trh Glut","Trh Glut",0.0277249841619152,0.0293820218622688,0.0251763823825457,1.16704701318164,0.670228888794232,0.511789136269294,0.9271574788403
"Hist Gaba","Hist Gaba",0.00325097529258778,0.00271889714460998,0.00397135970238041,0.684626261121673,-0.64487965200486,0.527821078515743,0.9271574788403
"NDB-SI-MA-STRv Lhx8 Gaba","NDB-SI-MA-STRv Lhx8 Gaba",0.0151878897002434,0.0182046091335616,0.0134278847608133,1.35573170740102,0.621040758911491,0.542879146755378,0.9271574788403
"Chat GABA","Chat GABA",0.00388449868293821,0.00484466611156296,0.00337240726717655,1.43656021581848,0.599657283375517,0.556709038703027,0.9271574788403
"PVH-SO-PVa Avp Glut","PVH-SO-PVa Avp Glut",0.00596845720382781,0.00630781240780406,0.00538253455079555,1.17190374688292,0.589730889137564,0.563192154277849,0.9271574788403
"PH-LHA-MM Foxb1 Glut","PH-LHA-MM Foxb1 Glut",0.0114867793671435,0.0124508874698373,0.0132266476640584,0.941348691374828,-0.559298450715349,0.583428886213846,0.9271574788403
"TH Prkcd Grin2c Glut_4","TH Prkcd Grin2c Glut_4",0.0110866593311327,0.0111374629863989,0.010138553013385,1.09852589138658,0.559098852288808,0.583445816465627,0.9271574788403
"GPe-SI Sox6 Cyp26b1 Gaba","GPe-SI Sox6 Cyp26b1 Gaba",0.00501817211830216,0.00528589592920562,0.00438570312227278,1.20525621133843,0.549218839821917,0.590056645548219,0.9271574788403
"PV-PT Ntrk1-Sp9 Glut","PV-PT Ntrk1-Sp9 Glut",0.0107698976359575,0.0112847544592396,0.0104783483534137,1.07695927627403,0.524479817739613,0.606773060066334,0.9271574788403
"HY NSCs_2","HY NSCs_2",0.0115534660398119,0.00594570020844717,0.0131937895388712,0.450643857167048,-0.515557353911401,0.612964136322929,0.9271574788403
"STR D1-D2 Gaba","STR D1-D2 Gaba",0.0429795605348271,0.0553715535914198,0.0360001948332996,1.53809038667207,0.515507270864683,0.612998364718215,0.9271574788403
"Pitx2 Glut","Pitx2 Glut",0.0128871994931813,0.0122153005038743,0.0147956059162536,0.825603261739704,-0.491675927075536,0.629388982318404,0.9271574788403
"SCH Six6 Cdc14a Gaba","SCH Six6 Cdc14a Gaba",0.00535160548164449,0.0062902184672491,0.00511555533241442,1.22962573142186,0.478250838040899,0.638711801616641,0.9271574788403
"PO-CEA-BST Meis2 Gaba","PO-CEA-BST Meis2 Gaba",0.0274749091394085,0.0246932783392924,0.0252443762526033,0.978169477914747,-0.478021232101867,0.638774699754203,0.9271574788403
"STR-PAL Chst9 Gaba","STR-PAL Chst9 Gaba",0.0198893001233703,0.0211641903917852,0.0203656555562792,1.03920987631846,-0.476506336538064,0.639831130956985,0.9271574788403
"ZI Mixed Gaba","ZI Mixed Gaba",0.0391284051882231,0.036989671310437,0.042135775963502,0.877868520624314,-0.457708376461448,0.653005862836375,0.9271574788403
"RT-ZI Gnb3 Gaba_1","RT-ZI Gnb3 Gaba_1",0.00341769197425894,0.00351514803812267,0.00342248906879094,1.02707356180526,-0.457692785917015,0.653016839576597,0.9271574788403
"PVH-SO-PVa Agtr1a Glut","PVH-SO-PVa Agtr1a Glut",0.00271748191124004,0.00247230877892953,0.00278086066485627,0.889044463886262,0.435686240100664,0.66860585048818,0.9271574788403
"VMH Nr5a1 Glut_2","VMH Nr5a1 Glut_2",0.027541595812077,0.0251385508137566,0.0270662026405808,0.928780115466437,-0.414398907538811,0.683806912001035,0.9271574788403
"STR D1 Gaba","STR D1 Gaba",0.0283084925477643,0.0388554320589401,0.0240273711362979,1.61713205487727,0.40892466453588,0.687742776305675,0.9271574788403
"AHN-PVHd-PVR Mixed Gaba","AHN-PVHd-PVR Mixed Gaba",0.0395285252242339,0.045818078444067,0.0379366442290934,1.20775254045611,0.37773913418842,0.7103379839393,0.9271574788403
"TH Prkcd Grin2c Glut_7","TH Prkcd Grin2c Glut_7",0.0371278050081691,0.0399947316327392,0.0375576127315592,1.06489014407276,0.373945375163797,0.713106298213444,0.9271574788403
"TH Prkcd Grin2c Glut_5","TH Prkcd Grin2c Glut_5",0.0019839285118869,0.00238379672134675,0.00188559395203678,1.26421529872422,0.365755572567654,0.719096446935609,0.9271574788403
"AD Serpinb7 Glut","AD Serpinb7 Glut",0.00150045013504051,0.00192434391297897,0.0014246631501543,1.35073607594227,0.354386870788522,0.727462021859313,0.9271574788403
"AHN Onecut3 Gaba","AHN Onecut3 Gaba",0.0190890600513487,0.0193191559695446,0.017780463728084,1.086538363959,0.318597731529475,0.753944725694072,0.94243090711759
"TH Prkcd Grin2c Glut_6","TH Prkcd Grin2c Glut_6",0.0208896002133974,0.0223492243413901,0.0198859225941032,1.12387163510419,-0.264689085557231,0.794457886219372,0.974335143476588
"PH-LHA-PVH-SO-PVa Nxph4 Glut","PH-LHA-PVH-SO-PVa Nxph4 Glut",0.0288920009336134,0.0297651811548733,0.030864118012822,0.964394354068626,-0.214278676967463,0.832900090137651,0.985078355516685
"LH-MH Glut","LH-MH Glut",0.00375112533760128,0.00717124447067197,0.00368188897668169,1.94770796080198,0.183948767822463,0.856282798455097,0.985078355516685
"RT-ZI Gnb3 Gaba_2","RT-ZI Gnb3 Gaba_2",0.0383615084525358,0.0398139272946139,0.0371252068453814,1.07242304293227,0.165197170204817,0.870753507896847,0.985078355516685
"DMH Gaba","DMH Gaba",0.0363775799406489,0.0350199841583461,0.0361324162121392,0.969212353603427,-0.146809079303946,0.88502402892567,0.985078355516685
"ZI-PVH-SBPV Pax6-Prox1 Gaba","ZI-PVH-SBPV Pax6-Prox1 Gaba",0.0150378446867394,0.0150694416899483,0.0148578195464885,1.01424314939333,-0.144256287375922,0.887008524058853,0.985078355516685
"LHA Pmch Glut","LHA Pmch Glut",0.00155046513954186,0.00146261301530258,0.00158134446822585,0.924917400788409,-0.135080323637785,0.894148045776683,0.985078355516685
"PVpo-VMPO-MPN Hmx2 Gaba","PVpo-VMPO-MPN Hmx2 Gaba",0.0109532859857957,0.013802683546965,0.0093995148265055,1.46844638279021,0.102881850574854,0.919289856771059,0.995897344835314
"Mixed","Mixed",0.0536827714981161,0.0525290598062905,0.0514868309187338,1.02024263037672,0.0803310262691537,0.936919893563154,0.998357263632869
"VMH Nr5a1 Glut_1","VMH Nr5a1 Glut_1",0.00343436364242606,0.00309570189676666,0.00318952125019341,0.970585129846349,-0.0555732987038634,0.956345388503214,0.998514433013359
"DMH Hmx2-Vgll1 Glut","DMH Hmx2-Vgll1 Glut",0.00691874228935347,0.0069346003614526,0.00615073544651585,1.12744246956367,0.0308885593523284,0.975721149674819,0.998514433013359
"Lhx6-Lhx8 Gaba","Lhx6-Lhx8 Gaba",0.0180720882931546,0.0181665773139173,0.017759469733274,1.0229234085678,-0.0185296580303887,0.985433852823992,0.998514433013359
"TU-ARH Otp Six6 Gaba","TU-ARH Otp Six6 Gaba",0.0114701076989764,0.0108269857956233,0.0111080681402683,0.974695658948471,0.00188968274874612,0.998514433013359,0.998514433013359
