"","X.Intercept...Intercept.","X.Intercept..p.value","Props.props_trans","Props.Std..Error","Props.t.value","Props.p.value","Sex.sexM","Sex.Std..Error","Sex.t.value","Sex.p.value","r_squared","adj_r_squared","f_statistic.value","f_pvalue.value","cluster","bh_pvalues_props","bh_pvalues_sex"
"1",18570.7041637929,0.00197474725518939,644.64008561372,728.43985113172,0.884959938164,0.395110990331601,7.80558608837591,1187.1967598007,0.00657480407012422,0.994871827821592,0.072632150904515,-0.0959801852946642,0.430764157248351,0.660520337277591,"AD Serpinb7 Glut",0.885069056137823,0.998322236466015
"2",18455.8014036252,0.0038722250579758,687.681022296992,835.215153569213,0.823357932813183,0.426365192106519,257.073181404086,1104.05633339046,0.232844261320105,0.819806490991392,0.0534767400811146,-0.104277136572033,0.338988437023919,0.719097443636889,"ADP-MPO Trp73 Glut",0.885069056137823,0.998322236466015
"3",15793.5321005499,0.00227308590877259,383.663974210213,1017.75382597043,0.376971291504985,0.71227675143176,54.0384402279855,1026.28901097386,0.0526542130434661,0.958807941826984,0.0108378243208431,-0.141340971937489,0.0712177030395567,0.93161990123861,"AHN Onecut3 Gaba",0.885069056137823,0.998322236466015
"4",17414.330603966,0.000458107354785498,995.095945078446,1152.37971516612,0.863513937274574,0.403505762299856,117.445326385959,1005.81124148631,0.116766766508204,0.908829520446632,0.0542702944555154,-0.091226583320559,0.372999718516569,0.695802041080341,"AHN-PVHd-PVR Mixed Gaba",0.885069056137823,0.998322236466015
"5",15343.0261863653,5.54517738814092e-06,135.870223813597,315.091443651998,0.43120886508,0.673961283258371,-372.034017147801,1101.39049559598,-0.337785752315294,0.741360282596249,0.021570368183732,-0.141501237118979,0.1322754390238,0.877359496470838,"ARC Mixed Glut",0.885069056137823,0.998322236466015
"6",15553.3666362986,0.000181871157162067,267.121546480727,594.705325296297,0.449166225891184,0.660708515973039,131.42349890867,1050.17268202347,0.125144655882159,0.902323576423932,0.0153066669198144,-0.136184615092522,0.101039919370198,0.904599792619629,"AV Col27a1 Glut",0.885069056137823,0.998322236466015
"7",15526.4155439292,0.00085647881901103,225.437228394445,620.964689878497,0.363043554760829,0.722407132743969,76.7274221834471,1034.85338253271,0.0741432781479283,0.942025111710914,0.0100614624411474,-0.142236774106368,0.0660642084191715,0.936382963771183,"Chat GABA",0.885069056137823,0.998322236466015
"8",12309.9584500602,0.00512037974766323,-567.938815468854,1046.32612820929,-0.542793303308632,0.59645584190057,42.1828844885668,1017.00902229756,0.0414773945596571,0.967545583170144,0.0221855882170422,-0.128247398211105,0.147478214345222,0.86430459246891,"DMH Gaba",0.885069056137823,0.998322236466015
"9",11134.0091690278,0.00274823825052197,-589.768958061238,552.541657832763,-1.06737464895315,0.30522394716404,10.0967763446511,985.288130313255,0.0102475367702248,0.991979384019001,0.0805990432928163,-0.060847257739058,0.569820792094475,0.579138162231612,"DMH Hmx2-Vgll1 Glut",0.885069056137823,0.998322236466015
"10",17111.7798327259,0.00132502432546175,531.441892122882,766.569447363256,0.693272989095594,0.500337647105018,122.711223024644,1020.17227993559,0.120284804280697,0.906096686542596,0.0356772661909603,-0.112680077471969,0.240481969480525,0.789669991644135,"GPe-SI Sox6 Cyp26b1 Gaba",0.885069056137823,0.998322236466015
"11",708.501913894175,0.958980027962246,-2385.54774967391,2294.69640658288,-1.03959187927013,0.320841126296508,328.01890736898,1304.10102378126,0.251528755355075,0.80604251169288,0.100501170290665,-0.0630440714746683,0.614516015298516,0.558474457007458,"GPi Tbr1 Cngb3 Gaba-Glut",0.885069056137823,0.998322236466015
"12",14591.7708830009,1.18024897351699e-06,241.41112105784,217.729704895086,1.1087652058049,0.29348460279773,835.528130161485,491.670850713942,1.69936478631637,0.120091759458988,0.362692403786702,0.235230884544042,2.84550510571126,0.105134553549132,"Hist Gaba",0.885069056137823,0.998322236466015
"13",7925.39396287189,0.362070082216456,-1300.41093750366,1294.59308563591,-1.00449396179564,0.353916602459288,-617.919995403723,1857.56047280386,-0.332651348072138,0.750712508305716,0.261740274426768,0.0156536992356902,1.06361053715968,0.402371795293468,"HY NSCs_1",0.885069056137823,0.998322236466015
"14",17507.8349105489,0.000160374356519,532.811001222741,467.975032055097,1.138545787118,0.284290970107365,-851.565570353043,1403.84018131477,-0.606597233565083,0.559106791605743,0.127700592226786,-0.0661437206117059,0.658779153006074,0.540748220956769,"HY NSCs_2",0.885069056137823,0.998322236466015
"15",14232.362496089,0.000175550465848506,-156.622594273021,413.259579375695,-0.378993257723459,0.712615703496535,-977.534279366078,1295.78022371881,-0.754398208486787,0.468003207655411,0.0560062557040467,-0.132792493155144,0.29664526932759,0.749627623073517,"LH-MH Glut",0.885069056137823,0.998322236466015
"16",5679.7812836922,0.230956303067098,-1296.90644645825,675.238861661292,-1.92066322022324,0.0769796399107046,82.0785818160685,907.481334206285,0.0904465785931094,0.92931107416854,0.221060780897821,0.101223977959024,1.84468189635134,0.197139300164195,"LHA Pmch Glut",0.885069056137823,0.998322236466015
"17",7493.17941405472,0.219775843193251,-1098.22852362915,936.261543838098,-1.17299330604468,0.261843812720448,648.317251346645,1114.9166744754,0.581493905498986,0.570853352687344,0.0957321989763389,-0.0433859242580705,0.68813607278926,0.519913308600533,"Lhx6 Gaba",0.885069056137823,0.998322236466015
"18",14929.8071180576,0.000323572860225499,160.463360933386,702.846079715186,0.228305123361306,0.822960952830295,17.3546027576811,1025.4815196731,0.0169233695827238,0.986754726265549,0.00401832901264331,-0.149209620370027,0.026224517320975,0.974167754878649,"Lhx6-Lhx8 Gaba",0.906651897185918,0.998322236466015
