"","BaselineProp.clusters","BaselineProp.Freq","PropMean.Learner","PropMean.Non_Learner","PropRatio","Tstatistic","P.Value","FDR"
"ARC Mixed Glut","ARC Mixed Glut",0.0126037811343403,0.00507465188952353,0.029584222897422,0.17153237072067,-3.65085010203349,0.00202235052680131,0.131452784242085
"TU-ARH Otp Six6 Gaba","TU-ARH Otp Six6 Gaba",0.0114701076989764,0.0136129050252356,0.00526012817976638,2.58794169267566,3.22257867774918,0.00500969150373438,0.161476001695211
"HY NSCs_2","HY NSCs_2",0.0115534660398119,0.00517801371565997,0.0221307891534271,0.233973297552208,-3.04284286593294,0.00745273853977896,0.161476001695211
"Lhx6-Lhx8 Gaba","Lhx6-Lhx8 Gaba",0.0180720882931546,0.0136735279703558,0.0272370707084661,0.502019035626532,-2.68458639574023,0.0156920457345322,0.189748055553919
"HY NSCs_1","HY NSCs_1",0.00296755693374679,0.00153273710174306,0.0044800873163815,0.342122149302445,-2.64357219463806,0.0172277302005856,0.189748055553919
"LHA Pmch Glut","LHA Pmch Glut",0.00155046513954186,0.00187425189727611,0.000794470380807344,2.35912117374532,2.63169922595891,0.0175152051280541,0.189748055553919
"TH Prkcd Grin2c Glut_8","TH Prkcd Grin2c Glut_8",0.00518488879997332,0.00640817577650994,0.00335790755214672,1.90838362194134,2.51814221138909,0.0221354730393306,0.205543678222355
"DMH Hmx2-Vgll1 Glut","DMH Hmx2-Vgll1 Glut",0.00691874228935347,0.00784576211658093,0.00336231467029678,2.33344076504547,2.37903262677001,0.0293724198316817,0.21816367368421
"VMH Nr5a1 Glut_1","VMH Nr5a1 Glut_1",0.00343436364242606,0.00385942291818368,0.00160315435650272,2.40739321359112,2.32335177676854,0.0330331239588057,0.21816367368421
"STN-PSTN Pitx2 Glut","STN-PSTN Pitx2 Glut",0.00658530892601114,0.00892772250597317,0.00258817325750755,3.44943001017278,2.31536005007148,0.0335636421052631,0.21816367368421
"STR-PAL Chst9 Gaba","STR-PAL Chst9 Gaba",0.0198893001233703,0.0168838328587885,0.0289839072933659,0.58252438803008,-2.01972097918712,0.059499328726919,0.334988690540356
"ZI Mixed Gaba","ZI Mixed Gaba",0.0391284051882231,0.0472835964248987,0.0246352453647512,1.91934749278176,1.98316293011171,0.0637803410787858,0.334988690540356
"PH-LHA-PVH-SO-PVa Nxph4 Glut","PH-LHA-PVH-SO-PVa Nxph4 Glut",0.0288920009336134,0.0363173821982656,0.0175482125753077,2.06957728842242,1.8720193171386,0.0785505671330932,0.334988690540356
"DMH Gaba","DMH Gaba",0.0363775799406489,0.0401900916704125,0.025870611739386,1.55350372365668,1.81603804120968,0.0870810949980467,0.334988690540356
"Pitx2 Glut","Pitx2 Glut",0.0128871994931813,0.0164424267435523,0.00807623360134143,2.03590281747438,1.78309294039472,0.092720084235629,0.334988690540356
"Hist Gaba","Hist Gaba",0.00325097529258778,0.00426915101378733,0.00181326374796068,2.3544015693187,1.77286426085369,0.0944536318715216,0.334988690540356
"Lhx6 Gaba","Lhx6 Gaba",0.003567736987763,0.00265410377126846,0.00526939484601494,0.503682841925512,-1.75298086496788,0.0976574694471364,0.334988690540356
