"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Tgfbr1",0,1.79858317753021,0.642,0.049,0,"TH Prkcd Grin2c Glut_1","Tgfbr1"
"Mertk",0,1.66665961269635,0.578,0.021,0,"TH Prkcd Grin2c Glut_1","Mertk"
"Inpp5d",0,1.62337277026277,0.578,0.008,0,"TH Prkcd Grin2c Glut_1","Inpp5d"
"Dock8",0,1.26884902288669,0.433,0.011,0,"TH Prkcd Grin2c Glut_1","Dock8"
"Fyb",0,1.16641029990077,0.383,0.008,0,"TH Prkcd Grin2c Glut_1","Fyb"
"Apbb1ip",0,1.06768735699322,0.383,0.014,0,"TH Prkcd Grin2c Glut_1","Apbb1ip"
"Ly86",0,1.06681321370353,0.344,0.004,0,"TH Prkcd Grin2c Glut_1","Ly86"
"Abca9",0,1.06256827406121,0.358,0.011,0,"TH Prkcd Grin2c Glut_1","Abca9"
"Entpd1",0,1.04508939460081,0.383,0.021,0,"TH Prkcd Grin2c Glut_1","Entpd1"
"Lyn",0,1.03973185713895,0.365,0.014,0,"TH Prkcd Grin2c Glut_1","Lyn"
"Runx1",0,1.03563244694312,0.358,0.009,0,"TH Prkcd Grin2c Glut_1","Runx1"
"Csf1r",0,1.01594154366008,0.348,0.003,0,"TH Prkcd Grin2c Glut_1","Csf1r"
"Cx3cr1",0,0.967689591423505,0.34,0.016,0,"TH Prkcd Grin2c Glut_1","Cx3cr1"
"P2ry12",0,0.918587361498702,0.33,0.018,0,"TH Prkcd Grin2c Glut_1","P2ry12"
"Siglech",0,0.826481660357191,0.252,0.002,0,"TH Prkcd Grin2c Glut_1","Siglech"
"Cfh",0,0.826348961784169,0.284,0.006,0,"TH Prkcd Grin2c Glut_1","Cfh"
"Ikzf1",0,0.807663367780312,0.252,0.005,0,"TH Prkcd Grin2c Glut_1","Ikzf1"
"Slco2b1",0,0.797400272167837,0.273,0.004,0,"TH Prkcd Grin2c Glut_1","Slco2b1"
"Hpgds",0,0.790058900745425,0.27,0.007,0,"TH Prkcd Grin2c Glut_1","Hpgds"
"Ccnd3",1.89154030255496e-294,1.10309663431844,0.379,0.026,7.0860882814314e-290,"TH Prkcd Grin2c Glut_1","Ccnd3"
"Dock2",9.91809928781989e-283,1.02128415615927,0.348,0.023,3.71551835520309e-278,"TH Prkcd Grin2c Glut_1","Dock2"
"Hexb",2.28074633189775e-279,1.48839594100654,0.61,0.07,8.54413190855533e-275,"TH Prkcd Grin2c Glut_1","Hexb"
"Agmo",3.08802912984811e-153,0.792847000520059,0.273,0.025,1.1568374726237e-148,"TH Prkcd Grin2c Glut_1","Agmo"
"Plekhg1",2.14006779837777e-150,1.76113991124605,0.865,0.235,8.0171219862828e-146,"TH Prkcd Grin2c Glut_1","Plekhg1"
"Synpo2",8.32918853651922e-146,1.60948080360338,0.904,0.258,3.12028060955083e-141,"TH Prkcd Grin2c Glut_1","Synpo2"
"Lef1",7.43743831807406e-141,1.50739933203925,0.734,0.168,2.78621314271691e-136,"TH Prkcd Grin2c Glut_1","Lef1"
