"","X.Intercept...Intercept.","X.Intercept..p.value","Props.props_untrans","Props.Std..Error","Props.t.value","Props.p.value","Sex.sexM","Sex.Std..Error","Sex.t.value","Sex.p.value","r_squared","adj_r_squared","f_statistic.value","f_pvalue.value","cluster","bh_pvalues_props","bh_pvalues_sex"
"1",13860.4936185289,2.21708708037751e-07,309167.441716944,359787.698492329,0.859305204187063,0.40850854156834,-91.630415686204,1161.27373233589,-0.0789050963048053,0.938525226977452,0.0690968779792661,-0.100158235115413,0.408241008002011,0.674488699041344,"AD Serpinb7 Glut",0.878795373032163,0.995269915357014
"2",12665.6212254963,4.04051432237708e-07,626108.518768284,403924.998090207,1.55006132754492,0.147087054321712,547.809698255285,1055.32879606478,0.51908912208026,0.61313798210816,0.166826166130856,0.027963860485999,1.20137833918383,0.334513565117338,"ADP-MPO Trp73 Glut",0.878795373032163,0.995269915357014
"3",13819.4690183034,5.75216670145786e-07,22292.1676310401,67179.9708310934,0.331827587229652,0.74530837004092,52.8105807125542,1028.40690614354,0.0513518339842646,0.959825833249553,0.00842357902055515,-0.144126639591667,0.0552184001910061,0.946499178631349,"AHN Onecut3 Gaba",0.93163546255115,0.995269915357014
"4",12746.6843465166,2.15204799893076e-06,32813.4785701544,30210.9517945743,1.08614514343264,0.297144883058146,277.12706804845,1012.25370684872,0.273772342025977,0.788561143416545,0.0832200138643461,-0.0578230609257544,0.590032612293752,0.568490621958476,"AHN-PVHd-PVR Mixed Gaba",0.878795373032163,0.995269915357014
"5",14490.7910019654,2.11599282667955e-09,13020.2746370085,32836.5816369586,0.396517359235524,0.698684175650674,-445.606376889215,1147.43751689105,-0.38834914348676,0.704559488489482,0.019259341433293,-0.144197434994492,0.117825286012549,0.889866958430495,"ARC Mixed Glut",0.912561272879699,0.995269915357014
"6",13575.0284437562,6.16781482611046e-08,80948.2737482098,113735.569276828,0.711723467538854,0.489211834779789,135.65153935462,1021.41845534436,0.132807018166601,0.896379691149923,0.0375280718835785,-0.110544532442025,0.253443721439898,0.779870450299464,"AV Col27a1 Glut",0.878795373032163,0.995269915357014
"7",14151.8087665923,9.89059951978773e-09,20295.7464580835,155754.023797469,0.13030640212849,0.898318784478097,48.3903875596702,1052.14496297844,0.045992129661188,0.964015531678673,0.001329360178235,-0.152312276717421,0.00865234323907798,0.991390684598499,"Chat GABA",0.959790229273898,0.995269915357014
"8",15169.359204206,2.27437700173403e-07,-26248.564773273,37880.3590973633,-0.692933367020273,0.500543842113286,47.709540153187,1009.93642832583,0.0472401418693995,0.963039852366518,0.0356435878054769,-0.112718937147527,0.240246570464931,0.789849270701587,"DMH Gaba",0.878795373032163,0.995269915357014
"9",15344.1121712322,7.70915818018861e-09,-157756.356897881,128542.24376312,-1.22727246918606,0.241481536567558,-105.149877947156,977.921345933643,-0.107523860057239,0.916015131785687,0.103853693397784,-0.0340149691564033,0.753279907658244,0.490301221168574,"DMH Hmx2-Vgll1 Glut",0.878795373032163,0.995269915357014
"10",13187.2302018614,8.1589472187313e-08,201083.164337865,181077.073341315,1.11048384330158,0.286908764435175,199.523413465572,995.438485034643,0.20043771309347,0.844239947860666,0.0866636514519368,-0.0538496329400728,0.616764826378686,0.554753207593821,"GPe-SI Sox6 Cyp26b1 Gaba",0.878795373032163,0.995269915357014
"11",16118.3899081373,3.88722573090408e-06,-523895.414833703,614599.041118016,-0.852418210546971,0.412157136622968,198.297453656167,1320.81142562859,0.150133054430382,0.883377134726118,0.0733370234272798,-0.0951471541313966,0.435275433515052,0.657763794524213,"GPi Tbr1 Cngb3 Gaba-Glut",0.878795373032163,0.995269915357014
"12",12806.5717644722,4.40087084768187e-11,83763.6484550413,70087.4996658402,1.19512964300918,0.259609885529696,851.277180529442,481.384281778565,1.76839421799199,0.107431916331934,0.37378833456513,0.248546001478157,2.98452069162234,0.0962954502697771,"Hist Gaba",0.878795373032163,0.995269915357014
"13",16439.0162309724,3.96980447400146e-05,-264853.606595911,386048.019486461,-0.686063891606625,0.518290685689549,-723.755882958389,2098.36414512165,-0.344914339411014,0.741927999839461,0.200321221082375,-0.0662383718901669,0.751506328654282,0.511383503127857,"HY NSCs_1",0.878795373032163,0.995269915357014
"14",14227.4500087073,4.51511877574531e-07,36247.7420973382,61663.6996517278,0.587829505885357,0.571099470665317,-610.746945123861,1522.05634399936,-0.401264347099702,0.697585872579006,0.0389596284600565,-0.17460489854882,0.18242556011391,0.83625233580638,"HY NSCs_2",0.878795373032163,0.995269915357014
"15",15743.8869713656,1.32624074053517e-07,-61807.6961476394,64285.7717225762,-0.961452192164219,0.358996050831053,-1239.17491345439,1263.53611762346,-0.980719819695466,0.349861699962053,0.123472473480562,-0.0518330318233258,0.704327415539662,0.517401634402459,"LH-MH Glut",0.878795373032163,0.995269915357014
"16",15193.980680962,1.9303620398016e-09,-645314.782119612,484759.885665226,-1.33120499695238,0.205996268207186,95.1289570072567,965.638878213486,0.0985140088634928,0.923026966305606,0.119985000835284,-0.0154019221131336,0.886237741594867,0.435697917091093,"LHA Pmch Glut",0.878795373032163,0.995269915357014
"17",14572.3227276122,1.50559724810267e-09,-140888.173999669,244904.185468955,-0.575278751279358,0.574925347354304,285.531968123172,1115.81276939969,0.255895949529945,0.802035657139727,0.0248497103411813,-0.125173411144791,0.165639203444416,0.849112240650327,"Lhx6 Gaba",0.878795373032163,0.995269915357014
