"","X.Intercept...Intercept.","X.Intercept..p.value","Props.props_untrans","Props.Std..Error","Props.t.value","Props.p.value","r_squared","adj_r_squared","f_statistic.value","f_pvalue.value","cluster","bh_adjusted_pvalues"
"1",13789.8198792346,8.75580265686156e-10,315555.242955814,335732.096510776,0.939901922501134,0.365803098604481,0.0685699856085556,-0.00904918225739793,0.883415623921326,0.365803098604481,"AD Serpinb7 Glut",0.895147748746592
"2",13133.593081974,1.55028616960203e-09,556934.357294562,370440.665291664,1.50343741785493,0.156626248705204,0.148117697836952,0.0825882899782565,2.26032406940629,0.156626248705204,"ADP-MPO Trp73 Glut",0.895147748746592
"3",13858.8411714566,3.30108696396928e-08,21945.4129280712,64414.9244939736,0.340688328061679,0.738396647071914,0.00822244072945942,-0.0626188135041506,0.116068536877462,0.738396647071914,"AHN Onecut3 Gaba",0.941093765875969
"4",12999.4450594787,5.64329402422337e-08,30867.9649921405,28376.6089015432,1.0877961175432,0.295058211142544,0.0779343332929741,0.012072499956758,1.18330039334207,0.295058211142544,"AHN-PVHd-PVR Mixed Gaba",0.895147748746592
"5",14246.9506206295,1.08089320266138e-11,9101.31374095009,30209.6897474895,0.301271340984441,0.767972431315066,0.00693346988611785,-0.0694562631995652,0.0907644208985631,0.767972431315066,"ARC Mixed Glut",0.941852981801496
"6",13677.908449068,6.82210272789093e-10,78514.3104198009,108239.453748939,0.725376077764716,0.480171578907653,0.0362222414952753,-0.0326190269693478,0.526170454193323,0.480171578907653,"AV Col27a1 Glut",0.895147748746592
"7",14188.1798659622,2.2164344547208e-11,18734.502891022,146492.267933591,0.127887315523812,0.900057003286144,0.00116686294538088,-0.0701783611299489,0.0163551654718871,0.900057003286145,"Chat GABA",0.973449920986104
"8",15196.5109765698,2.92925950874085e-08,-26173.8994715058,36473.7692468986,-0.71760884635556,0.484801185861473,0.0354780426002302,-0.0334163829283247,0.514962456367758,0.484801185861473,"DMH Gaba",0.895147748746592
"9",15269.2157610918,1.23141361113671e-10,-156332.278494822,123261.934172796,-1.26829324514466,0.225378641435964,0.103056717365644,0.0389893400346186,1.60856775567957,0.225378641435964,"DMH Hmx2-Vgll1 Glut",0.895147748746592
"10",13340.0041671648,9.80697059209538e-10,195139.866655157,172400.68438296,1.1318972854057,0.276693288481543,0.0838410714025563,0.0184011479313103,1.28119146470878,0.276693288481543,"GPe-SI Sox6 Cyp26b1 Gaba",0.895147748746592
"11",16068.3691693626,1.21058034884712e-06,-473300.693825864,492591.181630931,-0.960838747171238,0.355594694637097,0.0714382123034255,-0.00594193667128895,0.923211098065594,0.355594694637097,"GPi Tbr1 Cngb3 Gaba-Glut",0.895147748746592
"12",13198.1041266533,2.67385978537332e-12,114468.439953938,74178.3619475355,1.54315135773554,0.151057799345181,0.177958288466764,0.103227223781925,2.38131611288105,0.151057799345181,"Hist Gaba",0.895147748746592
"13",16327.0059745014,7.93658153485174e-06,-349784.75095212,277981.240053549,-1.25830344121329,0.248625910144932,0.184465469937473,0.0679605370713973,1.58332755016922,0.248625910144932,"HY NSCs_1",0.895147748746592
"14",14035.1897826252,4.5814918261704e-08,24505.7142703392,51951.3090687079,0.471705423975541,0.647260679862921,0.0217662877239112,-0.0760570835036978,0.222506007007946,0.64726067986292,"HY NSCs_2",0.895147748746592
"15",14754.668991553,1.65024557171707e-10,-40425.8875170654,60370.764668851,-0.669626892069559,0.516905050770046,0.0391670598288706,-0.0481813892775957,0.448400174582735,0.516905050770047,"LH-MH Glut",0.895147748746592
"16",15249.0618091844,4.40411199764663e-11,-642468.339846888,466469.823592934,-1.37729882481646,0.190042304795526,0.119328035118644,0.0564228947699763,1.89695205284079,0.190042304795526,"LHA Pmch Glut",0.895147748746592
"17",14660.2820536707,1.35695390532745e-10,-114818.398916714,215147.472360158,-0.533673008830459,0.601938698897951,0.0199377480381516,-0.0500666985305518,0.284806880354155,0.601938698897952,"Lhx6 Gaba",0.895147748746592
"18",14222.1662677175,2.08746690481886e-10,2207.28773341322,41639.9235507688,0.0530089285760101,0.958473768355549,0.000200670188305824,-0.0712135676553867,0.00280994650877658,0.958473768355549,"Lhx6-Lhx8 Gaba",0.973449920986104
"19",16152.6872051175,8.28423122789974e-06,-36450.8240207302,44731.5450935379,-0.814879610004709,0.428786180187119,0.0452828338526829,-0.0229112494435539,0.664028778801426,0.428786180187119,"Mixed",0.895147748746592
"20",15585.2588147628,5.36823511607473e-08,-71887.2749230599,76923.8672763908,-0.934524972135967,0.365872917945554,0.0587182908606854,-0.00851611693497989,0.87333692354573,0.365872917945554,"Mixed Meis2 Gaba",0.895147748746592
"21",13737.9390718285,5.78869350038893e-11,34414.8136818569,40863.7923026556,0.842183550341224,0.413841223703047,0.0482194549028998,-0.0197648697468931,0.709273132465349,0.413841223703047,"NDB-SI-MA-STRv Lhx8 Gaba",0.895147748746592
"22",14918.5374847667,3.54768695617615e-11,-29652.1156458301,32943.9920930523,-0.900076577303562,0.384449916088359,0.058662545884956,-0.0137480275085089,0.810137845010495,0.384449916088359,"PF Fzd5 Glut",0.895147748746592
"23",14635.7127457879,8.61394437465597e-12,-16730.1782291062,31583.2160851831,-0.529717372163215,0.605236993486572,0.0211285999070919,-0.0541692001000549,0.280600494371502,0.605236993486571,"PH-LHA-MM Foxb1 Glut",0.895147748746592
"24",14549.5876765882,1.53955058433874e-10,-9453.69811656488,24542.6079509111,-0.385195336024342,0.705881646446605,0.0104871013249418,-0.0601923914375624,0.148375446894906,0.705881646446604,"PH-LHA-PVH-SO-PVa Nxph4 Glut",0.917646140380586
