X.Intercept...Intercept.,X.Intercept..p.value,score_ieg62,Std..Error,t_value,p_value,r_squared,adj_r_squared,f_statistic.value,f_pvalue.value,Cluster,adj_p_value
12979.541367426764,0,1496.8260511138578,1187.15657378809,1.2608497347048717,0.20755044516386076,0.001012194343907271,3.754908348849728e-4,1.589742053505338,0.20755044516386187,Pitx2 Glut,0.8528899841103914
13013.796949253432,0,-357.2542779087442,2540.173845090425,-0.1406416645849791,0.8881750570593866,1.5380850375440585e-5,-7.622121660706416e-4,0.019780077817233913,0.8881750570593863,TH Prkcd Grin2c Glut_4,0.9503054401157571
12937.870552380036,0,1210.1388158685706,1016.4691084748803,1.1905318182116467,0.23388213950030826,2.241810257250983e-4,6.601367578451534e-5,1.417366010174335,0.2338821395003073,TH Prkcd Grin2c Glut_3,0.8528899841103914
13000.047246441198,0,-839.4157154851999,1591.5232335161925,-0.5274291306641233,0.5979437487012995,1.1441779471852628e-4,-2.9688849166786824e-4,0.2781814878731113,0.5979437487013004,TH Prkcd Grin2c Glut_6,0.9503054401157571
12939.584815180393,0,-3874.8567678849354,1779.151932104624,-2.1779234802624337,0.029581450245439216,0.0034428405577258234,0.002717015969639691,4.743350685878414,0.02958145024543951,PH-LHA-MM Foxb1 Glut,0.6409314219845164
13050.35102573236,0,421.53435262762355,916.2961976854313,0.4600415822879342,0.6455067276092732,4.3066573646598136e-5,-1.604248657969265e-4,0.21163825743398348,0.6455067276092753,ZI Mixed Gaba,0.9503054401157571
13072.324107845508,0,197.09810373699372,1117.5272205795393,0.17636984594861185,0.8600130556196838,8.41614198179462e-6,-2.621443514863042e-4,0.031106322559940107,0.860013055619677,PH-LHA-PVH-SO-PVa Nxph4 Glut,0.9503054401157571
12690.090323056898,0,-576.2687352562111,1360.1300196197024,-0.4236865056602001,0.6718191658281405,4.867177819827372e-5,-2.2246469908537847e-4,0.179510255078553,0.6718191658281386,STR D1 Gaba,0.9503054401157571
12754.53225198019,0,851.3692784453483,1104.7318644358584,0.7706569402522918,0.4409583255953218,1.566391689945034e-4,-1.0710215541354096e-4,0.5939121195590258,0.440958325595321,PO-MEA-BST Mixed Gaba,0.9503054401157571
13079.717808702495,0,-1067.3985861720846,1450.5101324173352,-0.7358780627014447,0.4618978955821149,2.916802658845836e-4,-2.469556822479735e-4,0.541516523165245,0.46189789558210925,PF Fzd5 Glut,0.9503054401157571
13006.010256553489,2.3177536408510743e-302,-504.8557398131543,4198.911774754304,-0.12023490058747317,0.9043652813338612,4.083570898490775e-5,-0.0027839076929669915,0.014456431319279655,0.9043652813338608,VMH Nr5a1 Glut_1,0.9503054401157571
12990.790762377255,0,-632.8733512803223,2094.923102882565,-0.30209860706080494,0.7626220236881716,6.555861011162576e-5,-6.527850977835481e-4,0.0912635683880804,0.7626220236881693,PV-PT Ntrk1-Sp9 Glut,0.9503054401157571
13022.032759528107,0,1267.6154495304286,918.7867668866841,1.3796622842378903,0.16775038575727116,3.6846759339051786e-4,1.7489061190201216e-4,1.9034680185485247,0.1677503857572699,TH Sema5b-Ntrk Glut,0.8528899841103914
13003.522282991253,0,409.1967017782032,1811.3262214865504,0.22590999728495986,0.821292464170521,2.3260774727461726e-5,-4.32517137407995e-4,0.05103532687329256,0.8212924641705176,RE-Xi Nox4 Glut,0.9503054401157571
12970.541072883754,0,225.2148481458201,2236.0225591854983,0.10072118781657448,0.9197873582629046,7.821648671127516e-6,-7.631823438898344e-4,0.010144757675182777,0.9197873582629003,TU-ARH Otp Six6 Gaba,0.9503054401157571
12894.148016889845,0,-1399.4594967932967,1501.141606160399,-0.9322634793747516,0.35126765901677837,2.5975767881323414e-4,-3.911832785985503e-5,0.8691151949759365,0.35126765901677326,VMH Nr5a1 Glut_2,0.9132959134436238
12915.49221563565,0,6246.9805121043255,3889.713156791922,1.606026012791283,0.1087606829240438,0.004007772585903915,0.0024539625587368663,2.579319553762264,0.10876068292404392,GPe-SI Sox6 Cyp26b1 Gaba,0.8528899841103914
12913.454655050933,0,252.56978735984464,1054.7514710207852,0.23945905201289588,0.810757420868488,9.085741817253983e-6,-1.4936631241480036e-4,0.05734063759091868,0.8107574208684818,Mixed,0.9503054401157571
12981.336225752508,0,830.2282892308463,1503.9395222668404,0.5520356882299825,0.5809498515615631,6.409841554699105e-5,-1.4623728104190548e-4,0.304743401079553,0.5809498515615614,AHN-PVHd-PVR Mixed Gaba,0.9503054401157571
12856.77219450003,0,893.5920237291344,1571.7372742679422,0.5685377819555352,0.5697296522121537,1.5137530664260988e-4,-3.169378665159872e-4,0.3232352095109295,0.5697296522121478,Mixed Meis2 Gaba,0.9503054401157571
12983.286981879512,3.440806245068827e-229,-447.51637474039603,4512.103271959408,-0.09918132360167797,0.9210652727275799,3.5130676332867767e-5,-0.003536172428394435,0.009836934951380858,0.9210652727275794,TH Prkcd Grin2c Glut_1,0.9503054401157571
12902.858469357523,2.2994287285174797e-279,1945.0903025200878,3947.197044387964,0.4927776041192505,0.6224718314874855,6.778356660463001e-4,-0.002113567027623997,0.24282976712150814,0.622471831487486,GPi Tbr1 Cngb3 Gaba-Glut,0.9503054401157571
12976.972392288164,0,1709.8218728289532,1743.758343211359,0.9805383179873953,0.32691941868090213,4.009469755567797e-4,-1.6073905971802915e-5,0.9614553930415738,0.32691941868089647,ZI Pax6 Gaba,0.9132959134436238
