"Cluster","Slope","Intercept","p_value","r_squared","AdjustedPValue"
"TH-PVT-RE Ntrk1-Nox4 Glut",-54.2103236522961,15293.7249879315,0.0159020776778362,0.168474021063331,0.516817524529678
"Trh Glut",-182.536599447818,17559.9660754749,0.00991544469566776,0.190247386381195,0.516817524529678
"ADP-MPO Trp73 Glut",8.61700098950673,12940.5474990976,0.695045682450164,0.00519507262242095,0.974904403028417
"AHN Onecut3 Gaba",56.2382998020278,12342.2051821142,0.500040485366627,0.0143338825299757,0.974904403028417
"AHN-PVHd-PVR Mixed Gaba",185.878825945744,11688.3818920893,0.20647252206288,0.0493949045507323,0.974904403028417
"ARC Mixed Glut",-31.4829621982681,14808.4965960873,0.108441956305753,0.0836209835720324,0.974904403028417
"AV Col27a1 Glut",16.3307966552752,12835.0334259806,0.525002402694555,0.0131583534777887,0.974904403028417
"Chat GABA",-17.5754934497966,13928.7336564624,0.389978784115976,0.0231839213761758,0.974904403028417
"DMH Gaba",34.7694923175777,12808.8271073326,0.729063497514864,0.00380093423947009,0.974904403028417
"DMH Hmx2-Vgll1 Glut",40.0801299387346,12251.1808500508,0.215391034275073,0.0475475147853759,0.974904403028417
"GPe-SI Sox6 Cyp26b1 Gaba",-13.2709095647395,13487.6565134308,0.752917494610101,0.00314054545338834,0.974904403028417
"GPi Tbr1 Cngb3 Gaba-Glut",-10.8303266316502,13428.0912656036,0.738489706777454,0.00377056587395952,0.974904403028417
"Hist Gaba",21.2429373187887,12636.956385665,0.340218133164625,0.0414106658489569,0.974904403028417
"HY NSCs_1",45.4752951320491,9801.53782960908,0.234293568671705,0.0699424255729122,0.974904403028417
"HY NSCs_2",21.0242399299398,11947.405700725,0.349954825113443,0.0336712201274413,0.974904403028417
"LH-MH Glut",-17.5290816803067,13968.1456751728,0.292783385106307,0.0459911862565936,0.974904403028417
"Lhx6-Lhx8 Gaba",-29.022348651093,13597.6557820468,0.677323184274681,0.00548116689683892,0.974904403028417
