"Cluster","Slope_Activated_Percentage","Slope_Sex","Intercept","p_value_activated_percentage","p_value_sex","r_squared","adjusted_p_values_activated","adjusted_p_values_sex"
"AD Serpinb7 Glut",0.305719515133129,-22.8719023037384,44.5242525534585,0.0115091681309966,0.000884969170869753,0.416490707023516,0.262455852695771,0.00127828880236742
"HY NSCs_2",0.445737811704051,-12.9604122529899,22.8463702204059,0.00967198666050701,0.0827441377430817,0.548540974252458,0.262455852695771,0.0840370148953173
"PVH-SO-PVa Agtr1a Glut",-0.561244094284991,-19.9122065387155,70.4063968937012,0.0121133470474971,0.002627452653905,0.422018424984248,0.262455852695771,0.00310517131825136
"RT-ZI Gnb3 Gaba_2",1.2172893730332,-22.0010114952521,33.2515649046163,0.028823486207582,0.000578413977199431,0.410992529702153,0.468381650873208,0.00117411719636392
"ADP-MPO Trp73 Glut",0.251247293333987,-22.7392728642327,51.3439695959735,0.110612810923042,0.00100476147413812,0.380692042930883,0.676999359300691,0.0013606144962287
"ARC Mixed Glut",-0.232334444526139,-23.7558939873381,68.588136870231,0.10468594750868,0.00065792657906541,0.345002499249034,0.676999359300691,0.00120716867173542
"PH-LHA-MM Foxb1 Glut",0.522122460088293,-22.5394990471757,49.3341724079995,0.0522815870695296,0.000745146219736173,0.392307815809552,0.676999359300691,0.0012299799144605
"SCH Six6 Cdc14a Gaba",-0.905354333013351,-21.9849369592918,65.6988148389129,0.114569122343194,0.00363696323070335,0.371554503853566,0.676999359300691,0.00422147517849496
"SI-MPO-LPO-ADP Lhx8 Gaba",-0.489131920546511,-24.1779315487679,63.2781916144494,0.0784076223561759,0.000232980854105159,0.37974848613048,0.676999359300691,0.00117411719636392
"TH Prkcd Grin2c Glut_6",0.797523729460189,-23.7955269574913,26.0113752460964,0.0831401145463068,0.000286552529758293,0.377929974091222,0.676999359300691,0.00117411719636392
"TH Prkcd Grin2c Glut_8",-0.33857241352564,-25.3507486566895,74.7047015924687,0.103026145399564,0.000157694408470502,0.371305945331415,0.676999359300691,0.00117411719636392
"PF Fzd5 Glut",0.309603104356152,-18.8871819177973,47.4290342126921,0.127235051526314,0.00777492333255809,0.330507331776383,0.689189862434203,0.00871327614855648
"DMH Gaba",1.00073249409412,-23.8199347185966,45.1175513129686,0.166050804753483,0.000343140137431638,0.356834732243117,0.821480871497338,0.00117411719636392
"PO-MEA Slc17a7 Glut",-0.215717040043367,-19.3202259801129,68.8426299170164,0.200593685641037,0.0195846492106296,0.318845844383222,0.821480871497338,0.0205322935272729
"TU-ARH Otp Six6 Gaba",-0.448404873172643,-21.4813199672983,61.0346635265579,0.177015425003997,0.00163371196393027,0.354937869638352,0.821480871497338,0.00208218191481309
"ZI Pax6 Gaba",0.816159607886962,-24.1179626191452,46.6068525050425,0.202210676060883,0.000311884452428224,0.351033508024424,0.821480871497338,0.00117411719636392
"AHN Onecut3 Gaba",-0.591769447520056,-25.138844092688,66.9348909364062,0.33777483134527,0.000263660299485293,0.33675474417688,0.988719668448883,0.00117411719636392
"AHN-PVHd-PVR Mixed Gaba",0.8177650360265,-23.1422304812712,49.976442217282,0.450264434602289,0.00072429464618891,0.329598034942947,0.988719668448883,0.0012299799144605
"AV Col27a1 Glut",0.142748607709691,-21.8721360159393,51.6931088623123,0.424192257569776,0.00107784835368267,0.306745976057004,0.988719668448883,0.00140598435836209
"Chat GABA",-0.0933709883184153,-24.784705408456,61.2707204177542,0.533564265194481,0.000343800065839341,0.325825808987729,0.988719668448883,0.00117411719636392
"DMH Hmx2-Vgll1 Glut",0.0837701268821024,-24.4527569475136,55.3214915299922,0.729543956351557,0.000412288172039641,0.320242831923226,0.988719668448883,0.00117411719636392
"GPe-SI Sox6 Cyp26b1 Gaba",0.0765904674719212,-23.8643004775723,55.4708287945195,0.801635016421733,0.000507563734686684,0.319062034405189,0.988719668448883,0.00117411719636392
"GPi Tbr1 Cngb3 Gaba-Glut",-0.150879196860373,-23.9285001218329,60.9730183432319,0.521856501071674,0.000813679020335409,0.312910661655577,0.988719668448883,0.0012299799144605
"Hist Gaba",-0.0312041927339436,-25.4259549318133,62.9079406750954,0.856733792312363,0.00205109574415518,0.367082388542452,0.988719668448883,0.00256386968019398
"HY NSCs_1",-0.0165968411398952,-19.0112654032311,48.06086386796,0.92983372918917,0.0113776243566795,0.275595148700588,0.988719668448883,0.0123257597197361
"LH-MH Glut",0.0178928820437081,-20.1441942902923,52.6980629167605,0.894704767853901,0.0108910243148245,0.241197430806424,0.988719668448883,0.0119985861095524
"LHA Pmch Glut",0.0539900586568303,-22.6773783359863,55.749399927772,0.647872881862284,0.000725149550094524,0.30676084682444,0.988719668448883,0.0012299799144605
