,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,Xist,4.23056331999093,5.83304411896114,0.721228059070842,8.08765555582494,6.08241237908106e-16,9.92163107275702e-12
2,Uty,2.25510026739081,-4.47325216050022,0.731520898106446,-6.11500255437583,9.65554169701146e-10,7.87505980808255e-06
3,Eif2s3y,1.56225442603392,-3.93844334562318,0.813813176179182,-4.83949321650701,1.30170634142662e-06,0.00707781128045032
4,Kdm5d,1.16814551404739,-3.52359623000547,0.800936533430703,-4.39934512028391,1.08578035622024e-05,0.0442781229266615
