,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,Uty,5.43447137736105,-6.39194391681148,0.681981224322336,-9.37260981512058,7.07608064867845e-21,1.32443001501315e-16
2,Xist,5.70720906358773,5.18982283751055,0.652784774468838,7.95028168623178,1.86087900765484e-15,1.74150361931378e-11
3,Eif2s3y,1.95169687021944,-5.48095756313854,0.729791568068597,-7.51030541178212,5.89895781601801e-14,3.68035978141364e-10
4,Kdm5d,1.19298849985867,-4.84026496326123,0.808258560950025,-5.98851060429474,2.1177133393144e-09,9.9093101429869e-06
5,Ddx3y,1.83339733457036,-4.20077998444526,0.755302166194484,-5.56172108655597,2.67126983475836e-08,9.99963149943446e-05
6,Sh3rf3,5.49985574207287,-1.65390947995832,0.380816078617659,-4.34306630634378,1.40507703695413e-05,0.043831378167784
7,Cntn4,22.8088000968454,-0.804575129259187,0.194676453820169,-4.13288363061311,3.58240128118994e-05,0.0957882925429029
