,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,Xist,9.98144826077386,6.22203944484658,0.65421108504772,9.51075209065393,1.8928900092961e-21,3.64097393288104e-17
2,Uty,3.90332532277377,-5.84885773567092,0.694428682719201,-8.42254630492554,3.68388782920241e-17,3.54297911973542e-13
3,Eif2s3y,2.9792070380795,-5.60880224347827,0.700390976011586,-8.00810181110256,1.16492449690196e-15,7.46910756596976e-12
4,Kdm5d,1.96442942961429,-4.94767804181329,0.725010841371178,-6.82428145826893,8.83664825730656e-12,4.24932323073229e-08
5,Ddx3y,0.923463503539863,-3.73962051073222,0.80522007687328,-4.64422164590506,3.41360937629437e-06,0.0131321552706045
