"","X.Intercept...Intercept.","X.Intercept..p.value","Props.props_untrans","Props.Std..Error","Props.t.value","Props.p.value","Sex.sexM","Sex.Std..Error","Sex.t.value","Sex.p.value","r_squared","adj_r_squared","f_statistic.value","f_pvalue.value","cluster","bh_pvalues_props","bh_pvalues_sex"
"1",12221.3480753406,6.01284792015288e-11,165952.240454488,251241.150335192,0.660529695207505,0.518929935683094,-1879.02119381036,899.079207174197,-2.08993955017169,0.0540683138956578,0.22557166804527,0.122314557117973,2.18456303899587,0.147014187239432,"AD Serpinb7 Glut",0.987463238007773,0.28064103017032
"2",11763.0382728786,3.01599006996784e-09,309128.500816727,342745.819033929,0.901917641732417,0.380477634873387,-1503.71696102939,875.515527993928,-1.71752174912861,0.105173314596679,0.17214918796644,0.0686678364622445,1.66357691955213,0.220605650937097,"ADP-MPO Trp73 Glut",0.987463238007773,0.28064103017032
"3",12295.1052289868,1.03020225355632e-08,9124.73576932153,59901.9316231641,0.152327905329066,0.880721599216999,-1398.65641974118,901.806732193183,-1.55094918879089,0.139330011321988,0.133865891760653,0.0319677613795535,1.31372274702189,0.294763498083573,"AHN Onecut3 Gaba",0.987463238007773,0.28064103017032
"4",12105.077888469,1.49345272662737e-09,10800.0212386227,26414.2215667167,0.408871456285171,0.687738704443675,-1495.08833889477,906.855330504276,-1.6486514316053,0.117574626241855,0.141129703088973,0.0400861387464987,1.3967213449699,0.274400222328354,"AHN-PVHd-PVR Mixed Gaba",0.987463238007773,0.28064103017032
"5",12103.4002197305,2.97430426639494e-12,25699.7096629194,26914.9366244569,0.954849347093267,0.353858837250202,-1522.15951923009,909.984170738935,-1.67273186520821,0.113816688775204,0.154914922709422,0.0492792880481,1.46650250368726,0.260137800076618,"ARC Mixed Glut",0.987463238007773,0.28064103017032
"6",12696.8553903064,7.52049833622896e-11,-61361.3097726091,78653.5088137361,-0.780147137719212,0.446692565744825,-1058.76137739208,841.64148747253,-1.25797194310319,0.226451641371747,0.132075962270158,0.0235854575539282,1.21739651424444,0.321998414198255,"AV Col27a1 Glut",0.987463238007773,0.282486669193718
"7",12542.8646161539,1.3562500024775e-12,-32735.9808400559,130241.214908076,-0.251348859599943,0.804557508221882,-1240.53535775089,934.087914242596,-1.32807130767426,0.201710740434918,0.135894910811635,0.0342354885541797,1.33676650716623,0.288945400061772,"Chat GABA",0.987463238007773,0.28064103017032
"8",13491.8118168706,4.24012871892802e-06,-28403.4153806958,53299.0691637746,-0.532906405802685,0.600995998203021,-1760.63539100549,1135.5703481235,-1.55044149745095,0.139451362377391,0.146934354552088,0.0465736903817451,1.46406319414841,0.259030465416578,"DMH Gaba",0.987463238007773,0.28064103017032
"9",13001.5781684536,4.20154876240944e-08,-75296.2591212687,173519.591396123,-0.433935203024868,0.669792364488015,-1628.77805659746,1054.78369558737,-1.54418205686281,0.140954823806295,0.142185228313296,0.0412658434089779,1.40889907769555,0.271546947325319,"DMH Hmx2-Vgll1 Glut",0.987463238007773,0.28064103017032
"10",11993.7558194796,7.71624720386632e-11,116364.820129354,156023.184760483,0.745817490573536,0.465966148007582,-1737.51171579804,974.627849725265,-1.78274375833588,0.0924940101639374,0.160163320693163,0.061359005480594,1.62101544197321,0.22680682810819,"GPe-SI Sox6 Cyp26b1 Gaba",0.987463238007773,0.28064103017032
"11",13703.6958050641,5.74777416606673e-10,-470795.49704537,356515.065161575,-1.32054867536103,0.204155100289866,-1354.50078671052,795.217199224027,-1.70330921920733,0.106720513211944,0.213375140353981,0.120831039219156,2.30565900729987,0.130024493821207,"GPi Tbr1 Cngb3 Gaba-Glut",0.987463238007773,0.28064103017032
"12",13392.4742566398,5.88005047836055e-06,-186763.511220589,230976.420808979,-0.808582584172283,0.439605439662231,-1948.2929743201,1295.86131633202,-1.50347336537123,0.16696941346409,0.20074330102133,0.0231307012482919,1.13023119574765,0.364828100914495,"Hist Gaba",0.987463238007773,0.28064103017032
"13",11936.6147720688,1.0154000271617e-10,48774.9483993017,48315.8968670791,1.00950104545271,0.328742401430765,-1380.76390081099,917.041184525802,-1.50567272671072,0.152917214533009,0.156580628834879,0.0441247126795297,1.39237342229798,0.27882183791686,"HY NSCs_2",0.987463238007773,0.28064103017032
"14",12267.9288492361,3.72865133441333e-08,82709.6858061727,502808.583616533,0.164495373589826,0.871401369796493,-912.514782017977,930.769539944162,-0.980387456676676,0.341487591932023,0.0901517138257271,-0.0235793219460569,0.792674692654942,0.469625695142734,"LHA Pmch Glut",0.987463238007773,0.37042721836694
"15",12472.5645210206,7.21293664071124e-10,-4337.73827694615,189071.280705223,-0.0229423435477175,0.981963407765962,-1345.56667785729,836.07207571467,-1.60939076539197,0.125942162404493,0.132710533183397,0.0306764782637967,1.30064940855256,0.298122401836769,"Lhx6 Gaba",0.987463238007773,0.28064103017032
"16",11727.2723692735,9.08505835786736e-09,50168.7449373121,67033.9770472297,0.748407705274074,0.46444343450015,-1872.52944052905,1081.14931322006,-1.73198041901536,0.101380726971957,0.160348426193587,0.0615658880987148,1.62324667179118,0.226382266612529,"Lhx6-Lhx8 Gaba",0.987463238007773,0.28064103017032
"17",16821.4055739635,7.40833305843154e-05,-85743.4174722651,62691.7729151031,-1.36769808039052,0.189216759206732,-1953.74883237168,908.396444399898,-2.15076671030165,0.0461711272503161,0.218658708954669,0.126736204125807,2.37872879293008,0.122785361810501,"Mixed",0.987463238007773,0.28064103017032
