"","X.Intercept...Intercept.","X.Intercept..p.value","Props.props_untrans","Props.Std..Error","Props.t.value","Props.p.value","r_squared","adj_r_squared","f_statistic.value","f_pvalue.value","cluster","bh_adjusted_pvalues"
"1",11642.7416028515,6.39685157410608e-11,8571.245862712,263712.690793885,0.032502212301232,0.974473557426826,6.60202538179512e-05,-0.0624298534803185,0.00105639380447432,0.974473557426827,"AD Serpinb7 Glut",0.995967744924124
"2",11229.4066277896,3.24316199034965e-09,207352.972514143,356419.333760719,0.581766904523055,0.568358873417797,0.0195203537735137,-0.0381549195339268,0.338452731198337,0.568358873417797,"ADP-MPO Trp73 Glut",0.82096281715904
"3",12308.3630371206,1.02240928666239e-08,-26114.8754238586,57548.6237365179,-0.453788009656383,0.655405048520791,0.0113107998644056,-0.0436163779209051,0.205923557707902,0.655405048520791,"AHN Onecut3 Gaba",0.887527669871905
"4",12040.4126764452,1.70068855294706e-09,-6645.27959417014,25330.7955152669,-0.262339948627552,0.796038222819177,0.0038088951066561,-0.0515350551651965,0.0688222486459063,0.796038222819177,"AHN-PVHd-PVR Mixed Gaba",0.92397293720083
"5",11542.9768482651,4.00637025277087e-13,9200.23170084153,26333.3954230373,0.349375063604326,0.73109809015984,0.00712898530576733,-0.0512751920291876,0.122062935068527,0.731098090159841,"ARC Mixed Glut",0.88774981445929
"6",12227.2352025177,1.29097925547812e-11,-72177.7858626264,79510.2610393549,-0.907779510708698,0.376683830283258,0.0462332079094637,-0.00987072103703834,0.824063640062523,0.376683830283258,"AV Col27a1 Glut",0.82096281715904
"7",12262.1245023345,4.27654612845964e-13,-110840.066943505,118647.144175274,-0.934199198084058,0.362565108449927,0.046242818481157,-0.0067436916032233,0.872728141700898,0.362565108449927,"Chat GABA",0.82096281715904
"8",10956.7286481282,7.05353234488293e-08,28142.2384830498,40354.7075458624,0.697371885326306,0.494479884183407,0.0263074180213326,-0.0277866143108156,0.486327546443566,0.494479884183406,"DMH Gaba",0.82096281715904
"9",11294.3536342195,1.66412842122531e-10,89921.9390193218,141762.832692031,0.634312515570779,0.533856261297406,0.0218641812403445,-0.0324766975796364,0.40235236740973,0.533856261297406,"DMH Hmx2-Vgll1 Glut",0.82096281715904
"10",11967.4650446717,8.96532915553631e-11,-33238.1343524335,139264.979082402,-0.238668289554453,0.814058920036069,0.00315460323259931,-0.0522256965878118,0.0569625524388482,0.814058920036069,"GPe-SI Sox6 Cyp26b1 Gaba",0.928312803549903
"11",13014.2766968511,4.49110893783498e-10,-466198.176961756,374860.34420728,-1.24365829612526,0.229579393727727,0.0791277846731895,0.0279682171550333,1.54668595752119,0.229579393727727,"GPi Tbr1 Cngb3 Gaba-Glut",0.82096281715904
"12",11813.2624811798,3.97007726294728e-07,1068.16997461349,206153.548854219,0.00518142899091613,0.995967744924124,2.68471343108306e-06,-0.0999970468152258,2.68472063878862e-05,0.995967744924126,"Hist Gaba",0.995967744924124
"13",11310.8257816653,1.0489608029021e-11,34043.6172072754,49152.6771499868,0.692609623345502,0.498484756748074,0.0291090162350435,-0.0315716702502664,0.479708090350799,0.498484756748073,"HY NSCs_2",0.82096281715904
"14",11376.9986480374,2.36948945634752e-10,339225.397504614,428877.565079574,0.790960929471034,0.439862978023055,0.0354948773791408,-0.021240718069145,0.625619191949686,0.439862978023053,"LHA Pmch Glut",0.82096281715904
"15",11869.9228249113,4.83204144398842e-10,-19947.52392688,196986.230833596,-0.10126354437296,0.9204607225127,0.000569359279723717,-0.0549545652047361,0.0102543054189743,0.920460722512701,"Lhx6 Gaba",0.969471261332249
"16",12279.2347060037,2.96856985955795e-09,-25302.6284748272,53693.8376704294,-0.471238964704548,0.643131144963062,0.0121866620329074,-0.0426918567430421,0.222066161855815,0.643131144963061,"Lhx6-Lhx8 Gaba",0.887527669871905
"17",12720.9892015497,0.000326743341007832,-19845.9622660432,59950.7763842632,-0.331037618909847,0.744438684580624,0.00605126509836079,-0.0491681090628413,0.109585905133501,0.744438684580625,"Mixed",0.88774981445929
"18",12286.7115734014,4.60861861511591e-10,-28682.3551961011,52215.0755097651,-0.549311763242342,0.58954210017125,0.0164871404009621,-0.0381524629100956,0.301743413236412,0.589542100171249,"Mixed Meis2 Gaba",0.833048619807201
"19",12419.9040131969,5.52761635993226e-12,-35288.5155296192,36569.1081728647,-0.964981573048157,0.347340741897742,0.049188110417186,-0.00363477233741483,0.931189436322496,0.347340741897742,"NDB-SI-MA-STRv Lhx8 Gaba",0.82096281715904
"20",11649.0472500777,1.01430161040208e-11,21826.6170149297,31300.5638678301,0.697323444622113,0.496267213364086,0.0313994461442636,-0.0331739241127855,0.486259986419648,0.496267213364086,"PF Fzd5 Glut",0.82096281715904
"21",11774.3114143644,2.36226815092801e-14,626.770127423856,33949.3972269176,0.0184618926584919,0.985473484029558,1.8935279255838e-05,-0.0555355683163412,0.000340841480533699,0.985473484029558,"PH-LHA-MM Foxb1 Glut",0.995967744924124
"22",11091.2933466582,4.90602134795944e-12,24896.5321608501,20193.9671732251,1.23286979459192,0.233484156039022,0.0778673374790042,0.0266377451167267,1.51996793041713,0.233484156039022,"PH-LHA-PVH-SO-PVa Nxph4 Glut",0.82096281715904
"23",11476.0583711534,1.54222957716786e-12,23926.9772348649,39052.1880564686,0.61269235926722,0.548189044043062,0.0216048034300077,-0.0359478551917565,0.375391927104433,0.548189044043061,"Pitx2 Glut",0.82096281715904
